method,class,avg_binary_f1
sbert,0,0.67551875
sbert,1,0.6661166666666667
sbert,2,0.5996842105263157
sbert,3,0.5592777777777778
sbert,4,0.6442421052631578
sroberta,0,0.63016
sroberta,1,0.6155349999999998
sroberta,2,0.5553549999999999
sroberta,3,0.5421400000000001
sroberta,4,0.63407
mpnet,0,0.6208699999999998
mpnet,1,0.67125
mpnet,2,0.6233941176470588
mpnet,3,0.5536388888888888
mpnet,4,0.650678947368421
minilm,0,0.6408611111111111
minilm,1,0.72365625
minilm,2,0.6136833333333335
minilm,3,0.55645
minilm,4,0.6789111111111111
e5,0,0.6677941176470588
e5,1,0.6656666666666666
e5,2,0.5920611111111111
e5,3,0.5665666666666666
e5,4,0.6497473684210525
instructor,0,0.6771499999999999
instructor,1,0.6979176470588235
instructor,2,0.6143187499999999
instructor,3,0.5634250000000001
instructor,4,0.6416529411764705
bge,0,0.69196875
bge,1,0.6950588235294117
bge,2,0.637975
bge,3,0.576025
bge,4,0.6734176470588236
gte,0,0.6700705882352942
gte,1,0.6244578947368422
gte,2,0.5675736842105263
gte,3,0.562975
gte,4,0.6466210526315789
w2v_self,0,0.6755842105263158
w2v_self,1,0.6365649999999999
w2v_self,2,0.6032611111111111
w2v_self,3,0.5870263157894736
w2v_self,4,0.7015111111111111
w2v_pretrained,0,0.6710666666666666
w2v_pretrained,1,0.6603722222222222
w2v_pretrained,2,0.6000777777777777
w2v_pretrained,3,0.5564105263157895
w2v_pretrained,4,0.6447117647058824
fasttext_pretrained,0,0.6441736842105263
fasttext_pretrained,1,0.6457125
fasttext_pretrained,2,0.5668312500000001
fasttext_pretrained,3,0.5486529411764706
fasttext_pretrained,4,0.5621277777777779
glove_pretrained,0,0.6590055555555555
glove_pretrained,1,0.6372894736842105
glove_pretrained,2,0.5796899999999999
glove_pretrained,3,0.5672176470588236
glove_pretrained,4,0.622895
logistic_regression,0,0.844025
logistic_regression,1,0.818675
logistic_regression,2,0.7803500000000001
logistic_regression,3,0.742325
logistic_regression,4,0.836975
