method,slope,r2
bge,-0.024360411646586356,0.018380656408279017
e5,-0.05099140740740739,0.0745157167137177
fasttext_pretrained,-0.07634256651017214,0.3479066946284638
glove_pretrained,-0.048147498326639906,0.0881448513155012
gte,-0.06272944444444443,0.13080578768853235
instructor,-0.05711020582329319,0.10880761472775669
logistic_regression,-0.06406600000000003,0.9655550864545644
minilm,-0.07922582539682536,0.17342899250570454
mpnet,-0.05541747561675274,0.09600222791937196
sbert,-0.09102434108527128,0.2210117919233897
sroberta,-0.07260508527131783,0.15323164826895352
w2v_pretrained,-0.06113474062918341,0.13625785319880301
w2v_self,-0.05204463022508038,0.11905498965235795
