k,unsupervised_method,gap
2,bge,0.55412
2,bge,0.09033000000000002
2,bge,0.36187
2,bge,0.02859999999999996
2,bge,0.054910000000000014
2,e5,0.4564866666666667
2,e5,0.06306
2,e5,0.3690922222222222
2,e5,0.016430000000000056
2,e5,0.10780000000000012
2,fasttext_pretrained,0.39252
2,fasttext_pretrained,0.11695
2,fasttext_pretrained,0.37918111111111114
2,fasttext_pretrained,0.08677000000000001
2,fasttext_pretrained,0.20296000000000003
2,glove_pretrained,0.45220750000000004
2,glove_pretrained,0.09572000000000003
2,glove_pretrained,0.3782588888888889
2,glove_pretrained,0.05378000000000005
2,glove_pretrained,0.04605999999999999
2,gte,0.3932366666666667
2,gte,0.09396000000000004
2,gte,0.34873666666666664
2,gte,0.02192000000000005
2,gte,0.18777
2,instructor,0.5230699999999999
2,instructor,0.07961000000000007
2,instructor,0.3683075
2,instructor,0.030139999999999945
2,instructor,0.11446
2,minilm,0.49179500000000004
2,minilm,0.07450000000000001
2,minilm,0.33172999999999997
2,minilm,0.03372000000000008
2,minilm,0.08316000000000001
2,mpnet,0.4743414285714286
2,mpnet,0.08977000000000002
2,mpnet,0.32984777777777785
2,mpnet,0.03503999999999996
2,mpnet,0.07555
2,sbert,0.47559
2,sbert,0.08418000000000003
2,sbert,0.35184000000000004
2,sbert,0.03838000000000008
2,sbert,0.0829200000000001
2,sroberta,0.47233
2,sroberta,0.09692999999999996
2,sroberta,0.33511
2,sroberta,0.034359999999999946
2,sroberta,0.10636000000000001
2,w2v_pretrained,0.47602
2,w2v_pretrained,0.08767000000000003
2,w2v_pretrained,0.3783477777777778
2,w2v_pretrained,0.030370000000000008
2,w2v_pretrained,0.06098999999999999
2,w2v_self,0.41334142857142864
2,w2v_self,0.07281000000000004
2,w2v_self,0.33263000000000004
2,w2v_self,0.03207000000000004
2,w2v_self,0.04382000000000008
3,bge,0.5528400000000001
3,bge,0.11126000000000003
3,bge,0.43065666666666674
3,bge,0.04271999999999998
3,bge,0.07195000000000007
3,e5,0.5339400000000001
3,e5,0.09936000000000011
3,e5,0.50244
3,e5,0.042220000000000035
3,e5,0.1261500000000001
3,fasttext_pretrained,0.52129
3,fasttext_pretrained,0.19447000000000003
3,fasttext_pretrained,0.1577900000000001
3,fasttext_pretrained,0.2770600000000001
3,glove_pretrained,0.5195900000000001
3,glove_pretrained,0.17648000000000008
3,glove_pretrained,0.44084000000000007
3,glove_pretrained,0.11559000000000008
3,glove_pretrained,0.09722000000000008
3,gte,0.4954900000000001
3,gte,0.12786000000000008
3,gte,0.43284000000000006
3,gte,0.04327000000000003
3,gte,0.18795000000000006
3,instructor,0.5370566666666667
3,instructor,0.12624000000000002
3,instructor,0.46140666666666674
3,instructor,0.05667000000000011
3,instructor,0.28331
3,minilm,0.5478400000000001
3,minilm,0.13402000000000003
3,minilm,0.43924714285714295
3,minilm,0.056030000000000135
3,minilm,0.17871000000000004
3,mpnet,0.56559
3,mpnet,0.10674000000000006
3,mpnet,0.4348011111111112
3,mpnet,0.04636000000000007
