k,method,rank,mean_f1
2,logistic_regression,1,0.80447
2,e5,2,0.78804
2,gte,3,0.78255
2,bge,4,0.7758700000000001
2,instructor,5,0.7743300000000001
2,w2v_pretrained,6,0.7741
2,w2v_self,7,0.7724
2,minilm,8,0.7707499999999999
2,sroberta,9,0.7701100000000001
2,mpnet,10,0.7694300000000001
2,sbert,11,0.7660899999999999
2,w2v_self,12,0.7606499999999999
2,glove_pretrained,13,0.75841
2,glove_pretrained,14,0.75069
2,bge,15,0.74956
2,w2v_pretrained,16,0.74348
2,e5,17,0.74141
2,w2v_self,18,0.73166
2,minilm,19,0.72997
2,mpnet,20,0.72892
2,instructor,21,0.72486
2,sbert,22,0.7215499999999999
2,minilm,23,0.72131
2,sbert,24,0.72029
2,fasttext_pretrained,25,0.7177
2,w2v_pretrained,26,0.7168
2,mpnet,27,0.7147
2,bge,28,0.71414
2,gte,29,0.71051
2,glove_pretrained,30,0.70875
2,sroberta,31,0.7075400000000001
2,sroberta,32,0.69811
2,e5,33,0.6966699999999999
2,instructor,34,0.69001
2,fasttext_pretrained,35,0.68752
2,gte,36,0.6167
2,fasttext_pretrained,37,0.60151
2,mpnet,38,0.47462222222222217
2,minilm,39,0.47274000000000005
2,w2v_self,40,0.47184
2,sroberta,41,0.46936
2,gte,42,0.4557333333333334
2,sbert,43,0.45263
2,bge,44,0.4426
2,instructor,45,0.4361625
2,e5,46,0.4353777777777778
2,glove_pretrained,47,0.4262111111111111
2,w2v_pretrained,48,0.42612222222222224
2,fasttext_pretrained,49,0.4252888888888889
2,fasttext_pretrained,50,0.41195000000000004
2,gte,51,0.41123333333333334
2,w2v_self,52,0.3911285714285714
2,glove_pretrained,53,0.3522625
2,e5,54,0.3479833333333333
2,sroberta,55,0.33214
2,mpnet,56,0.33012857142857144
2,sbert,57,0.32888
2,w2v_pretrained,58,0.32845
2,minilm,59,0.312675
2,instructor,60,0.28140000000000004
2,bge,61,0.25035
3,logistic_regression,1,0.7114900000000001
3,w2v_self,2,0.6732199999999999
3,e5,3,0.66927
3,bge,4,0.6687700000000001
3,gte,5,0.66822
3,mpnet,6,0.66513
3,sroberta,7,0.65912
3,minilm,8,0.6554599999999999
3,instructor,9,0.65482
3,sbert,10,0.64182
3,bge,11,0.63954
3,w2v_self,12,0.6294299999999999
3,w2v_self,13,0.62703
3,mpnet,14,0.62622
3,w2v_pretrained,15,0.6235999999999999
3,glove_pretrained,16,0.61427
3,e5,17,0.61213
3,mpnet,18,0.60475
3,bge,19,0.60023
3,glove_pretrained,20,0.5959
3,sbert,21,0.59294
3,sroberta,22,0.59206
3,e5,23,0.58534
3,instructor,24,0.58525
3,gte,25,0.58363
3,sroberta,26,0.57822
3,minilm,27,0.57747
3,w2v_pretrained,28,0.56162
3,w2v_pretrained,29,0.55977
3,fasttext_pretrained,30,0.5537
3,glove_pretrained,31,0.53501
3,minilm,32,0.53278
3,gte,33,0.52354
3,fasttext_pretrained,34,0.51702
3,sbert,35,0.45366999999999996
3,fasttext_pretrained,36,0.43443
3,instructor,37,0.42818000000000006
3,w2v_self,38,0.31265
3,sroberta,39,0.31205
3,bge,40,0.2808333333333333
3,gte,41,0.27865
3,mpnet,42,0.2766888888888889
3,minilm,43,0.2722428571428571
3,glove_pretrained,44,0.27065
3,sbert,45,0.25835
3,w2v_pretrained,46,0.257325
3,instructor,47,0.2500833333333333
3,w2v_pretrained,48,0.24775
3,gte,49,0.216
3,e5,50,0.20905
3,glove_pretrained,51,0.1919
3,fasttext_pretrained,52,0.1902
3,e5,53,0.17754999999999999
3,instructor,54,0.17443333333333333
3,minilm,55,0.16365
3,bge,56,0.15864999999999999
3,sroberta,57,0.15833333333333333
3,sbert,58,0.15483333333333335
3,mpnet,59,0.1459
4,logistic_regression,1,0.65034
4,bge,2,0.59956
4,w2v_self,3,0.5984200000000001
4,gte,4,0.59146
4,e5,5,0.5880799999999999
4,sroberta,6,0.5869
4,instructor,7,0.58602
4,mpnet,8,0.58598
4,bge,9,0.57812
4,minilm,10,0.57274
4,sbert,11,0.5642400000000001
4,w2v_self,12,0.55174
4,w2v_pretrained,13,0.5444199999999999
4,w2v_self,14,0.53816
4,e5,15,0.5350400000000001
4,mpnet,16,0.53492
4,bge,17,0.52472
4,glove_pretrained,18,0.51852
4,e5,19,0.5157200000000001
4,glove_pretrained,20,0.51454
4,gte,21,0.51106
4,sroberta,22,0.5097400000000001
4,sroberta,23,0.50686
4,instructor,24,0.49924
4,sbert,25,0.48629999999999995
4,mpnet,26,0.48278
4,w2v_pretrained,27,0.47996
4,minilm,28,0.47678000000000004
4,glove_pretrained,29,0.46794
4,fasttext_pretrained,30,0.45446
4,w2v_pretrained,31,0.44433999999999996
4,gte,32,0.42272
4,minilm,33,0.41478000000000004
4,fasttext_pretrained,34,0.40796
4,fasttext_pretrained,35,0.3771
4,sbert,36,0.34258
4,instructor,37,0.31779999999999997
4,e5,38,0.2328
4,sroberta,39,0.2117
4,instructor,40,0.19203333333333336
4,gte,41,0.1729
4,bge,42,0.12536666666666665
4,glove_pretrained,43,0.1252
4,sbert,44,0.1164
4,w2v_self,45,0.1153
4,minilm,46,0.1131
4,sbert,47,0.1106
4,w2v_pretrained,48,0.10800000000000001
4,minilm,49,0.10776666666666668
4,sroberta,50,0.1049
4,mpnet,51,0.0967
4,gte,52,0.0922
4,e5,53,0.0855
5,logistic_regression,1,0.6113
5,bge,2,0.5477
5,w2v_self,3,0.5436
5,mpnet,4,0.5404
5,sroberta,5,0.5397
5,instructor,6,0.5385
5,bge,7,0.5328
5,gte,8,0.5328
5,sbert,9,0.5268
5,e5,10,0.5213
5,e5,11,0.5187
5,bge,12,0.5138
5,w2v_self,13,0.5088
5,minilm,14,0.5038
5,glove_pretrained,15,0.5035
5,w2v_pretrained,16,0.499
5,glove_pretrained,17,0.4822
5,sroberta,18,0.4794
5,gte,19,0.47
5,w2v_self,20,0.4612
5,fasttext_pretrained,21,0.456
5,sroberta,22,0.4547
5,mpnet,23,0.452
5,w2v_pretrained,24,0.4491
5,glove_pretrained,25,0.4439
5,instructor,26,0.4403
5,sbert,27,0.4402
5,e5,28,0.4235
5,minilm,29,0.4009
5,gte,30,0.3637
5,mpnet,31,0.3587
5,w2v_pretrained,32,0.355
5,minilm,33,0.3168
5,sbert,34,0.3099
5,fasttext_pretrained,35,0.3047
5,instructor,36,0.2733
5,fasttext_pretrained,37,0.2201
5,sbert,38,0.0753
5,sroberta,39,0.0743
