method,class,avg_binary_f1
sbert,0,0.6053903225806453
sbert,1,0.43370666666666663
sbert,2,0.47824444444444447
sbert,3,0.5575064516129031
sbert,4,0.530959375
sbert,5,0.5423833333333333
sbert,6,0.5459714285714287
sbert,7,0.5688200000000001
sbert,8,0.4829933333333333
sbert,9,0.5271888888888889
sroberta,0,0.6025470588235294
sroberta,1,0.46452631578947373
sroberta,2,0.47665
sroberta,3,0.6018363636363637
sroberta,4,0.51865
sroberta,5,0.5823272727272727
sroberta,6,0.5538461538461538
sroberta,7,0.6094242424242424
sroberta,8,0.5367090909090909
sroberta,9,0.5472585365853658
mpnet,0,0.6288114285714286
mpnet,1,0.43892558139534893
mpnet,2,0.46625952380952385
mpnet,3,0.5815641025641026
mpnet,4,0.5849828571428571
mpnet,5,0.5811484848484848
mpnet,6,0.6163777777777777
mpnet,7,0.5977666666666668
mpnet,8,0.5157212121212121
mpnet,9,0.5730487179487179
minilm,0,0.63044375
minilm,1,0.4646157894736842
minilm,2,0.47207333333333346
minilm,3,0.6015781250000001
minilm,4,0.5545848484848485
minilm,5,0.5714645161290323
minilm,6,0.5858485714285714
minilm,7,0.5470645161290324
minilm,8,0.4770483870967743
minilm,9,0.5595605263157896
e5,0,0.548715625
e5,1,0.412340625
e5,2,0.45726428571428573
e5,3,0.611
e5,4,0.5511999999999999
e5,5,0.5223241379310345
e5,6,0.5849645161290321
e5,7,0.5116066666666668
e5,8,0.47630666666666666
e5,9,0.5710277777777777
instructor,0,0.596065625
instructor,1,0.44441111111111115
instructor,2,0.4701744186046511
instructor,3,0.5959322580645161
instructor,4,0.5247935483870968
instructor,5,0.5685437499999999
instructor,6,0.5961029411764707
instructor,7,0.568041935483871
instructor,8,0.5044032258064517
instructor,9,0.6114564102564102
bge,0,0.6283588235294116
bge,1,0.4829742857142857
bge,2,0.46501136363636364
bge,3,0.6142942857142859
bge,4,0.5736878787878789
bge,5,0.5530848484848485
bge,6,0.6128605263157895
bge,7,0.565209090909091
bge,8,0.5213757575757576
bge,9,0.5722190476190475
gte,0,0.5591060606060606
gte,1,0.43563571428571424
gte,2,0.470632558139535
gte,3,0.5889371428571427
gte,4,0.5527500000000001
gte,5,0.5665
gte,6,0.635590322580645
gte,7,0.562946875
gte,8,0.523371875
gte,9,0.5940527777777778
w2v_self,0,0.49641333333333343
w2v_self,1,0.4445888888888889
w2v_self,2,0.466775
w2v_self,3,0.4870466666666667
w2v_self,4,0.5519838709677419
w2v_self,5,0.5062516129032257
w2v_self,6,0.5091064516129032
w2v_self,7,0.5457548387096774
w2v_self,8,0.45654838709677414
w2v_self,9,0.5343200000000001
w2v_pretrained,0,0.528440625
w2v_pretrained,1,0.436678947368421
w2v_pretrained,2,0.4849155555555555
w2v_pretrained,3,0.5702090909090909
w2v_pretrained,4,0.537309375
w2v_pretrained,5,0.5500875
w2v_pretrained,6,0.5572272727272728
w2v_pretrained,7,0.5458937500000001
w2v_pretrained,8,0.461471875
w2v_pretrained,9,0.5692022222222223
fasttext_pretrained,0,0.5572515151515152
fasttext_pretrained,1,0.4288184210526316
fasttext_pretrained,2,0.4312386363636364
fasttext_pretrained,3,0.5354866666666668
fasttext_pretrained,4,0.5852970588235294
fasttext_pretrained,5,0.5136966666666667
fasttext_pretrained,6,0.5540823529411765
fasttext_pretrained,7,0.5487066666666667
fasttext_pretrained,8,0.4897
fasttext_pretrained,9,0.5844939393939395
glove_pretrained,0,0.5394137931034483
glove_pretrained,1,0.4329290322580645
glove_pretrained,2,0.4873666666666666
glove_pretrained,3,0.6269939393939393
glove_pretrained,4,0.5492857142857143
glove_pretrained,5,0.5523071428571429
glove_pretrained,6,0.5813575757575757
glove_pretrained,7,0.57
glove_pretrained,8,0.5087896551724138
glove_pretrained,9,0.6522352941176471
logistic_regression,0,0.7138375
logistic_regression,1,0.7583428571428572
logistic_regression,2,0.8328571428571429
logistic_regression,3,0.6846571428571429
logistic_regression,4,0.8816714285714286
logistic_regression,5,0.5128714285714285
logistic_regression,6,0.7573428571428573
logistic_regression,7,0.4632
logistic_regression,9,0.8077857142857143
