embedding,k,difference
bge,2,-0.014706666666666646
bge,3,0.013009999999999966
bge,4,0.013261904761904753
bge,5,0.012198809523809528
bge,6,0.00972857142857142
bge,7,0.012880833333333341
bge,8,0.01663777777777778
bge,9,0.02432000000000001
bge,10,0.02510000000000001
e5,2,0.02580444444444452
e5,3,0.0001766666666666583
e5,4,-0.007865714285714254
e5,5,-0.0010075396825396932
e5,6,-0.011668571428571445
e5,7,0.0043149999999999855
e5,8,0.012971111111111128
e5,9,0.022379999999999983
e5,10,0.024599999999999983
fasttext_pretrained,2,0.01749333333333336
fasttext_pretrained,3,0.017174999999999996
fasttext_pretrained,4,0.02215857142857136
fasttext_pretrained,5,0.01350634920634916
fasttext_pretrained,6,0.00886809523809523
fasttext_pretrained,7,0.021377499999999994
fasttext_pretrained,8,0.02338000000000004
fasttext_pretrained,9,-1.0000000000010001e-05
fasttext_pretrained,10,-0.0426
glove_pretrained,2,0.012222222222222245
glove_pretrained,3,0.00961500000000004
glove_pretrained,4,0.012257619047619073
glove_pretrained,5,0.005367460317460271
glove_pretrained,6,0.009523809523809518
glove_pretrained,7,0.009257500000000002
glove_pretrained,8,-0.003331111111111118
glove_pretrained,9,0.006870000000000015
glove_pretrained,10,0.027899999999999994
gte,2,0.016260000000000052
gte,3,0.011678333333333346
gte,4,0.01404523809523811
gte,5,2.4999999999997247e-05
gte,6,-0.0012685714285713967
gte,7,-0.002952499999999997
gte,8,0.029342222222222214
gte,9,0.021820000000000034
gte,10,-0.003899999999999987
instructor,2,0.008979999999999988
instructor,3,0.002947499999999992
instructor,4,0.004757142857142793
instructor,5,0.006215079365079368
instructor,6,0.007748571428571438
instructor,7,0.01576999999999998
instructor,8,0.009244444444444416
instructor,9,-0.0033299999999999996
instructor,10,-0.042800000000000005
minilm,2,-0.012586666666666635
minilm,3,0.013102499999999961
minilm,4,0.003808571428571439
minilm,5,0.0034297619047619077
minilm,6,-0.00044523809523810964
minilm,7,0.000921666666666654
minilm,8,-0.008155555555555527
minilm,9,-0.03027000000000002
minilm,10,-0.03240000000000001
mpnet,2,0.029880000000000018
mpnet,3,0.005777499999999991
mpnet,4,0.0014738095238094884
mpnet,5,-0.002628571428571369
mpnet,6,0.002818095238095286
mpnet,7,0.004133333333333322
mpnet,8,-0.0038288888888888817
mpnet,9,0.01261000000000001
mpnet,10,0.014399999999999996
sbert,2,0.02249777777777784
sbert,3,-0.014065833333333333
sbert,4,0.001825238095238102
sbert,5,0.0022801587301587434
sbert,6,0.0009104761904761838
sbert,7,-0.005096666666666666
sbert,8,-0.015046666666666653
sbert,9,-0.02482000000000001
sbert,10,-0.010200000000000015
sroberta,2,0.00035111111111107984
sroberta,3,0.016565833333333335
sroberta,4,0.024946190476190566
sroberta,5,0.024244444444444457
sroberta,6,0.018221904761904745
sroberta,7,0.016090833333333304
sroberta,8,0.017055555555555546
sroberta,9,0.01605000000000001
sroberta,10,-0.02890000000000001
w2v_pretrained,2,-0.009379999999999944
w2v_pretrained,3,-0.0025341666666666707
w2v_pretrained,4,-0.006225714285714279
w2v_pretrained,5,0.014514285714285702
w2v_pretrained,6,0.004093809523809527
w2v_pretrained,7,0.015749999999999986
w2v_pretrained,8,0.027224444444444468
w2v_pretrained,9,0.029969999999999997
w2v_pretrained,10,0.0557
w2v_self,2,0.0030288888888888588
w2v_self,3,-0.00969749999999997
w2v_self,4,-0.020953333333333324
w2v_self,5,-0.02820595238095236
w2v_self,6,-0.031179047619047634
w2v_self,7,-0.01775833333333332
w2v_self,8,-0.003842222222222247
w2v_self,9,0.0041999999999999815
w2v_self,10,0.04470000000000002
