method,slope,r2
bge,-0.04010288908063288,0.7755192485157302
e5,-0.03654666444735936,0.7407832116267452
fasttext_pretrained,-0.038292794157806356,0.7328215483641942
glove_pretrained,-0.04770781986423521,0.7802466548691454
gte,-0.03796152543662898,0.7201071867615064
instructor,-0.043647684403538126,0.7178164913055177
logistic_regression,-0.04669415552427866,0.9750146503270188
minilm,-0.035261607519680646,0.6734621321724852
mpnet,-0.041026919564561976,0.6875769650950703
sbert,-0.036068592238088976,0.7412814336071853
sroberta,-0.04113817893099499,0.6963124021657969
w2v_pretrained,-0.04284477334040126,0.8361113239118465
w2v_self,-0.04310918540657679,0.8423310820132694
