k,unsupervised_method,gap
2,bge,0.26696513409961686
2,bge,0.1454384674329502
2,bge,0.2858318007662835
2,bge,0.16014513409961684
2,bge,0.14438957854406131
2,e5,0.2781206896551724
2,e5,0.2223651340996169
2,e5,0.27850640394088666
2,e5,0.19656068965517237
2,e5,0.18839180076628348
2,fasttext_pretrained,0.22708911070780402
2,fasttext_pretrained,0.22618735632183906
2,fasttext_pretrained,0.23831354679802952
2,fasttext_pretrained,0.2086940229885057
2,fasttext_pretrained,0.21467180076628356
2,glove_pretrained,0.1279831896551724
2,glove_pretrained,0.19751402298850573
2,glove_pretrained,0.21910530503978776
2,glove_pretrained,0.1852918007662835
2,glove_pretrained,0.18307624521072796
2,gte,0.3007278325123153
2,gte,0.1837384674329502
2,gte,0.2911766896551724
2,gte,0.16747846743295014
2,gte,0.14535846743295022
2,instructor,0.17197624521072796
2,instructor,0.19330735632183904
2,instructor,0.27453222811671085
2,instructor,0.18432735632183905
2,instructor,0.15649180076628355
2,minilm,0.24452783251231525
2,minilm,0.17645846743295013
2,minilm,0.2876081896551724
2,minilm,0.18904513409961676
2,minilm,0.15617846743295016
2,mpnet,0.23878868965517236
2,mpnet,0.17161180076628357
2,mpnet,0.29372902298850573
2,mpnet,0.14173180076628356
2,mpnet,0.14867402298850574
2,sbert,0.2862206896551724
2,sbert,0.20974735632183905
2,sbert,0.3039540229885057
2,sbert,0.1872495785440612
2,sbert,0.18464513409961691
2,sroberta,0.25816513409961683
2,sroberta,0.17754291187739457
2,sroberta,0.27350402298850574
2,sroberta,0.1771918007662835
2,sroberta,0.14929846743295017
2,w2v_pretrained,0.25260957854406124
2,w2v_pretrained,0.19850291187739466
2,w2v_pretrained,0.25087485632183903
2,w2v_pretrained,0.2078829118773946
2,w2v_pretrained,0.2053095785440613
2,w2v_self,0.2599364791288566
2,w2v_self,0.2504940229885057
2,w2v_self,0.24365402298850575
2,w2v_self,0.24746513409961685
2,w2v_self,0.21191846743295017
3,bge,0.25457316602316604
3,bge,0.2542610714285714
3,bge,0.3488535714285714
3,bge,0.24125107142857144
3,bge,0.22856273809523808
3,e5,0.34368571428571426
3,e5,0.27034857142857144
3,e5,0.3723896825396825
3,e5,0.2701719047619048
3,e5,0.2577035714285714
3,fasttext_pretrained,0.40331468253968256
3,fasttext_pretrained,0.2982827380952381
3,fasttext_pretrained,0.32869190476190474
3,fasttext_pretrained,0.2811077380952381
3,fasttext_pretrained,0.2839552380952381
3,glove_pretrained,0.1628585714285714
3,glove_pretrained,0.2799927380952381
3,glove_pretrained,0.3089785714285714
3,glove_pretrained,0.2703777380952381
3,glove_pretrained,0.26342940476190474
3,gte,0.29821190476190473
3,gte,0.2682152380952381
3,gte,0.3258185714285714
3,gte,0.25653690476190477
3,gte,0.22546190476190475
3,instructor,0.3742452380952381
3,instructor,0.25507940476190477
3,instructor,0.28827544642857145
3,instructor,0.2521319047619048
3,instructor,0.23043107142857144
3,minilm,0.25977675324675326
3,minilm,0.25872523809523806
3,minilm,0.2755852380952381
3,minilm,0.2456227380952381
3,minilm,0.22504523809523808
3,mpnet,0.2484890977443609
3,mpnet,0.24009273809523807
3,mpnet,0.2983063492063492
3,mpnet,0.23431523809523808
3,mpnet,0.1999002380952381
3,sbert,0.29836142857142856
3,sbert,0.2542452380952381
3,sbert,0.2845202380952381
3,sbert,0.2683110714285714
3,sbert,0.2565294047619047
3,sroberta,0.2144331168831169
3,sroberta,0.25678690476190474
3,sroberta,0.28998891625615764
3,sroberta,0.2402210714285714
3,sroberta,0.23694357142857142
3,w2v_pretrained,0.25659962406015036
3,w2v_pretrained,0.2783785714285714
3,w2v_pretrained,0.24020657142857138
3,w2v_pretrained,0.2809127380952381
3,w2v_pretrained,0.2816352380952381
3,w2v_self,0.3168357142857143
3,w2v_self,0.2899744047619048
3,w2v_self,0.3673527649769585
3,w2v_self,0.29967190476190475
3,w2v_self,0.28235607142857144
4,bge,0.2723026910299003
4,bge,0.26731095238095237
4,bge,0.31830821428571426
4,bge,0.2540490476190476
4,bge,0.2726571428571428
4,e5,0.3285512698412698
4,e5,0.27239714285714284
4,e5,0.3280401587301587
4,e5,0.2802628571428571
4,e5,0.2605623809523809
4,fasttext_pretrained,0.31651809523809515
4,fasttext_pretrained,0.32055340659340653
4,fasttext_pretrained,0.2943595238095238
4,fasttext_pretrained,0.29277857142857133
4,glove_pretrained,0.15099571428571423
4,glove_pretrained,0.30201047619047616
4,glove_pretrained,0.37819571428571425
4,glove_pretrained,0.2897528571428571
4,glove_pretrained,0.2914595238095237
4,gte,0.3113492026578073
4,gte,0.27895714285714285
4,gte,0.364183519163763
4,gte,0.26491190476190474
4,gte,0.2453614285714285
4,instructor,0.2749080952380952
4,instructor,0.28605025974025966
4,instructor,0.2701509523809524
4,instructor,0.2632985714285714
4,minilm,0.27965836488812384
4,minilm,0.2533647619047618
4,minilm,0.2933341758241758
4,minilm,0.24955619047619038
4,minilm,0.22453428571428563
4,mpnet,0.2737557142857142
4,mpnet,0.2498157142857142
4,mpnet,0.25123946428571425
4,mpnet,0.2483419047619047
4,mpnet,0.2422885714285714
4,sbert,0.2580866233766233
4,sbert,0.2785633333333333
4,sbert,0.34215523809523807
4,sbert,0.27673809523809517
4,sbert,0.2683314285714285
4,sroberta,0.3674866233766233
4,sroberta,0.28674571428571427
4,sroberta,0.34512428571428566
4,sroberta,0.2617995238095237
4,sroberta,0.24386380952380948
4,w2v_pretrained,0.29365088669950734
4,w2v_pretrained,0.2971828571428571
4,w2v_pretrained,0.2731423809523809
4,w2v_pretrained,0.30340857142857136
4,w2v_pretrained,0.28603666666666666
4,w2v_self,0.2923947619047619
4,w2v_self,0.3133480952380952
4,w2v_self,0.3134871428571428
5,bge,0.2721833333333333
5,bge,0.2628154761904761
5,bge,0.33794499999999994
5,bge,0.2506166666666666
5,bge,0.2850277777777777
5,e5,0.3246374999999999
5,e5,0.2826706349206349
5,e5,0.3201583333333333
5,e5,0.28367817460317457
5,e5,0.2783051587301587
5,fasttext_pretrained,0.31600674603174594
5,fasttext_pretrained,0.33094999999999997
5,fasttext_pretrained,0.3025003968253968
5,fasttext_pretrained,0.30897817460317456
5,glove_pretrained,0.3071484126984126
5,glove_pretrained,0.32251499999999994
5,glove_pretrained,0.3017809523809523
5,glove_pretrained,0.2981900793650793
5,gte,0.3205549999999999
5,gte,0.26321746031746024
5,gte,0.3565499999999999
5,gte,0.26319246031746024
5,gte,0.2581222222222222
5,instructor,0.2797091269841269
5,instructor,0.27349404761904755
5,instructor,0.27710674603174595
5,minilm,0.3004376288659793
5,minilm,0.2589670634920634
5,minilm,0.29964166666666664
5,minilm,0.2555373015873015
5,minilm,0.23165317460317453
5,mpnet,0.4385487012987012
5,mpnet,0.25672460317460316
5,mpnet,0.31297857142857133
5,mpnet,0.25935317460317453
5,mpnet,0.2409865079365079
5,sbert,0.2733015873015872
5,sbert,0.359429365079365
5,sbert,0.27102142857142847
5,sbert,0.26835079365079356
5,sroberta,0.30573928571428566
5,sroberta,0.2886710317460317
5,sroberta,0.2879318181818181
5,sroberta,0.26442658730158725
5,sroberta,0.25131904761904755
5,w2v_pretrained,0.2729294871794871
5,w2v_pretrained,0.30935674603174595
5,w2v_pretrained,0.22549999999999992
5,w2v_pretrained,0.29484246031746025
5,w2v_pretrained,0.29276825396825396
5,w2v_self,0.28869206349206344
5,w2v_self,0.3168980158730158
5,w2v_self,0.31393373015873005
6,bge,0.23931190476190484
6,bge,0.246042380952381
6,bge,0.2363138095238096
6,bge,0.2631004761904763
6,e5,0.3277285714285715
6,e5,0.25486571428571436
6,e5,0.3047848214285715
6,e5,0.26653428571428583
6,e5,0.2599476190476191
6,fasttext_pretrained,0.2958033333333334
6,fasttext_pretrained,0.31877857142857147
6,fasttext_pretrained,0.28693523809523813
6,fasttext_pretrained,0.292222380952381
6,glove_pretrained,0.29273619047619054
6,glove_pretrained,0.283212380952381
6,glove_pretrained,0.29795142857142864
6,gte,0.29075788177339906
6,gte,0.24625809523809533
6,gte,0.3227516483516484
6,gte,0.24752666666666673
6,gte,0.24393523809523815
6,instructor,0.25789619047619056
6,instructor,0.3643535714285715
6,instructor,0.2501476190476191
6,instructor,0.2537171428571429
6,minilm,0.3605474603174604
6,minilm,0.2414533333333334
6,minilm,0.29882857142857155
6,minilm,0.24189857142857152
6,minilm,0.20925095238095243
6,mpnet,0.4170428571428572
6,mpnet,0.24586095238095246
6,mpnet,0.3110252380952382
6,mpnet,0.24304285714285717
6,mpnet,0.22441523809523817
6,sbert,0.25601095238095245
6,sbert,0.3295935714285715
6,sbert,0.25510047619047627
6,sbert,0.24622571428571438
6,sroberta,0.40260399515738504
6,sroberta,0.2693766666666667
6,sroberta,0.3297119047619048
6,sroberta,0.251154761904762
6,sroberta,0.2372366666666667
6,w2v_pretrained,0.22576190476190483
6,w2v_pretrained,0.2903380952380953
6,w2v_pretrained,0.2862442857142858
6,w2v_pretrained,0.2785133333333334
6,w2v_self,0.2660371428571429
6,w2v_self,0.2972161904761905
6,w2v_self,0.2914752380952382
7,bge,0.25441916666666664
7,bge,0.24153833333333333
7,bge,0.242085
7,e5,0.28500000000000003
7,e5,0.26402416666666667
7,e5,0.28839000000000004
7,e5,0.25970916666666666
7,e5,0.23774916666666668
7,fasttext_pretrained,0.3055408333333334
7,fasttext_pretrained,0.2841633333333333
7,fasttext_pretrained,0.29167916666666666
7,glove_pretrained,0.35905
7,glove_pretrained,0.28942500000000004
7,glove_pretrained,0.2801675
7,glove_pretrained,0.2925991666666667
7,gte,0.24378225806451614
7,gte,0.24414666666666668
7,gte,0.31069
7,gte,0.24709916666666668
7,gte,0.23510583333333335
7,instructor,0.42799166666666666
7,instructor,0.2609725
7,instructor,0.3744
7,instructor,0.24520250000000002
7,instructor,0.250635
7,minilm,0.3322086206896552
7,minilm,0.23603666666666667
7,minilm,0.2774833333333333
7,minilm,0.23511500000000002
7,minilm,0.21871666666666667
7,mpnet,0.24393416666666667
7,mpnet,0.27665000000000006
7,mpnet,0.23980083333333335
7,mpnet,0.22680500000000003
7,sbert,0.252815
7,sbert,0.33258571428571426
7,sbert,0.25791166666666665
7,sbert,0.2415341666666667
7,sroberta,0.29219375000000003
7,sroberta,0.26573583333333334
7,sroberta,0.24964500000000003
7,sroberta,0.23866333333333334
7,w2v_pretrained,0.29589615384615386
7,w2v_pretrained,0.2925658333333333
7,w2v_pretrained,0.27681583333333337
7,w2v_pretrained,0.27959
7,w2v_self,0.39109285714285713
7,w2v_self,0.27097583333333336
7,w2v_self,0.2887341666666667
7,w2v_self,0.28131083333333334
8,bge,0.23872666666666667
8,bge,0.2220888888888889
8,bge,0.23468888888888886
8,e5,0.2411
8,e5,0.25591555555555556
8,e5,0.24294444444444444
8,e5,0.22106666666666666
8,fasttext_pretrained,0.2738911111111111
8,fasttext_pretrained,0.2505111111111111
8,fasttext_pretrained,0.2701577777777778
8,glove_pretrained,0.25984166666666664
8,glove_pretrained,0.2602422222222222
8,glove_pretrained,0.2635733333333333
8,glove_pretrained,0.26483999999999996
8,gte,0.21195333333333335
8,gte,0.24389555555555556
8,gte,0.21455333333333335
8,gte,0.2250888888888889
8,instructor,0.23221777777777775
8,instructor,0.35819999999999996
8,instructor,0.22297333333333333
8,instructor,0.2410911111111111
8,minilm,0.136125
8,minilm,0.20635555555555557
8,minilm,0.2145111111111111
8,minilm,0.20588666666666666
8,mpnet,0.21686444444444444
8,mpnet,0.22069333333333332
8,mpnet,0.20533555555555555
8,sbert,0.2215666666666667
8,sbert,0.23661333333333334
8,sbert,0.21754222222222222
8,sroberta,0.3752533333333333
8,sroberta,0.24588666666666667
8,sroberta,0.22883111111111112
8,sroberta,0.21812222222222222
8,w2v_pretrained,0.30622222222222223
8,w2v_pretrained,0.2778488888888889
8,w2v_pretrained,0.2506244444444444
8,w2v_pretrained,0.2515533333333333
8,w2v_self,0.3601238095238095
8,w2v_self,0.2570222222222222
8,w2v_self,0.26086444444444445
8,w2v_self,0.2735444444444445
