k,method,rank,mean_f1
2,logistic_regression,1,0.7383206896551724
2,glove_pretrained,2,0.6103375
2,mpnet,3,0.5965888888888888
2,bge,4,0.5939311111111111
2,gte,5,0.5929622222222222
2,bge,6,0.5928822222222222
2,mpnet,7,0.5896466666666667
2,sroberta,8,0.5890222222222222
2,minilm,9,0.5821422222222222
2,instructor,10,0.5818288888888888
2,bge,11,0.5781755555555556
2,gte,12,0.5708422222222223
2,mpnet,13,0.5667088888888888
2,instructor,14,0.5663444444444444
2,minilm,15,0.5618622222222223
2,sroberta,16,0.5611288888888889
2,sroberta,17,0.5607777777777778
2,glove_pretrained,18,0.5552444444444444
2,gte,19,0.5545822222222222
2,instructor,20,0.5539933333333333
2,sbert,21,0.5536755555555555
2,glove_pretrained,22,0.5530288888888889
2,sbert,23,0.5510711111111112
2,e5,24,0.5499288888888889
2,minilm,25,0.5492755555555556
2,instructor,26,0.5450133333333333
2,e5,27,0.54176
2,glove_pretrained,28,0.5408066666666667
2,w2v_pretrained,29,0.5398177777777777
2,w2v_pretrained,30,0.5330111111111111
2,w2v_pretrained,31,0.5304377777777778
2,fasttext_pretrained,32,0.5296266666666667
2,sbert,33,0.5285733333333333
2,w2v_self,34,0.5264022222222222
2,fasttext_pretrained,35,0.5236488888888888
2,glove_pretrained,36,0.5192153846153846
2,e5,37,0.5159555555555555
2,fasttext_pretrained,38,0.5121333333333333
2,fasttext_pretrained,39,0.5112315789473684
2,fasttext_pretrained,40,0.5000071428571429
2,mpnet,41,0.49953200000000003
2,w2v_self,42,0.49466666666666664
2,minilm,43,0.49379285714285714
2,w2v_self,44,0.49085555555555554
2,w2v_self,45,0.4878266666666667
2,w2v_pretrained,46,0.48744583333333336
2,w2v_pretrained,47,0.48571111111111115
2,sroberta,48,0.48015555555555556
2,w2v_self,49,0.4783842105263158
2,bge,50,0.4713555555555555
2,sroberta,51,0.46481666666666666
2,instructor,52,0.46378846153846154
2,e5,53,0.4602
2,e5,54,0.45981428571428573
2,bge,55,0.4524888888888889
2,sbert,56,0.4521
2,minilm,57,0.4507125
2,gte,58,0.447144
2,mpnet,59,0.44459166666666666
2,gte,60,0.4375928571428571
2,sbert,61,0.4343666666666667
3,logistic_regression,1,0.6528785714285714
3,glove_pretrained,2,0.49002
3,mpnet,3,0.4529783333333333
3,sroberta,4,0.4384454545454545
3,minilm,5,0.42783333333333334
3,gte,6,0.42741666666666667
3,bge,7,0.42431583333333334
3,instructor,8,0.4224475
3,mpnet,9,0.41856333333333334
3,sroberta,10,0.415935
3,mpnet,11,0.41278583333333335
3,w2v_pretrained,12,0.41267200000000004
3,sroberta,13,0.4126575
3,bge,14,0.4116275
3,minilm,15,0.4072558333333333
3,mpnet,16,0.4043894736842105
3,instructor,17,0.40074666666666664
3,sbert,18,0.39863333333333334
3,bge,19,0.3986175
3,bge,20,0.3983054054054054
3,instructor,21,0.39779916666666665
3,sbert,22,0.3963491666666667
