embedding,clustering,k,mean,std
bge,dbscan,2,0.4713555555555555,0.10083858515672593
bge,dbscan,3,0.3983054054054054,0.08155888447395929
bge,dbscan,4,0.32929302325581394,0.0675517945739868
bge,dbscan,5,0.28986666666666666,0.03138500896732049
bge,dbscan,6,0.27376666666666666,0.0020256686138984278
bge,hac,2,0.5928822222222222,0.1791526067210564
bge,hac,3,0.3986175,0.13968424095139748
bge,hac,4,0.33428476190476186,0.11359133608122651
bge,hac,5,0.2992345238095238,0.09198652399230378
bge,hac,6,0.2670361904761905,0.07369109730991026
bge,hac,7,0.23033083333333335,0.06667032247154189
bge,hac,8,0.20537333333333332,0.05645055519495075
bge,hac,9,0.19761,0.04252806785589436
bge,hac,10,0.1754,
bge,hdbscan,2,0.4524888888888889,0.13290673815029708
bge,hdbscan,3,0.30402500000000005,0.06165930218105412
bge,hdbscan,4,0.28328749999999997,0.03947125880611272
bge,hdbscan,5,0.224105,0.030504365088847272
bge,hdbscan,10,0.0945,
bge,kmeans,2,0.5781755555555556,0.1782116287343831
bge,kmeans,3,0.4116275,0.1453579111938482
bge,kmeans,4,0.3475466666666666,0.10507181555603967
bge,kmeans,5,0.31143333333333334,0.08568367470851015
bge,kmeans,6,0.2767647619047619,0.06970410184871718
bge,kmeans,7,0.2432116666666667,0.060697489576557934
bge,kmeans,8,0.2220111111111111,0.050538055967855544
bge,kmeans,9,0.22193000000000002,0.04410134918571087
bge,kmeans,10,0.2005,
bge,spectral,2,0.5939311111111111,0.17767113238460627
bge,spectral,3,0.42431583333333334,0.131922842866154
bge,spectral,4,0.3289385714285714,0.11145033003511053
bge,spectral,5,0.2770222222222222,0.11073101674753306
bge,spectral,6,0.24997809523809525,0.09649285615122269
bge,spectral,7,0.24266500000000002,0.07207892575375362
bge,spectral,8,0.20941111111111113,0.06201850245261204
bge,spectral,9,0.17228,0.06344750761237374
bge,spectral,10,0.1724,
e5,dbscan,2,0.4602,0.09764480528937523
e5,dbscan,3,0.30919285714285716,0.06396309658598251
e5,dbscan,4,0.2730444444444444,0.05283418425263163
e5,dbscan,5,0.2374125,0.07353511187569806
e5,dbscan,6,0.18535000000000001,0.015846737547807462
e5,dbscan,7,0.19974999999999998,0.015475758169120215
e5,dbscan,8,0.20299999999999999,0.020808652046684795
e5,hac,2,0.5159555555555555,0.17716149996742256
e5,hac,3,0.38253,0.1522804476047043
e5,hac,4,0.3291985714285714,0.12297432784510029
e5,hac,5,0.27937936507936506,0.10176508791486583
e5,hac,6,0.25821285714285713,0.08035766206804235
e5,hac,7,0.22072583333333334,0.06045247803142611
e5,hac,8,0.18818444444444443,0.04937976653888051
e5,hac,9,0.16833,0.041308945762389054
e5,hac,10,0.1829,
e5,hdbscan,2,0.45981428571428573,0.18258824246296443
e5,hdbscan,3,0.2804888888888889,0.08808226842049999
e5,hdbscan,4,0.27355555555555555,0.05642570582436499
e5,hdbscan,5,0.24189166666666664,0.015944957405608425
e5,hdbscan,6,0.20829375,0.019259092008711107
e5,hdbscan,7,0.19636,0.001984439467456746
e5,kmeans,2,0.54176,0.17619021281248598
e5,kmeans,3,0.38270666666666664,0.15714339901612714
e5,kmeans,4,0.32133285714285714,0.12176185524913603
e5,kmeans,5,0.27837182539682537,0.10422110861967265
e5,kmeans,6,0.2465442857142857,0.08497364967705878
e5,kmeans,7,0.22504083333333333,0.07091636865941131
e5,kmeans,8,0.20115555555555556,0.05799931643623661
e5,kmeans,9,0.19071,0.04621828522228934
e5,kmeans,10,0.2075,
e5,spectral,2,0.5499288888888889,0.15720048378109436
e5,spectral,3,0.395175,0.16068144185406885
e5,spectral,4,0.34103333333333335,0.1241944563916003
e5,spectral,5,0.28374484126984123,0.11194523282643318
e5,spectral,6,0.2531309523809524,0.10236547453648162
e5,spectral,7,0.24700083333333334,0.08478843021579881
e5,spectral,8,0.22303333333333333,0.06529160812010293
