method,class,avg_binary_f1
sbert,0,0.615125
sbert,1,0.4572431818181819
sbert,2,0.5806043478260869
sbert,3,0.6884470588235294
sbert,4,0.649725
sbert,5,0.6116291666666667
sbert,6,0.5451812500000001
sbert,7,0.5803384615384616
sbert,8,0.6208760000000001
sbert,9,0.5748645833333333
sbert,10,0.56785
sbert,11,0.5491795918367347
sroberta,0,0.6428259999999999
sroberta,1,0.4734152173913044
sroberta,2,0.6332395833333333
sroberta,3,0.6670134615384615
sroberta,4,0.6490560000000001
sroberta,5,0.6256282608695651
sroberta,6,0.5716519999999999
sroberta,7,0.6619122448979592
sroberta,8,0.6327857142857142
sroberta,9,0.6379619999999999
sroberta,10,0.574187037037037
sroberta,11,0.5214365384615384
mpnet,0,0.69846875
mpnet,1,0.47159245283018875
mpnet,2,0.6528826923076925
mpnet,3,0.651533962264151
mpnet,4,0.6656702127659575
mpnet,5,0.6209978723404256
mpnet,6,0.5953791666666667
mpnet,7,0.6510446808510637
mpnet,8,0.7064812500000001
mpnet,9,0.650976
mpnet,10,0.6344250000000001
mpnet,11,0.5994755555555555
minilm,0,0.6431391304347827
minilm,1,0.4655684210526315
minilm,2,0.6374348837209303
minilm,3,0.6469039999999999
minilm,4,0.6606510638297872
minilm,5,0.6347022222222224
minilm,6,0.573064705882353
minilm,7,0.6380734693877551
minilm,8,0.694588
minilm,9,0.6616622222222222
minilm,10,0.6155038461538461
minilm,11,0.5282541666666667
e5,0,0.6547790697674418
e5,1,0.43917045454545445
e5,2,0.6252658536585366
e5,3,0.7190063829787234
e5,4,0.6632086956521741
e5,5,0.5993704545454546
e5,6,0.5556651162790697
e5,7,0.5361480000000001
e5,8,0.6259023255813954
e5,9,0.6528651162790697
e5,10,0.5388716981132076
e5,11,0.5306777777777777
instructor,0,0.6873404761904762
instructor,1,0.45712972972972976
instructor,2,0.6863142857142858
instructor,3,0.6894826086956521
instructor,4,0.7287418604651162
instructor,5,0.636632558139535
instructor,6,0.5506829787234041
instructor,7,0.6213487804878048
instructor,8,0.6922622222222222
instructor,9,0.6494209302325582
instructor,10,0.5747325581395348
instructor,11,0.5921374999999999
bge,0,0.6983391304347826
bge,1,0.47547272727272727
bge,2,0.6605266666666667
bge,3,0.71065
bge,4,0.7148833333333333
bge,5,0.6654765957446808
bge,6,0.5587346153846154
bge,7,0.694308695652174
bge,8,0.7183779999999999
bge,9,0.6460955555555555
bge,10,0.6025384615384616
bge,11,0.6277795454545454
gte,0,0.7178255813953488
gte,1,0.4713181818181818
gte,2,0.6427761904761905
gte,3,0.7182021276595745
gte,4,0.7390317073170731
gte,5,0.6343697674418605
gte,6,0.5712159090909091
gte,7,0.6522325
gte,8,0.6585851063829787
gte,9,0.6570767441860464
gte,10,0.5581396226415094
gte,11,0.6106046511627907
w2v_self,0,0.4530852941176471
w2v_self,1,0.4655022727272728
w2v_self,2,0.4716529411764706
w2v_self,3,0.5180285714285714
w2v_self,4,0.4468810810810811
w2v_self,5,0.4845970588235294
w2v_self,6,0.4883971428571429
w2v_self,7,0.4631857142857143
w2v_self,8,0.5010714285714285
w2v_self,9,0.4693142857142858
w2v_self,10,0.496627027027027
w2v_self,11,0.4957837837837838
w2v_pretrained,0,0.6256297872340426
w2v_pretrained,1,0.45408888888888893
w2v_pretrained,2,0.5544609756097562
w2v_pretrained,3,0.7222326530612245
w2v_pretrained,4,0.6089958333333333
w2v_pretrained,5,0.5425690476190477
w2v_pretrained,6,0.5898249999999999
w2v_pretrained,7,0.57295625
w2v_pretrained,8,0.5911348837209301
w2v_pretrained,9,0.5597021739130436
w2v_pretrained,10,0.4910980392156863
w2v_pretrained,11,0.5630772727272727
fasttext_pretrained,0,0.6242023255813953
fasttext_pretrained,1,0.4394472727272727
fasttext_pretrained,2,0.5041933333333333
fasttext_pretrained,3,0.6527313725490197
fasttext_pretrained,4,0.56685
fasttext_pretrained,5,0.5437930232558139
fasttext_pretrained,6,0.5679063829787234
fasttext_pretrained,7,0.6263404255319148
fasttext_pretrained,8,0.582728888888889
fasttext_pretrained,9,0.5611978723404256
fasttext_pretrained,10,0.4929692307692307
fasttext_pretrained,11,0.5457510638297873
glove_pretrained,0,0.5666555555555556
glove_pretrained,1,0.4514109090909091
glove_pretrained,2,0.5364186046511628
glove_pretrained,3,0.7127270833333333
glove_pretrained,4,0.543626530612245
glove_pretrained,5,0.5521395348837209
glove_pretrained,6,0.5623425531914894
glove_pretrained,7,0.5531865384615385
glove_pretrained,8,0.6309357142857144
glove_pretrained,9,0.5728720930232558
glove_pretrained,10,0.5292916666666666
glove_pretrained,11,0.5880560975609757
logistic_regression,0,0.8910454545454546
logistic_regression,1,0.8472999999999999
logistic_regression,2,0.7388181818181817
logistic_regression,3,0.8460636363636364
logistic_regression,4,0.8202181818181817
logistic_regression,5,0.8222363636363638
logistic_regression,6,0.8030818181818181
logistic_regression,7,0.8589454545454547
logistic_regression,8,0.7693909090909089
logistic_regression,9,0.8482090909090908
logistic_regression,10,0.8589181818181818
logistic_regression,11,0.8183
