embedding,k,difference
bge,2,-0.006259090909090936
bge,3,0.016734545454545446
bge,4,0.008546060606060613
bge,5,0.0044378787878787684
bge,6,0.004048917748917746
bge,7,0.0023088383838384408
bge,8,0.006393131313131323
bge,9,0.00356363636363638
bge,10,-0.004810606060606071
bge,11,-0.0059583333333333155
bge,12,0.0204
e5,2,0.0014106060606060566
e5,3,0.00306500000000004
e5,4,0.0159759595959596
e5,5,0.023614015151515122
e5,6,0.016949783549783548
e5,7,0.014943181818181828
e5,8,0.012428282828282844
e5,9,0.006812727272727248
e5,10,0.008966666666666706
e5,11,-0.004358333333333353
e5,12,0.006400000000000017
fasttext_pretrained,2,-0.0006969696969696404
fasttext_pretrained,3,0.01851727272727277
fasttext_pretrained,4,0.002451111111111126
fasttext_pretrained,5,0.004289393939393926
fasttext_pretrained,6,0.0002183982683982566
fasttext_pretrained,7,0.0017265151515151733
fasttext_pretrained,8,0.004358181818181817
fasttext_pretrained,9,0.007095909090909069
fasttext_pretrained,10,0.011936363636363662
fasttext_pretrained,11,0.012124999999999997
fasttext_pretrained,12,0.018500000000000003
glove_pretrained,2,-0.015178787878787792
glove_pretrained,3,0.00024045454545451594
glove_pretrained,4,-0.020159393939393977
glove_pretrained,5,-0.010767803030303058
glove_pretrained,6,-0.006011580086580093
glove_pretrained,7,-0.003241035353535371
glove_pretrained,8,-0.0021246464646464402
glove_pretrained,9,-0.0008463636363636173
glove_pretrained,10,0.007440909090909109
glove_pretrained,11,0.01020833333333332
glove_pretrained,12,-0.012899999999999995
gte,2,-0.0018575757575758356
gte,3,0.010207727272727285
gte,4,0.008181818181818235
gte,5,0.014489646464646455
gte,6,0.011046645021644985
gte,7,0.013587878787878815
gte,8,0.011657979797979806
gte,9,0.00967636363636365
gte,10,0.014922727272727254
gte,11,0.014158333333333356
gte,12,0.029700000000000004
instructor,2,0.03256363636363635
instructor,3,0.025203636363636372
instructor,4,0.01911858585858589
instructor,5,0.010132196969696972
instructor,6,0.009381818181818213
instructor,7,0.01261729797979802
instructor,8,0.011090909090909068
instructor,9,0.01133772727272725
instructor,10,0.008853030303030307
instructor,11,-0.0015833333333333532
instructor,12,0.021600000000000008
minilm,2,0.013737878787878799
minilm,3,0.00960227272727271
minilm,4,0.012989494949494973
minilm,5,0.01316047979797974
minilm,6,0.016341883116883116
minilm,7,0.018693434343434345
minilm,8,0.015601818181818189
minilm,9,0.008273636363636372
minilm,10,0.008768181818181814
minilm,11,0.01882499999999998
minilm,12,-0.0295
mpnet,2,0.03489696969696976
mpnet,3,0.01725363636363636
mpnet,4,0.019459393939393943
mpnet,5,0.024699747474747458
mpnet,6,0.028770129870129946
mpnet,7,0.02460871212121213
mpnet,8,0.01699252525252523
mpnet,9,0.007686818181818156
mpnet,10,0.012289393939393961
mpnet,11,0.016241666666666682
mpnet,12,-0.01930000000000001
sbert,2,-0.007309090909091043
sbert,3,-0.017436818181818192
sbert,4,0.0010517171717172036
sbert,5,0.003396590909090891
sbert,6,0.003365909090909114
sbert,7,0.006138762626262617
sbert,8,0.007621010101010128
sbert,9,0.007025454545454529
sbert,10,0.01359545454545455
sbert,11,0.019925000000000026
sbert,12,-0.003700000000000009
sroberta,2,0.01994696969696963
sroberta,3,0.008699545454545432
sroberta,4,0.021534747474747484
sroberta,5,0.01781515151515156
sroberta,6,0.012434523809523756
sroberta,7,0.0016821969696969585
sroberta,8,-0.004350505050505049
sroberta,9,-0.010484545454545413
sroberta,10,-0.010287878787878763
sroberta,11,-0.004358333333333297
sroberta,12,0.0267
w2v_pretrained,2,0.008640909090909199
w2v_pretrained,3,0.012194090909090904
w2v_pretrained,4,0.0015943434343433927
w2v_pretrained,5,-0.002271085858585875
w2v_pretrained,6,-0.0012576839826839437
w2v_pretrained,7,0.0028465909090909236
w2v_pretrained,8,0.006066868686868676
w2v_pretrained,9,0.009911363636363607
w2v_pretrained,10,0.012645454545454543
w2v_pretrained,11,0.013708333333333322
w2v_pretrained,12,0.03340000000000001
w2v_self,2,0.01292575757575759
w2v_self,3,0.01273409090909089
w2v_self,4,0.017658181818181823
w2v_self,5,0.014517676767676818
w2v_self,6,0.013400324675324676
w2v_self,7,0.0165790404040404
w2v_self,8,0.012958787878787889
w2v_self,9,0.010581363636363653
w2v_self,10,0.011925757575757576
w2v_self,11,0.0071249999999999925
w2v_self,12,0.001799999999999996
