method,slope,r2
bge,-0.0367301750626938,0.539422945755277
e5,-0.036425010081468784,0.6253621203787154
fasttext_pretrained,-0.03402492850211086,0.5422948676144265
glove_pretrained,-0.036124555338715475,0.6010799010027182
gte,-0.03930632975881308,0.6161172137070056
instructor,-0.03632620249819334,0.49400904776014576
logistic_regression,-0.02273567348812805,0.8944424648006727
minilm,-0.03791914158608556,0.5670391281015359
mpnet,-0.039734954016515035,0.5426753246706725
sbert,-0.035800059528063866,0.5458994407402018
sroberta,-0.03497186558717396,0.5035464578860966
w2v_pretrained,-0.035307485166039786,0.6130502788374921
w2v_self,-0.03363161311215551,0.7249880052269635
