k,unsupervised_method,gap
2,bge,0.2988424901185771
2,bge,0.13878636363636365
2,bge,0.29338791102514516
2,bge,0.1450454545454546
2,bge,0.10015909090909092
2,e5,0.4601048589341693
2,e5,0.21236969696969699
2,e5,0.3096681818181818
2,e5,0.21095909090909093
2,e5,0.12450303030303034
2,fasttext_pretrained,0.4023950505050505
2,fasttext_pretrained,0.23825757575757578
2,fasttext_pretrained,0.37941536796536796
2,fasttext_pretrained,0.23895454545454542
2,fasttext_pretrained,0.1715757575757576
2,glove_pretrained,0.40305227272727273
2,glove_pretrained,0.21054090909090917
2,glove_pretrained,0.3666372727272727
2,glove_pretrained,0.22571969696969696
2,glove_pretrained,0.2026787878787879
2,gte,0.4458582251082251
2,gte,0.1524939393939394
2,gte,0.2994511857707509
2,gte,0.15435151515151524
2,gte,0.11562878787878794
2,instructor,0.32143282828282826
2,instructor,0.17386515151515158
2,instructor,0.3396568181818182
2,instructor,0.14130151515151523
2,instructor,0.1386954545454545
2,minilm,0.3171799043062201
2,minilm,0.15218030303030305
2,minilm,0.35194031620553357
2,minilm,0.13844242424242426
2,minilm,0.1705363636363636
2,mpnet,0.26864772727272723
2,mpnet,0.17549848484848485
2,mpnet,0.32174708404802743
2,mpnet,0.1406015151515151
2,mpnet,0.11596212121212124
2,sbert,0.38447500000000007
2,sbert,0.17269848484848482
2,sbert,0.3327753859348199
2,sbert,0.18000757575757587
2,sbert,0.18817272727272727
2,sroberta,0.37102066895368785
2,sroberta,0.1678560606060605
2,sroberta,0.3285879110251451
2,sroberta,0.14790909090909088
2,sroberta,0.14129090909090913
2,w2v_pretrained,0.41391060606060603
2,w2v_pretrained,0.21453636363636375
2,w2v_pretrained,0.3264550505050505
2,w2v_pretrained,0.20589545454545455
2,w2v_pretrained,0.20802727272727273
2,w2v_self,0.37154848484848485
2,w2v_self,0.393499494949495
2,w2v_self,0.35862272727272726
2,w2v_self,0.300069696969697
3,bge,0.4417045104895104
3,bge,0.29245454545454536
3,bge,0.37729324675324666
3,bge,0.2757199999999999
3,bge,0.24116272727272725
3,e5,0.5021085828877004
3,e5,0.3264513636363636
3,e5,0.4719662059369202
3,e5,0.3233863636363636
3,e5,0.261945
3,fasttext_pretrained,0.4812273737373737
3,fasttext_pretrained,0.3543795454545454
3,fasttext_pretrained,0.49791904040404034
3,fasttext_pretrained,0.33586227272727265
3,fasttext_pretrained,0.29591090909090906
3,glove_pretrained,0.48532719792865353
3,glove_pretrained,0.3273027272727272
3,glove_pretrained,0.5038489920948617
3,glove_pretrained,0.3270622727272727
3,glove_pretrained,0.31849681818181813
3,gte,0.452773961038961
3,gte,0.29114772727272725
3,gte,0.4491338552188552
3,gte,0.28093999999999997
3,gte,0.2565563636363636
3,instructor,0.6578559090909091
3,instructor,0.31463818181818176
3,instructor,0.49301881818181814
3,instructor,0.2894345454545454
3,instructor,0.28144318181818173
3,minilm,0.4305691759053954
3,minilm,0.2924836363636363
3,minilm,0.46755124856156494
3,minilm,0.28288136363636357
3,minilm,0.29875590909090904
3,mpnet,0.41449765851795256
3,mpnet,0.2982540909090909
3,mpnet,0.4198996753246753
3,mpnet,0.2810004545454545
3,mpnet,0.25959772727272723
3,sbert,0.5055427198211624
3,sbert,0.30178318181818176
3,sbert,0.4615904689754689
3,sbert,0.31921999999999995
3,sbert,0.32287909090909084
3,sroberta,0.47794329705505756
3,sroberta,0.3092045454545454
3,sroberta,0.45315492628992626
3,sroberta,0.30050499999999997
3,sroberta,0.29031545454545454
3,w2v_pretrained,0.5000519905956112
3,w2v_pretrained,0.33057318181818174
3,w2v_pretrained,0.4658448181818181
3,w2v_pretrained,0.31837909090909083
3,w2v_pretrained,0.313395
3,w2v_self,0.4705863636363636
3,w2v_self,0.4578522727272727
3,w2v_self,0.4181704545454545
4,bge,0.46241187824187824
4,bge,0.3310185858585859
4,bge,0.5189882295932295
4,bge,0.3224725252525253
4,bge,0.3176511111111111
4,e5,0.4929510992275698
4,e5,0.38094767676767677
4,e5,0.5184997413386199
4,e5,0.36497171717171717
4,e5,0.33752242424242423
4,fasttext_pretrained,0.5259501942501943
4,fasttext_pretrained,0.3838258585858586
4,fasttext_pretrained,0.5353871982987772
4,fasttext_pretrained,0.3813747474747475
4,fasttext_pretrained,0.3541418181818182
4,glove_pretrained,0.5203631381484013
4,glove_pretrained,0.3660187878787879
4,glove_pretrained,0.5349764213564213
4,glove_pretrained,0.38617818181818186
4,glove_pretrained,0.36489454545454547
4,gte,0.48555541295306004
4,gte,0.34051030303030305
4,gte,0.5024071173271173
4,gte,0.3323284848484848
4,gte,0.32376181818181815
4,instructor,0.6221891197691197
4,instructor,0.3553280808080808
4,instructor,0.5185728058361392
4,instructor,0.3362094949494949
4,instructor,0.3586355555555556
4,minilm,0.5104172674956738
4,minilm,0.3400840404040404
4,minilm,0.51052101010101
4,minilm,0.3270945454545454
4,minilm,0.35762282828282826
4,mpnet,0.4863010518982933
4,mpnet,0.3396913131313131
4,mpnet,0.4949615404040404
4,mpnet,0.3202319191919192
4,mpnet,0.32034
4,sbert,0.551756876224936
4,sbert,0.3588539393939394
4,sbert,0.4884407070707071
4,sbert,0.3578022222222222
4,sbert,0.3809357575757576
4,sroberta,0.49909133600152467
4,sroberta,0.3562038383838384
4,sroberta,0.521464425019425
4,sroberta,0.3346690909090909
4,sroberta,0.35532909090909087
4,w2v_pretrained,0.5488045713774917
4,w2v_pretrained,0.3697753535353535
4,w2v_pretrained,0.5116003844900618
4,w2v_pretrained,0.3681810101010101
4,w2v_pretrained,0.35811777777777776
4,w2v_self,0.5004921212121212
4,w2v_self,0.48283393939393937
4,w2v_self,0.4581781818181818
5,bge,0.5170307008766915
5,bge,0.34726186868686865
5,bge,0.47811201437451434
5,bge,0.3428239898989899
5,bge,0.3599714646464646
5,e5,0.48840368104118104
5,e5,0.3991458333333333
5,e5,0.5413869734579841
5,e5,0.3755318181818182
5,e5,0.37215214646464645
5,fasttext_pretrained,0.572552398989899
5,fasttext_pretrained,0.41048030303030303
5,fasttext_pretrained,0.518146977303152
5,fasttext_pretrained,0.4061909090909091
5,fasttext_pretrained,0.38313712121212123
5,glove_pretrained,0.5299408605283605
5,glove_pretrained,0.3904320707070707
5,glove_pretrained,0.5562214466089466
5,glove_pretrained,0.40119987373737376
5,glove_pretrained,0.394785101010101
5,gte,0.47175586433643363
5,gte,0.36190757575757576
5,gte,0.5086108200425306
5,gte,0.3474179292929293
5,gte,0.3689080808080808
5,instructor,0.5756635711510711
5,instructor,0.3738813131313131
5,instructor,0.487302398989899
5,instructor,0.36374911616161615
5,instructor,0.38879343434343433
5,minilm,0.5414453323232323
5,minilm,0.36022436868686863
5,minilm,0.5253492197991475
5,minilm,0.3470638888888889
5,minilm,0.38948598484848485
5,mpnet,0.5583195493856773
5,mpnet,0.36444242424242423
5,mpnet,0.5312437213039486
5,mpnet,0.3397426767676768
5,mpnet,0.358900505050505
5,sbert,0.560877398989899
5,sbert,0.3765613636363636
5,sbert,0.5042166847041847
5,sbert,0.3731647727272727
5,sbert,0.4106962121212121
5,sroberta,0.5375844823232323
5,sroberta,0.3759348484848485
5,sroberta,0.5123936270600744
