k,method,rank,mean_f1
2,logistic_regression,1,0.8268772727272727
2,bge,2,0.7267181818181818
2,gte,3,0.7112484848484848
2,mpnet,4,0.7109151515151515
2,e5,5,0.7023742424242424
2,minilm,6,0.6884348484848485
2,instructor,7,0.6881818181818182
2,bge,8,0.6880909090909091
2,mpnet,9,0.6862757575757577
2,sroberta,10,0.6855863636363636
2,instructor,11,0.6855757575757575
2,bge,12,0.6818318181818182
2,sroberta,13,0.6789681818181819
2,minilm,14,0.6746969696969697
2,gte,15,0.6743833333333333
2,gte,16,0.6725257575757575
2,sroberta,17,0.6590212121212122
2,minilm,18,0.6563409090909091
2,fasttext_pretrained,19,0.6553015151515151
2,sbert,20,0.6541787878787879
2,instructor,21,0.6530121212121212
2,mpnet,22,0.6513787878787879
2,sbert,23,0.6468696969696969
2,sbert,24,0.6387045454545455
2,glove_pretrained,25,0.6241984848484848
2,w2v_pretrained,26,0.6209818181818182
2,w2v_pretrained,27,0.61885
2,glove_pretrained,28,0.6163363636363636
2,e5,29,0.6159181818181818
2,e5,30,0.6145075757575758
2,w2v_pretrained,31,0.612340909090909
2,glove_pretrained,32,0.6011575757575758
2,fasttext_pretrained,33,0.588619696969697
2,fasttext_pretrained,34,0.5879227272727273
2,mpnet,35,0.5582295454545455
2,bge,36,0.5334893617021276
2,bge,37,0.5280347826086956
2,gte,38,0.5274260869565218
2,w2v_self,39,0.5268075757575758
2,e5,40,0.517209090909091
2,minilm,41,0.5096973684210526
2,instructor,42,0.5054444444444445
2,mpnet,43,0.5051301886792453
2,w2v_pretrained,44,0.5004222222222222
2,sroberta,45,0.4982893617021276
2,sbert,46,0.4941018867924528
2,instructor,47,0.48722045454545454
2,minilm,48,0.4749369565217392
2,w2v_self,49,0.4682545454545455
2,glove_pretrained,50,0.46024000000000004
2,sroberta,51,0.4558566037735849
2,w2v_self,52,0.4553287878787879
2,fasttext_pretrained,53,0.4474619047619048
2,sbert,54,0.44240227272727267
2,w2v_self,55,0.43337777777777775
2,fasttext_pretrained,56,0.42448222222222226
2,glove_pretrained,57,0.423825
2,w2v_pretrained,58,0.4129666666666667
2,gte,59,0.38101904761904765
2,e5,60,0.36677241379310344
3,logistic_regression,1,0.7655968181818181
3,bge,2,0.5244340909090909
3,gte,3,0.5090404545454545
3,mpnet,4,0.5059990909090909
3,e5,5,0.5036518181818181
3,bge,6,0.4898768181818182
3,gte,7,0.48465681818181816
3,mpnet,8,0.4845963636363636
3,instructor,9,0.4841536363636364
3,minilm,10,0.48271545454545456
3,instructor,11,0.47616227272727274
3,sroberta,12,0.4752813636363636
3,gte,13,0.4744490909090909
3,bge,14,0.4731422727272728
3,minilm,15,0.47311318181818185
3,fasttext_pretrained,16,0.46968590909090907
3,mpnet,17,0.46734272727272724
3,minilm,18,0.4668409090909091
3,sroberta,19,0.46509181818181816
3,sbert,20,0.4638136363636364
3,sroberta,21,0.45639227272727273
3,w2v_pretrained,22,0.45220181818181815
3,instructor,23,0.45095863636363637
3,w2v_pretrained,24,0.4472177272727273
3,glove_pretrained,25,0.4471
3,sbert,26,0.4463768181818182
3,sbert,27,0.4427177272727273
3,e5,28,0.44221045454545455
3,e5,29,0.4391454545454545
3,glove_pretrained,30,0.43853454545454545
3,glove_pretrained,31,0.43829409090909094
3,w2v_pretrained,32,0.4350236363636364
3,fasttext_pretrained,33,0.4297345454545455
3,fasttext_pretrained,34,0.4112172727272727
3,bge,35,0.38830357142857147
3,mpnet,36,0.35109915966386557
3,w2v_self,37,0.34742636363636364
3,mpnet,38,0.3456971428571428
3,minilm,39,0.33502764227642273
3,bge,40,0.3238923076923077
3,gte,41,0.31646296296296295
3,gte,42,0.3128228571428571
3,sroberta,43,0.31244189189189187
3,w2v_self,44,0.30774454545454544
3,sbert,45,0.3040063492063492
3,w2v_pretrained,46,0.299752
3,minilm,47,0.2980455696202532
3,w2v_self,48,0.29501045454545455
3,e5,49,0.29363061224489795
3,sroberta,50,0.28765352112676057
3,fasttext_pretrained,51,0.28436944444444445
3,glove_pretrained,52,0.2802696202531646
3,instructor,53,0.272578
3,fasttext_pretrained,54,0.2676777777777778
3,w2v_pretrained,55,0.2655448275862069
3,e5,56,0.2634882352941177
3,glove_pretrained,57,0.2617478260869565
