embedding,clustering,k,mean,std
bge,dbscan,2,0.5280347826086956,0.21028793193818937
bge,dbscan,3,0.3238923076923077,0.14234332810828565
bge,dbscan,4,0.25691216216216217,0.06996996215148465
bge,dbscan,5,0.16527169811320755,0.035465838035567965
bge,dbscan,6,0.12054074074074074,0.023511976221833097
bge,dbscan,7,0.10298461538461538,0.011348777184778258
bge,hac,2,0.6880909090909091,0.18049062598908028
bge,hac,3,0.4731422727272728,0.15381663306249838
bge,hac,4,0.3883054545454545,0.1272410170804902
bge,hac,5,0.3350405303030303,0.10872158151420441
bge,hac,6,0.29829242424242425,0.0943565161602296
bge,hac,7,0.2684643939393939,0.08435922343703137
bge,hac,8,0.24126080808080808,0.07511801295156191
bge,hac,9,0.21827681818181818,0.06327862688117365
bge,hac,10,0.20718939393939395,0.05315857881062566
bge,hac,11,0.1945583333333333,0.03131750768945045
bge,hac,12,0.1704,
bge,hdbscan,2,0.5334893617021276,0.1468841960807199
bge,hdbscan,3,0.38830357142857147,0.1701656937226356
bge,hdbscan,4,0.2003358108108108,0.07523672392674516
bge,hdbscan,5,0.20419038461538463,0.08631863057395486
bge,hdbscan,6,0.15721494252873564,0.054159582305626355
bge,hdbscan,7,0.13579139784946237,0.043182581673416646
bge,hdbscan,8,0.14495,0.04089654395780049
bge,hdbscan,9,0.1919,
bge,kmeans,2,0.6818318181818182,0.18558820764849748
bge,kmeans,3,0.4898768181818182,0.16286043457404614
bge,kmeans,4,0.3968515151515151,0.1351276145699301
bge,kmeans,5,0.3394784090909091,0.11675236081444562
bge,kmeans,6,0.302341341991342,0.10069629278716781
bge,kmeans,7,0.27077323232323236,0.08382782632215827
bge,kmeans,8,0.2476539393939394,0.07158711589088682
bge,kmeans,9,0.22184045454545456,0.05921215204300667
bge,kmeans,10,0.20237878787878788,0.04615397812723944
bge,kmeans,11,0.1886,0.04287682145614129
bge,kmeans,12,0.1908,
bge,spectral,2,0.7267181818181818,0.19383251605373203
bge,spectral,3,0.5244340909090909,0.19424136017195948
bge,spectral,4,0.4016729292929293,0.162833247192333
bge,spectral,5,0.32233093434343435,0.14652921504716068
bge,spectral,6,0.26779069264069266,0.1266887140624965
bge,spectral,7,0.2289713383838384,0.11049930993475603
bge,spectral,8,0.19542646464646463,0.10120601472053732
bge,spectral,9,0.20697545454545455,0.06095931001054219
bge,spectral,10,0.21533181818181818,0.03660427952740333
bge,spectral,11,0.21860833333333332,0.019876045808200807
bge,spectral,12,0.2001,
e5,dbscan,2,0.36677241379310344,0.182574884629669
e5,dbscan,3,0.2634882352941177,0.08503621604478698
e5,dbscan,4,0.2263729411764706,0.07282642833385106
e5,dbscan,5,0.19389871794871796,0.04735135108905174
e5,dbscan,6,0.17621845018450186,0.03987147164229717
e5,dbscan,7,0.14110049504950495,0.03382460378325617
e5,dbscan,8,0.08605887445887446,0.06379787645734598
e5,dbscan,9,0.13496,0.03409296216179399
e5,dbscan,10,0.026919148936170215,0.02653062740615631
e5,dbscan,11,0.078,
e5,dbscan,12,0.076,
e5,hac,2,0.6145075757575758,0.1780321382487366
e5,hac,3,0.4391454545454545,0.13700420593908025
e5,hac,4,0.33837636363636364,0.1393631998941105
e5,hac,5,0.28315656565656566,0.12556721736056178
e5,hac,6,0.2524774891774892,0.10808141925043545
e5,hac,7,0.22292007575757575,0.0930366195646614
e5,hac,8,0.19618161616161614,0.0817143348232203
e5,hac,9,0.17735863636363638,0.06731193091714203
e5,hac,10,0.1654090909090909,0.05486501961744274
e5,hac,11,0.164075,0.04549869378744445
e5,hac,12,0.1528,
e5,hdbscan,2,0.517209090909091,0.15489841805335974
e5,hdbscan,3,0.29363061224489795,0.09711200407279225
e5,hdbscan,4,0.20082429906542054,0.09450100113388188
e5,hdbscan,5,0.14091542553191488,0.0545270705112106
e5,hdbscan,6,0.1335076923076923,0.04784928528791316
e5,hdbscan,7,0.13849,0.026764090785146348
e5,hdbscan,8,0.10010000000000001,0.02056866548903939
e5,hdbscan,11,0.0754,
e5,hdbscan,12,0.0657,
e5,kmeans,2,0.6159181818181818,0.2146441964017454
e5,kmeans,3,0.44221045454545455,0.16310861644249
e5,kmeans,4,0.35435232323232324,0.13847152278035313
e5,kmeans,5,0.3067705808080808,0.10468885368863659
e5,kmeans,6,0.26942727272727274,0.0889321907597805
e5,kmeans,7,0.23786325757575758,0.08199986001649623
e5,kmeans,8,0.20860989898989898,0.07345936249552458
e5,kmeans,9,0.18417136363636363,0.0581011104818823
e5,kmeans,10,0.1743757575757576,0.04946141016561393
e5,kmeans,11,0.15971666666666665,0.0328865220619836
e5,kmeans,12,0.1592,
e5,spectral,2,0.7023742424242424,0.2030446614838951
e5,spectral,3,0.5036518181818181,0.18709123002653946
e5,spectral,4,0.3818016161616162,0.15323999302717867
e5,spectral,5,0.3101502525252525,0.13307375263701304
e5,spectral,6,0.2613350649350649,0.11810139676374391
e5,spectral,7,0.21332739898989897,0.11452008394868143
e5,spectral,8,0.17873232323232321,0.10235700090006367
e5,spectral,9,0.15790363636363636,0.08743712253771499
e5,spectral,10,0.15340151515151515,0.05914601616709471
e5,spectral,11,0.14036666666666667,0.05035216585272778
e5,spectral,12,0.16,
fasttext_pretrained,dbscan,2,0.42448222222222226,0.1749370448954928
fasttext_pretrained,dbscan,3,0.28436944444444445,0.10616866681734076
fasttext_pretrained,dbscan,4,0.19337384615384615,0.10409837035966732
fasttext_pretrained,dbscan,5,0.10975,0.07697686029760241
fasttext_pretrained,dbscan,6,0.08723333333333334,0.0027201715632168004
fasttext_pretrained,hac,2,0.588619696969697,0.185597062493081
fasttext_pretrained,hac,3,0.4112172727272727,0.1306613038404835
fasttext_pretrained,hac,4,0.3354981818181818,0.10002124944639056
fasttext_pretrained,hac,5,0.27182209595959594,0.09847656425957417
fasttext_pretrained,hac,6,0.2421806277056277,0.08226710759220981
fasttext_pretrained,hac,7,0.2152391414141414,0.0718387420754199
fasttext_pretrained,hac,8,0.19422121212121213,0.05959596465010337
fasttext_pretrained,hac,9,0.17553909090909092,0.04836085457141492
fasttext_pretrained,hac,10,0.16028030303030302,0.04275079205634932
fasttext_pretrained,hac,11,0.151125,0.032164552057986275
fasttext_pretrained,hac,12,0.1193,
fasttext_pretrained,hdbscan,2,0.4474619047619048,0.1598187158251208
fasttext_pretrained,hdbscan,3,0.2676777777777778,0.0762201589798961
fasttext_pretrained,hdbscan,4,0.18393684210526318,0.04086041443876159
fasttext_pretrained,hdbscan,5,0.164155421686747,0.02385425386726473
fasttext_pretrained,hdbscan,6,0.10309444444444443,0.019605085541383578
fasttext_pretrained,hdbscan,7,0.06398571428571428,0.02303652379530012
fasttext_pretrained,hdbscan,8,0.03666666666666667,0.008111925377697537
fasttext_pretrained,kmeans,2,0.5879227272727273,0.1750801555292314
fasttext_pretrained,kmeans,3,0.4297345454545455,0.13189020924357123
fasttext_pretrained,kmeans,4,0.33794929292929293,0.11395251867623168
fasttext_pretrained,kmeans,5,0.27611148989898987,0.10355100385215381
fasttext_pretrained,kmeans,6,0.24239902597402596,0.08000766315629172
fasttext_pretrained,kmeans,7,0.21696565656565658,0.06817128151269355
fasttext_pretrained,kmeans,8,0.19857939393939394,0.057721506629393966
fasttext_pretrained,kmeans,9,0.182635,0.04542428094187908
fasttext_pretrained,kmeans,10,0.17221666666666668,0.03494632184159602
fasttext_pretrained,kmeans,11,0.16325,0.0324904321580705
fasttext_pretrained,kmeans,12,0.1378,
fasttext_pretrained,spectral,2,0.6553015151515151,0.18931227884304264
fasttext_pretrained,spectral,3,0.46968590909090907,0.15244367664615704
fasttext_pretrained,spectral,4,0.3651822222222222,0.13614645159717204
fasttext_pretrained,spectral,5,0.29916527777777774,0.13156676123308636
fasttext_pretrained,spectral,6,0.24469502164502163,0.1263268557871431
fasttext_pretrained,spectral,7,0.19776275252525252,0.12070612782105072
fasttext_pretrained,spectral,8,0.16658242424242423,0.10513057542336571
fasttext_pretrained,spectral,9,0.14322181818181817,0.08521320066430658
fasttext_pretrained,spectral,10,0.1392348484848485,0.06217347565153548
fasttext_pretrained,spectral,11,0.1359,0.04441494424996246
fasttext_pretrained,spectral,12,0.1461,
glove_pretrained,dbscan,2,0.423825,0.13686511748658015
glove_pretrained,dbscan,3,0.2802696202531646,0.059703320687680334
glove_pretrained,dbscan,4,0.1989609022556391,0.02700596969523162
glove_pretrained,dbscan,5,0.15236153846153846,0.026486729462257847
glove_pretrained,dbscan,6,0.15489036144578314,0.025901132918332542
glove_pretrained,dbscan,7,0.1358,0.030133017605278107
glove_pretrained,dbscan,8,0.09882444444444444,0.020312738452368837
glove_pretrained,dbscan,9,0.04530666666666667,0.034824476222107686
glove_pretrained,dbscan,10,0.008680555555555556,0.00033875355090975517
glove_pretrained,hac,2,0.6163363636363636,0.16494608595758578
glove_pretrained,hac,3,0.43829409090909094,0.13353170304593537
glove_pretrained,hac,4,0.3533052525252525,0.11984352218794216
glove_pretrained,hac,5,0.2918703282828283,0.10340003382292659
glove_pretrained,hac,6,0.2547515151515152,0.08925092937462822
glove_pretrained,hac,7,0.22537222222222222,0.07271094103889855
glove_pretrained,hac,8,0.20196141414141414,0.06265159676291993
glove_pretrained,hac,9,0.1795531818181818,0.05016984885488536
glove_pretrained,hac,10,0.15914090909090908,0.038040727070915936
glove_pretrained,hac,11,0.1419,0.02152584070789845
glove_pretrained,hac,12,0.1382,
glove_pretrained,hdbscan,2,0.46024000000000004,0.1507878281831963
glove_pretrained,hdbscan,3,0.2617478260869565,0.09921876137452862
glove_pretrained,hdbscan,4,0.18434761904761907,0.05824844701413637
glove_pretrained,hdbscan,5,0.12608095238095238,0.04425043072160563
glove_pretrained,hdbscan,6,0.09401333333333332,0.03543154096618005
glove_pretrained,kmeans,2,0.6011575757575758,0.1554765023657234
glove_pretrained,kmeans,3,0.43853454545454545,0.12937085056023356
glove_pretrained,kmeans,4,0.33314585858585855,0.10625402977840415
