method,class,avg_binary_f1
sbert,0,0.453525
sbert,1,0.4363
sbert,2,0.44625000000000004
sroberta,0,0.4485666666666666
sroberta,1,0.35614999999999997
sroberta,2,0.37522500000000003
mpnet,0,0.44343333333333335
mpnet,1,0.360475
mpnet,2,0.37334999999999996
minilm,0,0.43625714285714284
minilm,1,0.35653749999999995
minilm,2,0.3915444444444444
e5,0,0.44960000000000006
e5,1,0.42916666666666664
e5,2,0.44469999999999993
instructor,0,0.45195
instructor,1,0.377125
instructor,2,0.38373749999999995
bge,0,0.4436
bge,1,0.44193333333333334
bge,2,0.45251111111111114
gte,0,0.45341666666666663
gte,1,0.4049833333333333
gte,2,0.4391
w2v_self,0,0.45501250000000004
w2v_self,1,0.38406250000000003
w2v_self,2,0.4164
w2v_pretrained,0,0.45073333333333326
w2v_pretrained,1,0.3445428571428572
w2v_pretrained,2,0.3813142857142857
fasttext_pretrained,0,0.4497666666666667
fasttext_pretrained,1,0.4223571428571429
fasttext_pretrained,2,0.4046142857142857
glove_pretrained,0,0.45749999999999996
glove_pretrained,1,0.43658749999999996
glove_pretrained,2,0.41903749999999995
logistic_regression,0,0.726
logistic_regression,1,0.64585
logistic_regression,2,0.7585500000000001
