embedding,k,difference
bge,2,0.020033333333333347
bge,3,0.02589999999999998
e5,2,-0.0184333333333333
e5,3,-0.031000000000000028
fasttext_pretrained,2,-0.045000000000000095
fasttext_pretrained,3,0.0006999999999999784
glove_pretrained,2,-0.008900000000000075
glove_pretrained,3,-0.040500000000000036
gte,2,-0.012500000000000011
gte,3,-0.061
instructor,2,0.011866666666666692
instructor,3,-0.013300000000000034
minilm,2,0.025233333333333274
minilm,3,-0.052999999999999964
mpnet,2,0.005299999999999971
mpnet,3,-0.06479999999999997
sbert,2,0.017733333333333323
sbert,3,-0.009899999999999992
sroberta,2,0.007566666666666555
sroberta,3,-0.033
w2v_pretrained,2,-0.023299999999999932
w2v_pretrained,3,-0.03130000000000005
w2v_self,2,-0.07269999999999999
w2v_self,3,-0.021900000000000003
