method,slope,r2
bge,-0.17674666666666666,0.8813274270623335
e5,-0.1522555555555556,0.9147971370718544
fasttext_pretrained,-0.10480833333333331,0.48666122129042166
glove_pretrained,-0.11889999999999999,0.7442345273809228
gte,-0.13533333333333333,0.9253508267281756
instructor,-0.07511333333333328,0.07053502925518107
logistic_regression,-0.1209333333333333,1.0
minilm,-0.11712499999999999,0.452560310048284
mpnet,-0.06213999999999997,0.05135818085875432
sbert,-0.178425,0.9122016688206138
sroberta,-0.08113333333333331,0.08130734277567853
w2v_pretrained,-0.033791666666666643,0.017425246262874783
w2v_self,-0.23212333333333332,0.8824060632238986
