k,unsupervised_method,gap
2,bge,0.2296333333333333
2,bge,0.3135333333333333
2,bge,0.2352333333333333
2,bge,0.2934999999999999
2,bge,0.22903333333333326
2,e5,0.27973333333333333
2,e5,0.29816666666666664
2,e5,0.22903333333333326
2,fasttext_pretrained,0.26693333333333324
2,fasttext_pretrained,0.43163333333333326
2,fasttext_pretrained,0.31193333333333334
2,fasttext_pretrained,0.22979999999999995
2,glove_pretrained,0.23543333333333327
2,glove_pretrained,0.2910666666666666
2,glove_pretrained,0.33523333333333327
2,glove_pretrained,0.29996666666666666
2,glove_pretrained,0.22996666666666665
2,gte,0.27806666666666663
2,gte,0.29056666666666664
2,gte,0.26426666666666665
2,instructor,0.6832333333333332
2,instructor,0.30216666666666664
2,instructor,0.2643333333333333
2,instructor,0.29029999999999995
2,instructor,0.22906666666666659
2,minilm,0.4759333333333333
2,minilm,0.31373333333333325
2,minilm,0.25523333333333326
2,minilm,0.2885
2,minilm,0.2642666666666666
2,mpnet,0.6854333333333333
2,mpnet,0.3033333333333333
2,mpnet,0.2643333333333333
2,mpnet,0.2980333333333333
2,mpnet,0.26399999999999996
2,sbert,0.22009999999999996
2,sbert,0.29829999999999995
2,sbert,0.28056666666666663
2,sbert,0.26013333333333327
2,sroberta,0.6930333333333333
2,sroberta,0.3033999999999999
2,sroberta,0.2628333333333333
2,sroberta,0.29583333333333334
2,sroberta,0.2622333333333333
2,w2v_pretrained,0.6637333333333333
2,w2v_pretrained,0.2824
2,w2v_pretrained,0.3056999999999999
2,w2v_pretrained,0.2602
2,w2v_self,0.2351833333333333
2,w2v_self,0.2718333333333333
2,w2v_self,0.2166333333333333
2,w2v_self,0.3445333333333333
2,w2v_self,0.32119999999999993
3,bge,0.34229999999999994
3,bge,0.31639999999999996
3,bge,0.28929999999999995
3,e5,0.2904999999999999
3,e5,0.32149999999999995
3,e5,0.28889999999999993
3,fasttext_pretrained,0.2894999999999999
3,fasttext_pretrained,0.29899999999999993
3,fasttext_pretrained,0.29829999999999995
3,fasttext_pretrained,0.2889999999999999
3,glove_pretrained,0.24969999999999992
3,glove_pretrained,0.29019999999999996
3,glove_pretrained,0.2889999999999999
3,gte,0.2627999999999999
3,gte,0.3237999999999999
3,gte,0.2894999999999999
3,instructor,0.3106999999999999
3,instructor,0.32399999999999995
3,instructor,0.28929999999999995
3,minilm,0.28879999999999995
3,minilm,0.31579999999999997
3,minilm,0.3687999999999999
3,minilm,0.2894999999999999
3,mpnet,0.27949999999999997
3,mpnet,0.34429999999999994
3,mpnet,0.28889999999999993
3,sbert,0.33469999999999994
3,sbert,0.3445999999999999
3,sbert,0.2874999999999999
3,sroberta,0.32419999999999993
3,sroberta,0.35719999999999996
3,sroberta,0.28959999999999997
3,w2v_pretrained,0.2758999999999999
3,w2v_pretrained,0.3072
3,w2v_pretrained,0.2894999999999999
3,w2v_self,0.3927999999999999
3,w2v_self,0.41469999999999996
3,w2v_self,0.3596999999999999
