k,method,rank,mean_f1
2,logistic_regression,1,0.7101333333333333
2,w2v_self,2,0.4935
2,sbert,3,0.4900333333333333
2,bge,4,0.4811
2,e5,5,0.4811
2,instructor,6,0.4810666666666667
2,bge,7,0.4805
2,fasttext_pretrained,8,0.48033333333333333
2,glove_pretrained,9,0.48016666666666663
2,w2v_self,10,0.47495
2,bge,11,0.4749
2,glove_pretrained,12,0.4747
2,minilm,13,0.4549
2,sbert,14,0.45
2,w2v_pretrained,15,0.4499333333333333
2,sroberta,16,0.44789999999999996
2,sroberta,17,0.4473
2,mpnet,18,0.4461333333333333
2,minilm,19,0.4458666666666667
2,gte,20,0.44586666666666663
2,instructor,21,0.4458
2,mpnet,22,0.4458
2,fasttext_pretrained,23,0.44320000000000004
2,w2v_self,24,0.43829999999999997
2,gte,25,0.43206666666666665
2,e5,26,0.43039999999999995
2,sbert,27,0.42956666666666665
2,w2v_pretrained,28,0.4277333333333333
2,minilm,29,0.4216333333333333
2,instructor,30,0.41983333333333334
2,gte,31,0.41956666666666664
2,glove_pretrained,32,0.4190666666666667
2,bge,33,0.41663333333333336
2,sroberta,34,0.41429999999999995
2,mpnet,35,0.41209999999999997
2,e5,36,0.41196666666666665
2,sbert,37,0.41183333333333333
2,glove_pretrained,38,0.4101666666666666
2,instructor,39,0.40796666666666664
2,mpnet,40,0.4068
2,sroberta,41,0.4067333333333334
2,w2v_pretrained,42,0.40443333333333337
2,fasttext_pretrained,43,0.39819999999999994
2,bge,44,0.3966
2,minilm,45,0.39640000000000003
2,w2v_self,46,0.38893333333333335
2,glove_pretrained,47,0.3749
2,w2v_self,48,0.3656
2,fasttext_pretrained,49,0.2785
2,minilm,50,0.2342
2,w2v_pretrained,51,0.0464
2,instructor,52,0.0269
2,mpnet,53,0.0247
2,sroberta,54,0.0171
3,logistic_regression,1,0.5892
3,glove_pretrained,2,0.3395
3,gte,3,0.3264
3,w2v_pretrained,4,0.3133
3,mpnet,5,0.3097
3,sbert,6,0.3017
3,minilm,7,0.3004
3,e5,8,0.3003
3,mpnet,9,0.3003
3,glove_pretrained,10,0.3002
3,fasttext_pretrained,11,0.3002
3,instructor,12,0.2999
3,bge,13,0.2999
3,fasttext_pretrained,14,0.2997
3,w2v_pretrained,15,0.2997
3,minilm,16,0.2997
3,gte,17,0.2997
3,sroberta,18,0.2996
3,glove_pretrained,19,0.299
3,e5,20,0.2987
3,fasttext_pretrained,21,0.2909
3,fasttext_pretrained,22,0.2902
3,w2v_pretrained,23,0.282
3,instructor,24,0.2785
3,minilm,25,0.2734
3,bge,26,0.2728
3,e5,27,0.2677
3,gte,28,0.2654
3,instructor,29,0.2652
3,sroberta,30,0.265
3,sbert,31,0.2545
3,bge,32,0.2469
3,mpnet,33,0.2449
3,sbert,34,0.2446
3,sroberta,35,0.232
3,w2v_self,36,0.2295
3,minilm,37,0.2204
3,w2v_self,38,0.1964
3,w2v_self,39,0.1745
