method,class,avg_binary_f1
sbert,0,0.48555000000000004
sbert,1,0.48555000000000004
sroberta,0,0.39664
sroberta,1,0.39664
mpnet,0,0.44234
mpnet,1,0.44234
minilm,0,0.4734
minilm,1,0.4734
e5,0,0.43095999999999995
e5,1,0.43095999999999995
instructor,0,0.42108
instructor,1,0.42108
bge,0,0.49589999999999995
bge,1,0.49589999999999995
gte,0,0.505225
gte,1,0.505225
w2v_self,0,0.44827500000000003
w2v_self,1,0.44827500000000003
w2v_pretrained,0,0.4696
w2v_pretrained,1,0.4696
fasttext_pretrained,0,0.4720000000000001
fasttext_pretrained,1,0.4720000000000001
glove_pretrained,0,0.487225
glove_pretrained,1,0.487225
logistic_regression,0,0.758
logistic_regression,1,0.758
