k,unsupervised_method,gap
2,bge,0.19130000000000003
2,bge,0.2723
2,bge,0.2977
2,bge,0.2696
2,bge,0.2796
2,e5,0.525
2,e5,0.2812
2,e5,0.26380000000000003
2,e5,0.279
2,e5,0.2862
2,fasttext_pretrained,0.264
2,fasttext_pretrained,0.2676
2,fasttext_pretrained,0.2816
2,fasttext_pretrained,0.269
2,fasttext_pretrained,0.3478
2,glove_pretrained,0.25260000000000005
2,glove_pretrained,0.2957
2,glove_pretrained,0.25750000000000006
2,glove_pretrained,0.2773
2,gte,0.2775
2,gte,0.1794
2,gte,0.2736
2,gte,0.2806
2,instructor,0.33190000000000003
2,instructor,0.2953
2,instructor,0.4776
2,instructor,0.2859
2,instructor,0.2939
2,minilm,0.2869
2,minilm,0.2753
2,minilm,0.2916
2,mpnet,0.525
2,mpnet,0.2937
2,mpnet,0.19240000000000002
2,mpnet,0.2723
2,mpnet,0.2949
2,sbert,0.3119
2,sbert,0.20650000000000002
2,sbert,0.2786
2,sbert,0.2928
2,sroberta,0.5242
2,sroberta,0.28600000000000003
2,sroberta,0.4117
2,sroberta,0.2896
2,sroberta,0.2953
2,w2v_pretrained,0.2753
2,w2v_pretrained,0.2751
2,w2v_pretrained,0.2595
2,w2v_pretrained,0.3437
2,w2v_self,0.3426
2,w2v_self,0.2358
2,w2v_self,0.3393
2,w2v_self,0.3212
