k,method,rank,mean_f1
2,logistic_regression,1,0.758
2,gte,2,0.5786
2,bge,3,0.5667
2,mpnet,4,0.5656
2,sbert,5,0.5515
2,w2v_self,6,0.5222
2,glove_pretrained,7,0.5054
2,glove_pretrained,8,0.5005
2,w2v_pretrained,9,0.4985
2,e5,10,0.4942
2,fasttext_pretrained,11,0.494
2,fasttext_pretrained,12,0.4904
2,fasttext_pretrained,13,0.489
2,bge,14,0.4884
2,mpnet,15,0.4857
2,bge,16,0.4857
2,gte,17,0.4844
2,w2v_pretrained,18,0.4829
2,minilm,19,0.4827
2,w2v_pretrained,20,0.4827
2,glove_pretrained,21,0.4807
2,gte,22,0.4805
2,sbert,23,0.4794
2,e5,24,0.479
2,bge,25,0.4784
2,gte,26,0.4774
2,e5,27,0.4768
2,fasttext_pretrained,28,0.4764
2,instructor,29,0.4721
2,sroberta,30,0.472
2,e5,31,0.4718
2,minilm,32,0.4711
2,sroberta,33,0.4684
2,minilm,34,0.4664
2,sbert,35,0.4652
2,mpnet,36,0.4643
2,instructor,37,0.4641
2,mpnet,38,0.4631
2,instructor,39,0.4627
2,sroberta,40,0.4627
2,glove_pretrained,41,0.4623
2,bge,42,0.4603
2,sbert,43,0.4461
2,w2v_self,44,0.4368
2,instructor,45,0.4261
2,w2v_self,46,0.4187
2,w2v_self,47,0.4154
2,w2v_pretrained,48,0.4143
2,fasttext_pretrained,49,0.4102
2,sroberta,50,0.3463
2,instructor,51,0.2804
2,sroberta,52,0.2338
2,e5,53,0.233
2,mpnet,54,0.233
