embedding,clustering,k,mean,std
bge,dbscan,2,0.5667,
bge,hac,2,0.4857,
bge,hdbscan,2,0.4603,
bge,kmeans,2,0.4884,
bge,spectral,2,0.4784,
e5,dbscan,2,0.233,
e5,hac,2,0.4768,
e5,hdbscan,2,0.4942,
e5,kmeans,2,0.479,
e5,spectral,2,0.4718,
fasttext_pretrained,dbscan,2,0.494,
fasttext_pretrained,hac,2,0.4904,
fasttext_pretrained,hdbscan,2,0.4764,
fasttext_pretrained,kmeans,2,0.489,
fasttext_pretrained,spectral,2,0.4102,
glove_pretrained,hac,2,0.5054,
glove_pretrained,hdbscan,2,0.4623,
glove_pretrained,kmeans,2,0.5005,
glove_pretrained,spectral,2,0.4807,
gte,hac,2,0.4805,
gte,hdbscan,2,0.5786,
gte,kmeans,2,0.4844,
gte,spectral,2,0.4774,
instructor,dbscan,2,0.4261,
instructor,hac,2,0.4627,
instructor,hdbscan,2,0.2804,
instructor,kmeans,2,0.4721,
instructor,spectral,2,0.4641,
logistic_regression,supervised,2,0.758,
minilm,hac,2,0.4711,
minilm,kmeans,2,0.4827,
minilm,spectral,2,0.4664,
mpnet,dbscan,2,0.233,
mpnet,hac,2,0.4643,
mpnet,hdbscan,2,0.5656,
mpnet,kmeans,2,0.4857,
mpnet,spectral,2,0.4631,
sbert,hac,2,0.4461,
sbert,hdbscan,2,0.5515,
sbert,kmeans,2,0.4794,
sbert,spectral,2,0.4652,
sroberta,dbscan,2,0.2338,
sroberta,hac,2,0.472,
sroberta,hdbscan,2,0.3463,
sroberta,kmeans,2,0.4684,
sroberta,spectral,2,0.4627,
w2v_pretrained,hac,2,0.4827,
w2v_pretrained,hdbscan,2,0.4829,
w2v_pretrained,kmeans,2,0.4985,
w2v_pretrained,spectral,2,0.4143,
w2v_self,hac,2,0.4154,
w2v_self,hdbscan,2,0.5222,
w2v_self,kmeans,2,0.4187,
w2v_self,spectral,2,0.4368,
