method,class,avg_binary_f1
sbert,0,0.56104
sbert,1,0.56104
sroberta,0,0.558
sroberta,1,0.558
mpnet,0,0.6029249999999999
mpnet,1,0.6029249999999999
minilm,0,0.6106
minilm,1,0.6106
e5,0,0.6131599999999999
e5,1,0.6131599999999999
instructor,0,0.606425
instructor,1,0.606425
bge,0,0.60585
bge,1,0.60585
gte,0,0.60696
gte,1,0.60696
w2v_self,0,0.6351666666666667
w2v_self,1,0.6351666666666667
w2v_pretrained,0,0.5437000000000001
w2v_pretrained,1,0.5437000000000001
fasttext_pretrained,0,0.6128750000000001
fasttext_pretrained,1,0.6128750000000001
glove_pretrained,0,0.617
glove_pretrained,1,0.617
logistic_regression,0,0.8735
logistic_regression,1,0.8735
