k,method,rank,mean_f1
2,logistic_regression,1,0.8735
2,fasttext_pretrained,2,0.6964
2,w2v_self,3,0.6917
2,fasttext_pretrained,4,0.6822
2,w2v_pretrained,5,0.675
2,glove_pretrained,6,0.6553
2,w2v_pretrained,7,0.6507
2,fasttext_pretrained,8,0.6408
2,bge,9,0.6327
2,w2v_pretrained,10,0.6269
2,e5,11,0.6241
2,e5,12,0.6214
2,mpnet,13,0.6208
2,gte,14,0.6188
2,sroberta,15,0.6188
2,minilm,16,0.6185
2,mpnet,17,0.6169
2,instructor,18,0.6169
2,minilm,19,0.6169
2,gte,20,0.6165
2,e5,21,0.6152
2,e5,22,0.615
2,gte,23,0.6131
2,glove_pretrained,24,0.6119
2,bge,25,0.611
2,instructor,26,0.6093
2,minilm,27,0.6074
2,w2v_self,28,0.607
2,w2v_self,29,0.6068
2,sbert,30,0.6052
2,bge,31,0.6033
2,gte,32,0.6021
2,mpnet,33,0.6017
2,instructor,34,0.5998
2,instructor,35,0.5997
2,sroberta,36,0.5997
2,minilm,37,0.5996
2,sroberta,38,0.5959
2,sroberta,39,0.5908
2,sbert,40,0.5901
2,e5,41,0.5901
2,sbert,42,0.5869
2,sbert,43,0.5861
2,gte,44,0.5843
2,glove_pretrained,45,0.5838
2,bge,46,0.5764
2,mpnet,47,0.5723
2,sbert,48,0.4369
2,fasttext_pretrained,49,0.4321
2,sroberta,50,0.3848
2,w2v_pretrained,51,0.3841
2,w2v_pretrained,52,0.3818
