method,class,avg_binary_f1
sbert,0,0.6713979166666668
sbert,1,0.6661166666666668
sbert,2,0.5995526315789472
sbert,3,0.5591388888888889
sbert,4,0.6407719298245614
sroberta,0,0.63016
sroberta,1,0.6200266666666667
sroberta,2,0.5547616666666666
sroberta,3,0.5459816666666666
sroberta,4,0.6341266666666667
mpnet,0,0.6208699999999999
mpnet,1,0.6712499999999998
mpnet,2,0.6242764705882354
mpnet,3,0.554472222222222
mpnet,4,0.6506789473684212
minilm,0,0.6408611111111111
minilm,1,0.72365625
minilm,2,0.6136833333333334
minilm,3,0.5564499999999999
minilm,4,0.6789111111111114
e5,0,0.6677941176470586
e5,1,0.6737074074074072
e5,2,0.5909296296296297
e5,3,0.5734759259259258
e5,4,0.6497473684210526
instructor,0,0.67715
instructor,1,0.6979176470588238
instructor,2,0.6110645833333334
instructor,3,0.5601708333333334
instructor,4,0.6416529411764705
bge,0,0.6919291666666668
bge,1,0.6993215686274511
bge,2,0.6369958333333333
bge,3,0.5795750000000001
bge,4,0.6733803921568627
gte,0,0.6700705882352939
gte,1,0.6113736842105264
gte,2,0.5588456140350877
gte,3,0.5501291666666667
gte,4,0.6252157894736842
w2v_self,0,0.6755842105263159
w2v_self,1,0.6340416666666667
w2v_self,2,0.6004574074074074
w2v_self,3,0.5870263157894736
w2v_self,4,0.7015111111111111
w2v_pretrained,0,0.6710666666666669
w2v_pretrained,1,0.6623481481481478
w2v_pretrained,2,0.5950074074074073
w2v_pretrained,3,0.5596017543859648
w2v_pretrained,4,0.6378686274509803
fasttext_pretrained,0,0.6441736842105263
fasttext_pretrained,1,0.6168250000000001
fasttext_pretrained,2,0.5679479166666667
fasttext_pretrained,3,0.5517470588235294
fasttext_pretrained,4,0.5345203703703701
glove_pretrained,0,0.6590055555555556
glove_pretrained,1,0.6406157894736841
glove_pretrained,2,0.5857166666666664
glove_pretrained,3,0.5706411764705881
glove_pretrained,4,0.6227383333333335
logistic_regression,0,0.844025
logistic_regression,1,0.818675
logistic_regression,2,0.7803500000000001
logistic_regression,3,0.742325
logistic_regression,4,0.836975
