embedding,k,difference
bge,2,0.06623000000000001
bge,2,0.06623000000000001
bge,2,0.06623000000000001
bge,2,0.06623000000000001
bge,2,0.06623000000000001
bge,2,0.06623000000000001
bge,2,0.06603999999999999
bge,2,0.06603999999999999
bge,2,0.06603999999999999
bge,3,0.10292999999999997
bge,3,0.07311999999999996
bge,3,0.06613999999999998
bge,3,0.10292999999999997
bge,3,0.07311999999999996
bge,3,0.06613999999999998
bge,3,0.10522999999999993
bge,3,0.07541999999999993
bge,3,0.06843999999999995
bge,4,0.052539999999999976
bge,4,0.052539999999999976
bge,4,0.03140000000000004
bge,4,0.12113999999999997
bge,4,0.12113999999999997
bge,4,0.10000000000000003
bge,4,0.12394
bge,4,0.12394
bge,4,0.10280000000000006
bge,5,0.047199999999999964
bge,5,0.047199999999999964
bge,5,0.02279999999999993
bge,5,0.047199999999999964
bge,5,0.047199999999999964
bge,5,0.02279999999999993
bge,5,0.05829999999999996
bge,5,0.05829999999999996
bge,5,0.03389999999999993
e5,2,0.05274000000000001
e5,2,0.04662999999999995
e5,2,0.04662999999999995
e5,2,0.05274000000000001
e5,2,0.04662999999999995
e5,2,0.04662999999999995
e5,2,0.05274000000000001
e5,2,0.04662999999999995
e5,2,0.04662999999999995
e5,3,0.07868000000000008
e5,3,0.07003000000000004
e5,3,0.05714000000000008
e5,3,0.07868000000000008
e5,3,0.07003000000000004
e5,3,0.05714000000000008
e5,3,0.07868000000000008
e5,3,0.07003000000000004
e5,3,0.05714000000000008
e5,4,0.03944000000000003
e5,4,0.033399999999999985
e5,4,0.025779999999999914
e5,4,0.06928000000000001
e5,4,0.06323999999999996
e5,4,0.05561999999999989
e5,4,0.07110000000000005
e5,4,0.06506
e5,4,0.057439999999999936
e5,5,0.012299999999999978
e5,5,0.012299999999999978
e5,5,0.012299999999999978
e5,5,0.012299999999999978
e5,5,0.012299999999999978
e5,5,0.012299999999999978
e5,5,0.012299999999999978
e5,5,0.012299999999999978
e5,5,0.012299999999999978
fasttext_pretrained,2,0.023519999999999985
fasttext_pretrained,2,0.021850000000000036
fasttext_pretrained,2,-0.012089999999999934
fasttext_pretrained,2,0.02010999999999996
fasttext_pretrained,2,0.018440000000000012
fasttext_pretrained,2,-0.015499999999999958
fasttext_pretrained,2,0.06411999999999995
fasttext_pretrained,2,0.062450000000000006
fasttext_pretrained,2,0.028510000000000035
