method,slope,r2
bge,-0.0290317190986167,0.02654519405745681
e5,-0.05572095370370367,0.08546714964849766
fasttext_pretrained,-0.07611341158059468,0.3821170382269631
glove_pretrained,-0.0624996134538153,0.1575582408054429
gte,-0.05694876543209876,0.12678476168477892
instructor,-0.06114924196787153,0.12395311773038764
minilm,-0.08397871428571424,0.19301299146706807
mpnet,-0.0553128392936827,0.09537613398888212
sbert,-0.09050354263565893,0.21554216075135635
sroberta,-0.07710549095607236,0.1727433129843291
w2v_pretrained,-0.06368237784471222,0.16077633148064607
w2v_self,-0.07554617363344049,0.24246652356448128
