k,method,rank,mean_f1
2,e5,1,0.78804
2,e5,2,0.78804
2,e5,3,0.78804
2,gte,4,0.78255
2,gte,5,0.78255
2,gte,6,0.78255
2,bge,7,0.7764800000000001
2,bge,8,0.7764800000000001
2,bge,9,0.77629
2,instructor,10,0.7743300000000001
2,instructor,11,0.7743300000000001
2,w2v_pretrained,12,0.7741
2,w2v_pretrained,13,0.7741
2,w2v_pretrained,14,0.7741
2,mpnet,15,0.77393
2,w2v_self,16,0.7724
2,w2v_self,17,0.7724
2,w2v_self,18,0.7724
2,minilm,19,0.7707499999999999
2,minilm,20,0.7707499999999999
2,minilm,21,0.7707499999999999
2,sroberta,22,0.7701100000000001
2,sroberta,23,0.7701100000000001
2,sroberta,24,0.7701100000000001
2,mpnet,25,0.7694300000000001
2,mpnet,26,0.7694300000000001
2,instructor,27,0.7686900000000001
2,sbert,28,0.7660899999999999
2,sbert,29,0.7660899999999999
2,sbert,30,0.7657
2,w2v_self,31,0.7606499999999999
2,w2v_self,32,0.7606499999999999
2,w2v_self,33,0.7606499999999999
2,glove_pretrained,34,0.75841
2,glove_pretrained,35,0.75841
2,glove_pretrained,36,0.75739
2,glove_pretrained,37,0.75049
2,bge,38,0.74956
2,bge,39,0.74956
2,glove_pretrained,40,0.74908
2,glove_pretrained,41,0.74908
2,bge,42,0.74651
2,w2v_pretrained,43,0.74348
2,w2v_pretrained,44,0.74348
2,w2v_pretrained,45,0.74348
2,e5,46,0.74141
2,e5,47,0.74141
2,e5,48,0.7353
2,w2v_self,49,0.73166
2,w2v_self,50,0.73166
2,w2v_self,51,0.73166
2,minilm,52,0.72997
2,minilm,53,0.72997
2,minilm,54,0.72997
2,mpnet,55,0.72892
2,mpnet,56,0.72892
2,mpnet,57,0.72892
2,instructor,58,0.72486
2,sbert,59,0.7215499999999999
2,minilm,60,0.72131
2,minilm,61,0.72131
2,minilm,62,0.72131
2,sbert,63,0.72029
2,sbert,64,0.72029
2,instructor,65,0.71987
2,instructor,66,0.71987
2,sbert,67,0.71779
2,sbert,68,0.71779
2,fasttext_pretrained,69,0.7177
2,sbert,70,0.71689
2,w2v_pretrained,71,0.7168
2,w2v_pretrained,72,0.7168
2,mpnet,73,0.7147
2,mpnet,74,0.7147
2,mpnet,75,0.7147
2,bge,76,0.71025
2,bge,77,0.71025
2,bge,78,0.71025
2,gte,79,0.71
2,gte,80,0.71
2,glove_pretrained,81,0.70875
2,glove_pretrained,82,0.70875
2,glove_pretrained,83,0.70875
2,sroberta,84,0.7075400000000001
2,sroberta,85,0.70564
2,sroberta,86,0.70564
2,sroberta,87,0.69811
2,sroberta,88,0.69811
2,sroberta,89,0.69811
2,e5,90,0.6966699999999999
2,e5,91,0.6966699999999999
2,e5,92,0.6966699999999999
2,instructor,93,0.69001
2,instructor,94,0.69001
2,instructor,95,0.69001
2,fasttext_pretrained,96,0.68919
2,w2v_pretrained,97,0.68347
2,fasttext_pretrained,98,0.6771
2,fasttext_pretrained,99,0.67369
2,fasttext_pretrained,100,0.65525
2,fasttext_pretrained,101,0.65358
2,gte,102,0.6167
2,fasttext_pretrained,103,0.60151
2,fasttext_pretrained,104,0.60151
2,fasttext_pretrained,105,0.59882
2,gte,106,0.59209
2,gte,107,0.59209
2,gte,108,0.58799
2,sroberta,109,0.48229
2,mpnet,110,0.47462222222222217
2,mpnet,111,0.47462222222222217
2,mpnet,112,0.47462222222222217
2,minilm,113,0.47274000000000005
2,minilm,114,0.47274000000000005
2,minilm,115,0.47274000000000005
2,w2v_self,116,0.47184
2,w2v_self,117,0.47184
2,w2v_self,118,0.47184
2,sroberta,119,0.46936
2,sroberta,120,0.46936
2,gte,121,0.4661555555555556
2,gte,122,0.4661555555555556
2,bge,123,0.45771111111111107
2,bge,124,0.45771111111111107
2,sbert,125,0.45614999999999994
2,gte,126,0.4557333333333334
2,glove_pretrained,127,0.4493444444444445
2,glove_pretrained,128,0.4493444444444445
2,e5,129,0.4466222222222222
2,e5,130,0.4466222222222222
2,e5,131,0.4466222222222222
2,sbert,132,0.44626
2,sbert,133,0.44626
2,bge,134,0.4456333333333333
2,w2v_pretrained,135,0.4445888888888889
2,fasttext_pretrained,136,0.4401
2,instructor,137,0.4361625
2,instructor,138,0.4361625
2,instructor,139,0.4361625
2,fasttext_pretrained,140,0.4310777777777778
2,glove_pretrained,141,0.4262111111111111
2,w2v_pretrained,142,0.42612222222222224
2,w2v_pretrained,143,0.42612222222222224
2,fasttext_pretrained,144,0.4252888888888889
2,fasttext_pretrained,145,0.41195000000000004
2,fasttext_pretrained,146,0.41195000000000004
2,fasttext_pretrained,147,0.41195000000000004
2,gte,148,0.41123333333333334
2,gte,149,0.41123333333333334
2,gte,150,0.41123333333333334
2,w2v_self,151,0.3911285714285714
2,w2v_self,152,0.3803142857142857
2,w2v_self,153,0.3803142857142857
2,e5,154,0.35886666666666667
2,e5,155,0.35886666666666667
2,glove_pretrained,156,0.3522625
2,glove_pretrained,157,0.3514
2,glove_pretrained,158,0.3514
2,e5,159,0.3479833333333333
2,sroberta,160,0.33923000000000003
2,sroberta,161,0.33923000000000003
2,sroberta,162,0.33222
2,mpnet,163,0.33012857142857144
2,mpnet,164,0.33012857142857144
2,mpnet,165,0.33012857142857144
2,sbert,166,0.32888
2,sbert,167,0.32888
2,sbert,168,0.32888
2,w2v_pretrained,169,0.32845
2,w2v_pretrained,170,0.32845
2,w2v_pretrained,171,0.32845
2,minilm,172,0.312675
2,minilm,173,0.312675
2,minilm,174,0.312675
2,instructor,175,0.28140000000000004
2,instructor,176,0.28140000000000004
2,instructor,177,0.28140000000000004
2,bge,178,0.25035
2,bge,179,0.25035
2,bge,180,0.25035
3,w2v_self,1,0.6732199999999999
3,w2v_self,2,0.6732199999999999
3,w2v_self,3,0.6732199999999999
3,e5,4,0.66927
3,e5,5,0.66927
3,e5,6,0.66927
3,bge,7,0.66867
3,gte,8,0.66822
3,gte,9,0.66674
3,gte,10,0.66674
3,bge,11,0.66637
3,bge,12,0.66637
3,mpnet,13,0.66513
3,mpnet,14,0.6643
3,mpnet,15,0.6643
3,sroberta,16,0.6619200000000001
3,sroberta,17,0.6614
3,sroberta,18,0.6614
3,instructor,19,0.65884
3,instructor,20,0.65737
3,instructor,21,0.65737
3,minilm,22,0.6554599999999999
3,minilm,23,0.65483
3,minilm,24,0.65357
3,sbert,25,0.64423
3,sbert,26,0.6404
3,sbert,27,0.6404
3,bge,28,0.6340399999999999
3,w2v_self,29,0.6294299999999999
3,bge,30,0.6287499999999999
3,bge,31,0.6287499999999999
3,w2v_self,32,0.6284799999999999
3,w2v_pretrained,33,0.62683
3,w2v_pretrained,34,0.62469
3,mpnet,35,0.6244
3,mpnet,36,0.6244
3,mpnet,37,0.6244
3,w2v_self,38,0.62276
3,w2v_self,39,0.61724
3,w2v_self,40,0.61724
3,glove_pretrained,41,0.6172
3,glove_pretrained,42,0.6172
3,w2v_pretrained,43,0.61686
3,glove_pretrained,44,0.61427
3,e5,45,0.61213
3,mpnet,46,0.60475
3,mpnet,47,0.6031799999999999
3,mpnet,48,0.6031799999999999
3,bge,49,0.60023
3,w2v_self,50,0.59963
3,e5,51,0.59924
3,sroberta,52,0.59385
3,bge,53,0.59325
3,sroberta,54,0.59206
3,sroberta,55,0.59206
3,e5,56,0.59059
3,sbert,57,0.5879
3,glove_pretrained,58,0.5874900000000001
3,sbert,59,0.5859300000000001
3,sbert,60,0.5859300000000001
3,e5,61,0.58534
3,e5,62,0.58534
3,instructor,63,0.58525
3,instructor,64,0.58525
3,sroberta,65,0.57822
3,sroberta,66,0.57822
3,sroberta,67,0.57822
3,minilm,68,0.57747
3,minilm,69,0.57643
3,e5,70,0.57599
3,minilm,71,0.5748
3,instructor,72,0.57431
3,gte,73,0.56517
3,gte,74,0.56409
3,bge,75,0.56344
3,w2v_pretrained,76,0.55994
3,w2v_pretrained,77,0.55994
3,fasttext_pretrained,78,0.5537
3,glove_pretrained,79,0.55145
3,w2v_pretrained,80,0.5398400000000001
3,fasttext_pretrained,81,0.53766
3,w2v_pretrained,82,0.53643
3,w2v_pretrained,83,0.53643
3,minilm,84,0.53566
3,minilm,85,0.52676
3,minilm,86,0.52669
3,glove_pretrained,87,0.52549
3,gte,88,0.52537
3,w2v_pretrained,89,0.52453
3,gte,90,0.52046
3,gte,91,0.51742
3,gte,92,0.51742
3,fasttext_pretrained,93,0.51702
3,glove_pretrained,94,0.50062
3,fasttext_pretrained,95,0.49455
3,glove_pretrained,96,0.4871
3,glove_pretrained,97,0.48497
3,fasttext_pretrained,98,0.48216000000000003
3,fasttext_pretrained,99,0.45288000000000006
3,sbert,100,0.45217999999999997
3,sbert,101,0.44934
3,sbert,102,0.44784999999999997
3,fasttext_pretrained,103,0.43263999999999997
3,fasttext_pretrained,104,0.43263999999999997
3,instructor,105,0.43007999999999996
3,instructor,106,0.42984999999999995
3,instructor,107,0.42984999999999995
3,fasttext_pretrained,108,0.41681999999999997
3,w2v_self,109,0.31265
3,w2v_self,110,0.31265
3,w2v_self,111,0.31265
3,sroberta,112,0.31205
3,sroberta,113,0.31205
3,sroberta,114,0.31205
3,w2v_pretrained,115,0.28290000000000004
3,mpnet,116,0.2828777777777778
3,w2v_pretrained,117,0.28200000000000003
3,w2v_pretrained,118,0.28137500000000004
3,bge,119,0.2808333333333333
3,bge,120,0.2808333333333333
3,bge,121,0.2808333333333333
3,gte,122,0.27865
3,gte,123,0.27865
3,gte,124,0.27865
3,mpnet,125,0.2766888888888889
3,mpnet,126,0.2762444444444444
3,minilm,127,0.2722428571428571
3,minilm,128,0.2722428571428571
3,minilm,129,0.2722428571428571
3,glove_pretrained,130,0.26975
3,glove_pretrained,131,0.26975
3,glove_pretrained,132,0.26975
3,instructor,133,0.24844999999999998
3,instructor,134,0.24844999999999998
3,instructor,135,0.24844999999999998
3,w2v_pretrained,136,0.24775
3,w2v_pretrained,137,0.24775
3,w2v_pretrained,138,0.24775
3,sbert,139,0.236325
3,gte,140,0.216
3,sbert,141,0.2154
3,sbert,142,0.2154
3,gte,143,0.215
3,gte,144,0.215
3,glove_pretrained,145,0.2145
3,glove_pretrained,146,0.213875
3,glove_pretrained,147,0.213425
3,e5,148,0.20905
3,e5,149,0.20905
3,e5,150,0.208875
3,fasttext_pretrained,151,0.1902
3,fasttext_pretrained,152,0.1902
3,fasttext_pretrained,153,0.1902
3,e5,154,0.17754999999999999
3,e5,155,0.17566666666666667
3,e5,156,0.17566666666666667
3,instructor,157,0.17443333333333333
3,instructor,158,0.17443333333333333
3,instructor,159,0.17443333333333333
3,minilm,160,0.16365
3,minilm,161,0.16365
3,minilm,162,0.16365
3,sroberta,163,0.15866666666666665
3,sroberta,164,0.15866666666666665
3,bge,165,0.15864999999999999
3,sroberta,166,0.15833333333333333
3,bge,167,0.157725
3,bge,168,0.157725
3,sbert,169,0.15483333333333335
3,sbert,170,0.15483333333333335
3,sbert,171,0.15483333333333335
3,mpnet,172,0.1459
3,mpnet,173,0.1459
3,mpnet,174,0.1459
4,bge,1,0.59956
4,w2v_self,2,0.5984200000000001
4,w2v_self,3,0.5984200000000001
4,bge,4,0.59676
4,gte,5,0.59402
4,gte,6,0.5926600000000001
4,e5,7,0.59248
4,mpnet,8,0.5917600000000001
4,e5,9,0.59066
4,mpnet,10,0.59028
4,gte,11,0.59002
4,instructor,12,0.58878
4,instructor,13,0.58878
4,instructor,14,0.58878
4,sroberta,15,0.58778
4,sroberta,16,0.58778
4,sroberta,17,0.58778
4,mpnet,18,0.58598
4,bge,19,0.57812
4,bge,20,0.5752200000000001
4,minilm,21,0.57334
4,minilm,22,0.57334
4,minilm,23,0.57274
4,sbert,24,0.5722799999999999
4,bge,25,0.5708
4,w2v_self,26,0.5660000000000001
4,sbert,27,0.5642400000000001
4,e5,28,0.56082
4,sbert,29,0.55892
4,w2v_self,30,0.55174
4,w2v_pretrained,31,0.5444199999999999
4,w2v_pretrained,32,0.54364
4,w2v_pretrained,33,0.5407599999999999
4,w2v_self,34,0.53942
4,w2v_self,35,0.53942
4,e5,36,0.5350400000000001
4,mpnet,37,0.53492
4,mpnet,38,0.53454
4,mpnet,39,0.53312
4,bge,40,0.52816
4,e5,41,0.52742
4,e5,42,0.52166
4,e5,43,0.52166
4,e5,44,0.52166
4,e5,45,0.52138
4,glove_pretrained,46,0.51852
4,w2v_self,47,0.5171
4,glove_pretrained,48,0.51038
4,glove_pretrained,49,0.51038
4,sroberta,50,0.50686
4,sroberta,51,0.50686
4,gte,52,0.50464
4,glove_pretrained,53,0.50218
4,instructor,54,0.49729999999999996
4,bge,55,0.4967599999999999
4,sroberta,56,0.4953
4,sbert,57,0.49306
4,w2v_self,58,0.4925
4,w2v_self,59,0.4925
4,sbert,60,0.48894000000000004
4,sbert,61,0.48894000000000004
4,sroberta,62,0.48646
4,sroberta,63,0.48646
4,sroberta,64,0.48436
4,glove_pretrained,65,0.48136
4,minilm,66,0.48134
4,w2v_pretrained,67,0.47996
4,w2v_pretrained,68,0.47996
4,mpnet,69,0.47952000000000006
4,mpnet,70,0.47748000000000007
4,gte,71,0.47702
4,minilm,72,0.47678000000000004
4,minilm,73,0.47678000000000004
4,bge,74,0.47562
4,bge,75,0.47562
4,mpnet,76,0.47336
4,instructor,77,0.46096000000000004
4,instructor,78,0.46096000000000004
4,w2v_pretrained,79,0.44433999999999996
4,gte,80,0.44298000000000004
4,w2v_pretrained,81,0.44017999999999996
4,glove_pretrained,82,0.43942
4,glove_pretrained,83,0.4356
4,fasttext_pretrained,84,0.42012
4,fasttext_pretrained,85,0.42012
4,w2v_pretrained,86,0.41981999999999997
4,minilm,87,0.41912000000000005
4,minilm,88,0.4181
4,minilm,89,0.41581999999999997
4,gte,90,0.41244
