embedding,clustering,k,alpha,mean,std
bge,dbscan,2,0.25,0.25035,0.018031222920256967
bge,dbscan,2,0.5,0.25035,0.018031222920256967
bge,dbscan,2,0.75,0.25035,0.018031222920256967
bge,dbscan,3,0.25,0.157725,0.008524621203705583
bge,dbscan,3,0.5,0.157725,0.008524621203705583
bge,dbscan,3,0.75,0.15864999999999999,0.009047467417275768
bge,hac,2,0.25,0.71025,0.12346570598978314
bge,hac,2,0.5,0.71025,0.12346570598978314
bge,hac,2,0.75,0.71025,0.12346570598978314
bge,hac,3,0.25,0.56344,0.11400244831678934
bge,hac,3,0.5,0.59325,0.09442579979362985
bge,hac,3,0.75,0.60023,0.08465198100983158
bge,hac,4,0.25,0.47562,0.08731389923717757
bge,hac,4,0.5,0.47562,0.08731389923717757
bge,hac,4,0.75,0.4967599999999999,0.06224578700602957
bge,hac,5,0.25,0.4894,
bge,hac,5,0.5,0.4894,
bge,hac,5,0.75,0.5138,
bge,hdbscan,2,0.25,0.45771111111111107,0.09729500815104088
bge,hdbscan,2,0.5,0.45771111111111107,0.09729500815104088
bge,hdbscan,2,0.75,0.4456333333333333,0.10036396265592547
bge,hdbscan,3,0.25,0.2808333333333333,0.09956969083678695
bge,hdbscan,3,0.5,0.2808333333333333,0.09956969083678695
bge,hdbscan,3,0.75,0.2808333333333333,0.09956969083678695
bge,hdbscan,4,0.25,0.12446666666666667,0.014937313457691555
bge,hdbscan,4,0.5,0.12536666666666665,0.013507158595845887
bge,hdbscan,4,0.75,0.12536666666666665,0.013507158595845887
bge,kmeans,2,0.25,0.7764800000000001,0.11737309742866973
bge,kmeans,2,0.5,0.7764800000000001,0.11737309742866973
bge,kmeans,2,0.75,0.77629,0.11716613513392947
bge,kmeans,3,0.25,0.66637,0.10993956976448474
bge,kmeans,3,0.5,0.66637,0.10993956976448474
bge,kmeans,3,0.75,0.66867,0.10672855548331742
bge,kmeans,4,0.25,0.52816,0.16151644807882573
bge,kmeans,4,0.5,0.59676,0.08419194141959191
bge,kmeans,4,0.75,0.59956,0.08175871818956068
bge,kmeans,5,0.25,0.5366,
bge,kmeans,5,0.5,0.5366,
bge,kmeans,5,0.75,0.5477,
bge,spectral,2,0.25,0.74956,0.132312451752996
bge,spectral,2,0.5,0.74956,0.132312451752996
bge,spectral,2,0.75,0.74651,0.13866764783306726
bge,spectral,3,0.25,0.6287499999999999,0.11833772996527071
bge,spectral,3,0.5,0.6287499999999999,0.11833772996527071
bge,spectral,3,0.75,0.6340399999999999,0.11272778618325555
bge,spectral,4,0.25,0.5752200000000001,0.07100420410088408
bge,spectral,4,0.5,0.5708,0.07308703715434085
bge,spectral,4,0.75,0.57812,0.06790288653658255
bge,spectral,5,0.25,0.5328,
bge,spectral,5,0.5,0.5328,
bge,spectral,5,0.75,0.5328,
e5,dbscan,2,0.25,0.35886666666666667,0.1282817004356688
e5,dbscan,2,0.5,0.35886666666666667,0.1282817004356688
e5,dbscan,2,0.75,0.3479833333333333,0.12122315647873004
e5,dbscan,3,0.25,0.17566666666666667,0.04805849213892032
e5,dbscan,3,0.5,0.17566666666666667,0.04805849213892032
e5,dbscan,3,0.75,0.17754999999999999,0.0475783879508333
e5,dbscan,4,0.25,0.0857,
e5,dbscan,4,0.5,0.0857,
e5,dbscan,4,0.75,0.0855,
e5,hac,2,0.25,0.7353,0.13274483459295552
e5,hac,2,0.5,0.74141,0.11530500085521976
e5,hac,2,0.75,0.74141,0.11530500085521976
e5,hac,3,0.25,0.59059,0.15166267723690843
e5,hac,3,0.5,0.59924,0.1420345591748712
e5,hac,3,0.75,0.61213,0.1136915520168495
e5,hac,4,0.25,0.52138,0.07521513810397477
e5,hac,4,0.5,0.52742,0.07493355056314899
e5,hac,4,0.75,0.5350400000000001,0.06608814568438129
e5,hac,5,0.25,0.5187,
e5,hac,5,0.5,0.5187,
e5,hac,5,0.75,0.5187,
e5,hdbscan,2,0.25,0.4466222222222222,0.10471531380101215
e5,hdbscan,2,0.5,0.4466222222222222,0.10471531380101215
e5,hdbscan,2,0.75,0.4466222222222222,0.10471531380101215
e5,hdbscan,3,0.25,0.208875,0.008340413658806141
e5,hdbscan,3,0.5,0.20905,0.008453993139339542
e5,hdbscan,3,0.75,0.20905,0.008453993139339542
e5,hdbscan,4,0.25,0.1569,
e5,hdbscan,4,0.5,0.1578,
e5,hdbscan,4,0.75,0.2328,
e5,kmeans,2,0.25,0.78804,0.10757413154554298
e5,kmeans,2,0.5,0.78804,0.10757413154554298
e5,kmeans,2,0.75,0.78804,0.10757413154554298
e5,kmeans,3,0.25,0.66927,0.10193827162661835
e5,kmeans,3,0.5,0.66927,0.10193827162661835
e5,kmeans,3,0.75,0.66927,0.10193827162661835
e5,kmeans,4,0.25,0.56082,0.13632663716236823
e5,kmeans,4,0.5,0.59066,0.09330020364393639
e5,kmeans,4,0.75,0.59248,0.09115863645316336
e5,kmeans,5,0.25,0.531,
e5,kmeans,5,0.5,0.531,
e5,kmeans,5,0.75,0.531,
e5,spectral,2,0.25,0.6966699999999999,0.18605232268847863
e5,spectral,2,0.5,0.6966699999999999,0.18605232268847863
e5,spectral,2,0.75,0.6966699999999999,0.18605232268847863
e5,spectral,3,0.25,0.57599,0.11538691866931884
e5,spectral,3,0.5,0.58534,0.10610534806921323
e5,spectral,3,0.75,0.58534,0.10610534806921323
e5,spectral,4,0.25,0.52166,0.033793756819862485
e5,spectral,4,0.5,0.52166,0.033793756819862485
e5,spectral,4,0.75,0.52166,0.033793756819862485
e5,spectral,5,0.25,0.3238,
e5,spectral,5,0.5,0.4235,
e5,spectral,5,0.75,0.4235,
fasttext_pretrained,dbscan,2,0.25,0.41195000000000004,0.06754566356670628
fasttext_pretrained,dbscan,2,0.5,0.41195000000000004,0.06754566356670628
fasttext_pretrained,dbscan,2,0.75,0.41195000000000004,0.06754566356670628
fasttext_pretrained,dbscan,3,0.25,0.1902,
fasttext_pretrained,dbscan,3,0.5,0.1902,
fasttext_pretrained,dbscan,3,0.75,0.1902,
fasttext_pretrained,hac,2,0.25,0.65358,0.18188655683022745
fasttext_pretrained,hac,2,0.5,0.65525,0.17992680764997504
fasttext_pretrained,hac,2,0.75,0.68919,0.13451661979101318
