method,class,avg_binary_f1
sbert,0,0.585562365591398
sbert,1,0.4147844444444445
sbert,2,0.44358000000000003
sbert,3,0.49380752688172047
sbert,4,0.4671333333333334
sbert,5,0.5266399999999999
sbert,6,0.5195638095238095
sbert,7,0.5327622222222222
sbert,8,0.44785444444444444
sbert,9,0.5240277777777779
sroberta,0,0.5967254901960783
sroberta,1,0.4628061403508772
sroberta,2,0.47333030303030305
sroberta,3,0.5976323232323232
sroberta,4,0.5149125
sroberta,5,0.5810494949494951
sroberta,6,0.555108547008547
sroberta,7,0.6047363636363636
sroberta,8,0.5357757575757576
sroberta,9,0.5463382113821136
mpnet,0,0.6281466666666665
mpnet,1,0.43951472868217056
mpnet,2,0.4661682539682539
mpnet,3,0.5623504273504274
mpnet,4,0.554092380952381
mpnet,5,0.5795585858585859
mpnet,6,0.607124074074074
mpnet,7,0.5879161616161617
mpnet,8,0.4992828282828282
mpnet,9,0.5764726495726494
minilm,0,0.6284645833333333
minilm,1,0.4575894736842105
minilm,2,0.47195185185185184
minilm,3,0.59503125
minilm,4,0.536889898989899
minilm,5,0.5661946236559139
minilm,6,0.585692380952381
minilm,7,0.5404516129032256
minilm,8,0.46482258064516124
minilm,9,0.556351754385965
e5,0,0.5280999999999999
e5,1,0.41234062499999996
e5,2,0.4388706349206348
e5,3,0.60103125
e5,4,0.5580933333333333
e5,5,0.5087954022988508
e5,6,0.5686935483870967
e5,7,0.5035233333333333
e5,8,0.4716
e5,9,0.5710277777777778
instructor,0,0.6005781250000001
instructor,1,0.44145185185185193
instructor,2,0.4754635658914729
instructor,3,0.5842989247311827
instructor,4,0.49803870967741937
instructor,5,0.5539197916666666
instructor,6,0.596627450980392
instructor,7,0.5628096774193548
instructor,8,0.4895677419354839
instructor,9,0.6087444444444444
bge,0,0.6020009803921569
bge,1,0.4685066666666667
bge,2,0.45117954545454547
bge,3,0.597007619047619
bge,4,0.5345919191919193
bge,5,0.5311323232323233
bge,6,0.5934824561403509
bge,7,0.5177929292929294
bge,8,0.5105696969696969
bge,9,0.568793650793651
gte,0,0.556579797979798
gte,1,0.4179190476190477
gte,2,0.46098372093023254
gte,3,0.5723285714285714
gte,4,0.5324593750000001
gte,5,0.5582864583333333
gte,6,0.6181279569892474
gte,7,0.5572635416666666
gte,8,0.5194020833333334
gte,9,0.5945685185185184
w2v_self,0,0.49641333333333315
w2v_self,1,0.4445888888888889
w2v_self,2,0.46677500000000005
w2v_self,3,0.48704666666666663
w2v_self,4,0.5519838709677418
w2v_self,5,0.5062516129032257
w2v_self,6,0.5091064516129032
w2v_self,7,0.5457548387096773
w2v_self,8,0.4565483870967741
w2v_self,9,0.53432
w2v_pretrained,0,0.5071145833333333
w2v_pretrained,1,0.42864035087719304
w2v_pretrained,2,0.4884814814814814
w2v_pretrained,3,0.5652575757575757
w2v_pretrained,4,0.538390625
w2v_pretrained,5,0.5246010416666667
w2v_pretrained,6,0.5416131313131314
w2v_pretrained,7,0.5412614583333334
w2v_pretrained,8,0.4646718749999999
w2v_pretrained,9,0.556834074074074
fasttext_pretrained,0,0.5334737373737374
fasttext_pretrained,1,0.4248149122807019
fasttext_pretrained,2,0.44399393939393944
fasttext_pretrained,3,0.5219222222222222
fasttext_pretrained,4,0.5885529411764707
fasttext_pretrained,5,0.5065711111111111
fasttext_pretrained,6,0.5194725490196078
fasttext_pretrained,7,0.5480977777777777
fasttext_pretrained,8,0.48332555555555545
fasttext_pretrained,9,0.5503989898989899
glove_pretrained,0,0.462137931034483
glove_pretrained,1,0.37070967741935484
glove_pretrained,2,0.4522162393162394
glove_pretrained,3,0.5483919191919192
glove_pretrained,4,0.4472797619047618
glove_pretrained,5,0.5044071428571429
glove_pretrained,6,0.4426818181818183
glove_pretrained,7,0.530495238095238
glove_pretrained,8,0.46430229885057483
glove_pretrained,9,0.4706372549019609
logistic_regression,0,0.7138375
logistic_regression,1,0.7583428571428572
logistic_regression,2,0.8328571428571429
logistic_regression,3,0.6846571428571429
logistic_regression,4,0.8816714285714286
logistic_regression,5,0.5128714285714285
logistic_regression,6,0.7573428571428573
logistic_regression,7,0.4632
logistic_regression,9,0.8077857142857143
