method,slope,r2
bge,-0.03887044265357539,0.7639074454818001
e5,-0.036530704550941755,0.7204518816333079
fasttext_pretrained,-0.03862887242859041,0.724647468805701
glove_pretrained,-0.04333930571515519,0.6554269257636947
gte,-0.0390759135448793,0.7468619004071182
instructor,-0.043274083772023034,0.6921869496217802
minilm,-0.03457657035393263,0.6643922178905415
mpnet,-0.039710765197608515,0.6676969361840839
sbert,-0.035824485790183845,0.7263434785929712
sroberta,-0.041828092271489446,0.7165147593186543
w2v_pretrained,-0.04282015505272848,0.8148079502038597
w2v_self,-0.04294714904480184,0.8402759830426775
