embedding,clustering,k,alpha,mean,std
bge,dbscan,2,0.25,0.4687851851851852,0.1050737825153343
bge,dbscan,2,0.5,0.4687851851851852,0.1050737825153343
bge,dbscan,2,0.75,0.4687851851851852,0.1050737825153343
bge,dbscan,3,0.25,0.3964837837837838,0.0829190452372859
bge,dbscan,3,0.5,0.3903351351351352,0.09398385267993949
bge,dbscan,3,0.75,0.39719189189189186,0.08234288533787097
bge,dbscan,4,0.25,0.32259302325581396,0.08629815259113201
bge,dbscan,4,0.5,0.3109325581395349,0.08192752523370371
bge,dbscan,4,0.75,0.3281,0.06809120284414062
bge,dbscan,5,0.25,0.267025,0.0833515678534985
bge,dbscan,5,0.5,0.24944166666666667,0.04308227769646298
bge,dbscan,5,0.75,0.28694166666666665,0.02895829158488379
bge,dbscan,6,0.25,0.3163666666666667,0.0020256686138984685
bge,dbscan,6,0.5,0.2321,0.0020663978319771744
bge,dbscan,6,0.75,0.27376666666666666,0.0020256686138984278
bge,hac,2,0.25,0.5242266666666666,0.22039553534497922
bge,hac,2,0.5,0.5748533333333333,0.19399159377288866
bge,hac,2,0.75,0.5856555555555556,0.18732768876970107
bge,hac,3,0.25,0.36689083333333333,0.13380242865981956
bge,hac,3,0.5,0.37793,0.13771290291854318
bge,hac,3,0.75,0.39050666666666667,0.14625592668208653
bge,hac,4,0.25,0.2954090476190476,0.11630408363381754
bge,hac,4,0.5,0.3075438095238095,0.12062917349206954
bge,hac,4,0.75,0.32118,0.12332647488150532
bge,hac,5,0.25,0.2450174603174603,0.1053096315571544
bge,hac,5,0.5,0.27453531746031745,0.10356000234817016
bge,hac,5,0.75,0.2887424603174603,0.09892667886638207
bge,hac,6,0.25,0.21730761904761906,0.0876059180619175
bge,hac,6,0.5,0.2436352380952381,0.08348581174010805
bge,hac,6,0.75,0.2534842857142857,0.07915118771964155
bge,hac,7,0.25,0.18371333333333334,0.07540209182098594
bge,hac,7,0.5,0.21758083333333333,0.0699626374428179
bge,hac,7,0.75,0.2247425,0.07088225846519033
bge,hac,8,0.25,0.16269777777777777,0.06588795754532804
bge,hac,8,0.5,0.1899888888888889,0.06232742436747108
bge,hac,8,0.75,0.19671333333333332,0.06364128019968285
bge,hac,9,0.25,0.1612,0.04673965720408693
bge,hac,9,0.5,0.1822,0.04705394067804878
bge,hac,9,0.75,0.1895,0.05196205880789901
bge,hac,10,0.25,0.1524,
bge,hac,10,0.5,0.1524,
bge,hac,10,0.75,0.1607,
bge,hdbscan,2,0.25,0.45277222222222224,0.13185326427758093
bge,hdbscan,2,0.5,0.45277222222222224,0.13185326427758093
bge,hdbscan,2,0.75,0.45387222222222223,0.13126522233543525
bge,hdbscan,3,0.25,0.3127625,0.0659775349163362
bge,hdbscan,3,0.5,0.3099232142857143,0.0633125407398492
bge,hdbscan,3,0.75,0.3099232142857143,0.0633125407398492
bge,hdbscan,4,0.25,0.27842916666666667,0.04257995526746955
bge,hdbscan,4,0.5,0.28194583333333334,0.04320130814410968
bge,hdbscan,4,0.75,0.2832791666666667,0.03950328526972723
bge,hdbscan,5,0.25,0.21850999999999998,0.029553500104404783
bge,hdbscan,5,0.5,0.21935500000000002,0.031719867176333044
bge,hdbscan,5,0.75,0.224105,0.030504365088847272
bge,hdbscan,10,0.25,0.0885,
bge,hdbscan,10,0.5,0.0887,
bge,hdbscan,10,0.75,0.0839,
bge,kmeans,2,0.25,0.5242155555555555,0.21214692159782647
bge,kmeans,2,0.5,0.5531777777777778,0.197003926920816
bge,kmeans,2,0.75,0.5733222222222222,0.18305478798447314
bge,kmeans,3,0.25,0.38401416666666666,0.14406807990099177
bge,kmeans,3,0.5,0.402415,0.14561715180279988
bge,kmeans,3,0.75,0.4084541666666667,0.14407816908200355
bge,kmeans,4,0.25,0.30088476190476193,0.12190394467945634
bge,kmeans,4,0.5,0.3210119047619047,0.12129245412216098
bge,kmeans,4,0.75,0.33128904761904765,0.11794943253552456
bge,kmeans,5,0.25,0.2718718253968254,0.09007930127265752
bge,kmeans,5,0.5,0.2937765873015873,0.09048747908949842
bge,kmeans,5,0.75,0.3049376984126984,0.08719536364792309
bge,kmeans,6,0.25,0.23992285714285716,0.07997840588599908
bge,kmeans,6,0.5,0.26651761904761906,0.07646746704210255
bge,kmeans,6,0.75,0.27481809523809525,0.0706542776038574
bge,kmeans,7,0.25,0.2084375,0.07123491267358616
