method,class,avg_binary_f1
sbert,0,0.5981147435897436
sbert,1,0.45293939393939403
sbert,2,0.5623115942028986
sbert,3,0.6885209150326798
sbert,4,0.6331833333333333
sbert,5,0.609251388888889
sbert,6,0.5477333333333334
sbert,7,0.5543384615384616
sbert,8,0.5950406666666667
sbert,9,0.5683854166666666
sbert,10,0.5657013333333334
sbert,11,0.5192367346938777
sroberta,0,0.6408686666666668
sroberta,1,0.4734152173913043
sroberta,2,0.6214027777777777
sroberta,3,0.6613326923076921
sroberta,4,0.6414340000000001
sroberta,5,0.6213666666666667
sroberta,6,0.5649693333333334
sroberta,7,0.6544163265306122
sroberta,8,0.6198170068027211
sroberta,9,0.6415239999999999
sroberta,10,0.5714962962962964
sroberta,11,0.5121237179487179
mpnet,0,0.6971930555555557
mpnet,1,0.47159245283018875
mpnet,2,0.6445346153846154
mpnet,3,0.6539660377358492
mpnet,4,0.6720468085106384
mpnet,5,0.614141134751773
mpnet,6,0.5996270833333334
mpnet,7,0.6447687943262411
mpnet,8,0.6983201388888889
mpnet,9,0.650828
mpnet,10,0.6180185897435898
mpnet,11,0.5936874074074074
minilm,0,0.6478739130434782
minilm,1,0.4698736842105264
minilm,2,0.6255178294573643
minilm,3,0.6444333333333333
minilm,4,0.6585617021276596
minilm,5,0.6412162962962963
minilm,6,0.5772189542483661
minilm,7,0.6309802721088434
minilm,8,0.678982
minilm,9,0.6616822222222223
minilm,10,0.6079500000000001
minilm,11,0.5202361111111112
e5,0,0.6528100775193799
e5,1,0.439310606060606
e5,2,0.6195032520325203
e5,3,0.7115645390070923
e5,4,0.6546072463768117
e5,5,0.5880363636363637
e5,6,0.5514852713178294
e5,7,0.5213166666666668
e5,8,0.612139534883721
e5,9,0.6426899224806203
e5,10,0.5320113207547169
e5,11,0.5209088888888889
instructor,0,0.6846968253968254
instructor,1,0.4481999999999999
instructor,2,0.6787476190476189
instructor,3,0.6856826086956522
instructor,4,0.7288224806201551
instructor,5,0.6280612403100776
instructor,6,0.5510141843971631
instructor,7,0.5895495934959348
instructor,8,0.6798148148148148
instructor,9,0.6452131782945737
instructor,10,0.5660527131782946
instructor,11,0.5878520833333334
bge,0,0.6914456521739131
bge,1,0.43997090909090913
bge,2,0.640617037037037
bge,3,0.7012641025641025
bge,4,0.6947368055555555
bge,5,0.6619163120567375
bge,6,0.5587730769230769
bge,7,0.6865608695652174
bge,8,0.7190840000000001
bge,9,0.6357214814814814
bge,10,0.5804878205128204
bge,11,0.6041393939393939
gte,0,0.7137155038759689
gte,1,0.46424166666666666
gte,2,0.6275380952380951
gte,3,0.7182021276595745
gte,4,0.7463658536585366
gte,5,0.6397116279069768
gte,6,0.5691310606060607
gte,7,0.6361591666666667
gte,8,0.6511815602836879
gte,9,0.6546054263565892
gte,10,0.5525974842767296
gte,11,0.6106046511627907
w2v_self,0,0.4584578431372549
w2v_self,1,0.46550227272727274
w2v_self,2,0.47454117647058824
w2v_self,3,0.5165704761904761
w2v_self,4,0.4418900900900901
w2v_self,5,0.48393333333333344
w2v_self,6,0.4872000000000001
w2v_self,7,0.4610466666666666
w2v_self,8,0.5024228571428572
w2v_self,9,0.4670742857142857
w2v_self,10,0.4967234234234233
w2v_self,11,0.49730900900900893
w2v_pretrained,0,0.6150992907801417
w2v_pretrained,1,0.44073259259259256
w2v_pretrained,2,0.5400780487804877
w2v_pretrained,3,0.7202285714285716
w2v_pretrained,4,0.6108284722222223
w2v_pretrained,5,0.5389253968253969
w2v_pretrained,6,0.58250625
w2v_pretrained,7,0.5840041666666667
w2v_pretrained,8,0.5901891472868217
w2v_pretrained,9,0.5643753623188407
w2v_pretrained,10,0.48375555555555555
w2v_pretrained,11,0.5439916666666667
fasttext_pretrained,0,0.5839782945736434
fasttext_pretrained,1,0.4230303030303031
fasttext_pretrained,2,0.4839651851851851
fasttext_pretrained,3,0.6455856209150326
fasttext_pretrained,4,0.5466486111111111
fasttext_pretrained,5,0.5176403100775193
fasttext_pretrained,6,0.5406234042553191
fasttext_pretrained,7,0.6151028368794327
fasttext_pretrained,8,0.575508888888889
fasttext_pretrained,9,0.5414978723404256
fasttext_pretrained,10,0.446649358974359
fasttext_pretrained,11,0.5254872340425533
glove_pretrained,0,0.5404933333333334
glove_pretrained,1,0.3989987878787878
glove_pretrained,2,0.5009124031007752
glove_pretrained,3,0.6962319444444446
glove_pretrained,4,0.518430612244898
glove_pretrained,5,0.4962782945736435
glove_pretrained,6,0.4633404255319149
glove_pretrained,7,0.5528173076923076
glove_pretrained,8,0.6230373015873014
glove_pretrained,9,0.548262015503876
glove_pretrained,10,0.4035423611111111
glove_pretrained,11,0.5099544715447154
logistic_regression,0,0.8910454545454546
logistic_regression,1,0.8472999999999999
logistic_regression,2,0.7388181818181817
logistic_regression,3,0.8460636363636364
logistic_regression,4,0.8202181818181817
logistic_regression,5,0.8222363636363638
logistic_regression,6,0.8030818181818181
logistic_regression,7,0.8589454545454547
logistic_regression,8,0.7693909090909089
logistic_regression,9,0.8482090909090908
logistic_regression,10,0.8589181818181818
logistic_regression,11,0.8183
