method,slope,r2
bge,-0.03679702053934648,0.5654560601276424
e5,-0.036466533013879275,0.6349668246564231
fasttext_pretrained,-0.034254687960677196,0.574806790872807
glove_pretrained,-0.034130424125907194,0.6298943225667819
gte,-0.039498934458154465,0.6286896266196524
instructor,-0.036173167483550435,0.5007424759760549
minilm,-0.03773905943450824,0.5696491816319308
mpnet,-0.03953511336287285,0.5472230086818688
sbert,-0.036652539237562114,0.5788079832786185
sroberta,-0.035280630630279135,0.5176765264137762
w2v_pretrained,-0.03638515161730172,0.6327925479604724
w2v_self,-0.033492531086275375,0.7211060229746885
