k,method,rank,mean_f1
2,bge,1,0.7243590909090909
2,bge,2,0.7202409090909091
2,mpnet,3,0.712980303030303
2,mpnet,4,0.7124075757575757
2,gte,5,0.7113924242424243
2,gte,6,0.7113924242424243
2,mpnet,7,0.7109151515151515
2,gte,8,0.7068045454545454
2,e5,9,0.7023742424242424
2,e5,10,0.6976757575757575
2,bge,11,0.6935742424242424
2,instructor,12,0.6881818181818182
2,sroberta,13,0.6859318181818183
2,sroberta,14,0.6859318181818183
2,instructor,15,0.6853984848484849
2,bge,16,0.6853863636363636
2,mpnet,17,0.6841363636363637
2,e5,18,0.6839136363636363
2,minilm,19,0.6831984848484848
2,instructor,20,0.6803560606060606
2,sroberta,21,0.6791787878787879
2,gte,22,0.678939393939394
2,gte,23,0.6777212121212121
2,minilm,24,0.6750060606060606
2,bge,25,0.674930303030303
2,minilm,26,0.6744287878787878
2,instructor,27,0.674380303030303
2,bge,28,0.6732060606060607
2,minilm,29,0.6712712121212121
2,instructor,30,0.669590909090909
2,gte,31,0.6694075757575758
2,sroberta,32,0.6693333333333333
2,minilm,33,0.6690590909090909
2,minilm,34,0.6683651515151515
2,bge,35,0.666169696969697
2,gte,36,0.6660075757575757
2,minilm,37,0.664930303030303
2,minilm,38,0.6627287878787879
2,gte,39,0.6624136363636364
2,mpnet,40,0.6620363636363636
2,sroberta,41,0.6602136363636364
2,mpnet,42,0.6572863636363636
2,minilm,43,0.6567909090909091
2,sroberta,44,0.6560924242424243
2,sroberta,45,0.6560924242424243
2,mpnet,46,0.6559
2,mpnet,47,0.6549030303030303
2,instructor,48,0.6536151515151515
2,instructor,49,0.6530121212121212
2,bge,50,0.6505318181818182
2,mpnet,51,0.6491712121212121
2,instructor,52,0.648680303030303
2,bge,53,0.6474818181818183
2,fasttext_pretrained,54,0.6467136363636364
2,sroberta,55,0.6466378787878788
2,sroberta,56,0.6463196969696969
2,gte,57,0.6441833333333333
2,sbert,58,0.6426075757575758
2,fasttext_pretrained,59,0.6402954545454546
2,instructor,60,0.6382166666666667
2,sbert,61,0.6367409090909091
2,sbert,62,0.6324818181818181
2,sbert,63,0.6315787878787879
2,sbert,64,0.6278893939393939
2,sbert,65,0.6233166666666666
2,sbert,66,0.6232166666666666
2,sbert,67,0.6226075757575757
2,w2v_pretrained,68,0.6222575757575758
2,w2v_pretrained,69,0.621239393939394
2,w2v_pretrained,70,0.6174318181818182
2,e5,71,0.6168651515151514
2,e5,72,0.6168651515151514
2,sbert,73,0.616230303030303
2,w2v_pretrained,74,0.6147545454545454
2,w2v_pretrained,75,0.6127333333333332
2,w2v_pretrained,76,0.6127333333333332
2,e5,77,0.6092090909090909
2,w2v_pretrained,78,0.6041621212121212
2,fasttext_pretrained,79,0.598880303030303
2,e5,80,0.5971090909090909
2,w2v_pretrained,81,0.5948318181818182
2,w2v_pretrained,82,0.593769696969697
2,e5,83,0.5899909090909091
2,glove_pretrained,84,0.5898545454545454
2,e5,85,0.5862121212121212
2,glove_pretrained,86,0.5833681818181818
2,fasttext_pretrained,87,0.5818424242424243
2,fasttext_pretrained,88,0.576330303030303
2,fasttext_pretrained,89,0.5716772727272728
2,mpnet,90,0.5582295454545455
2,mpnet,91,0.5582295454545455
2,glove_pretrained,92,0.5567469696969697
2,glove_pretrained,93,0.5534136363636364
2,glove_pretrained,94,0.552839393939394
2,mpnet,95,0.5514590909090908
2,fasttext_pretrained,96,0.5466121212121212
2,fasttext_pretrained,97,0.5413833333333333
2,glove_pretrained,98,0.5412909090909092
2,glove_pretrained,99,0.5408954545454545
2,bge,100,0.5334893617021276
2,bge,101,0.5334893617021276
2,bge,102,0.5312891304347825
2,bge,103,0.5312891304347825
2,glove_pretrained,104,0.5308318181818182
2,w2v_self,105,0.5278348484848485
2,w2v_self,106,0.5278348484848485
2,gte,107,0.5274260869565218
2,gte,108,0.5274260869565218
