embedding,clustering,k,alpha,mean,std
bge,dbscan,2,0.25,0.49699130434782607,0.2356652615008433
bge,dbscan,2,0.5,0.5312891304347825,0.2099441769489752
bge,dbscan,2,0.75,0.5312891304347825,0.2099441769489752
bge,dbscan,3,0.25,0.31524358974358974,0.14544582656394256
bge,dbscan,3,0.5,0.32585,0.14200060979382514
bge,dbscan,3,0.75,0.3242423076923077,0.14287438086057877
bge,dbscan,4,0.25,0.2515216216216216,0.07359828443181893
bge,dbscan,4,0.5,0.2568351351351351,0.07020599910446018
bge,dbscan,4,0.75,0.25735405405405404,0.06956440632374519
bge,dbscan,5,0.25,0.1751066037735849,0.03269162487438064
bge,dbscan,5,0.5,0.16815094339622644,0.03472773900276815
bge,dbscan,5,0.75,0.16795283018867926,0.034672869062951854
bge,dbscan,6,0.25,0.13341111111111112,0.022975882898564597
bge,dbscan,6,0.5,0.13753333333333334,0.01656872480034097
bge,dbscan,6,0.75,0.12861666666666666,0.023125602490876595
bge,dbscan,7,0.25,0.1275,0.013699635031634967
bge,dbscan,7,0.5,0.1275,0.013699635031634967
bge,dbscan,7,0.75,0.10926923076923077,0.01642312316092693
bge,hac,2,0.25,0.6474818181818183,0.23547841508730255
bge,hac,2,0.5,0.666169696969697,0.20845578241307008
bge,hac,2,0.75,0.6853863636363636,0.18363985815583853
bge,hac,3,0.25,0.42737227272727274,0.1946669250115214
bge,hac,3,0.5,0.45916454545454544,0.1637054379876646
bge,hac,3,0.75,0.4697509090909091,0.15443630404895803
bge,hac,4,0.25,0.35053898989898985,0.14535192555358714
bge,hac,4,0.5,0.3776973737373737,0.1335684545003917
bge,hac,4,0.75,0.38632727272727274,0.1296467082152453
bge,hac,5,0.25,0.298992297979798,0.1214461539000501
bge,hac,5,0.5,0.32450101010101007,0.11355428592672571
bge,hac,5,0.75,0.331702398989899,0.11105033212368692
bge,hac,6,0.25,0.2607042207792208,0.10552519692913533
bge,hac,6,0.5,0.2881211038961039,0.0970182910370334
bge,hac,6,0.75,0.2962253246753247,0.09510540908866665
bge,hac,7,0.25,0.23033358585858588,0.0947631846839742
bge,hac,7,0.5,0.2582532828282828,0.08653056935529496
bge,hac,7,0.75,0.2671993686868687,0.08419203299198098
bge,hac,8,0.25,0.20980363636363636,0.08131843730581281
bge,hac,8,0.5,0.2336248484848485,0.07663882992157599
bge,hac,8,0.75,0.23987414141414143,0.0750164970926585
bge,hac,9,0.25,0.19148136363636364,0.067173180177198
