method,class,avg_binary_f1
sbert,0,0.3619666666666667
sbert,1,0.42179583333333337
sbert,2,0.36919583333333333
sroberta,0,0.41978333333333334
sroberta,1,0.3406624999999999
sroberta,2,0.369125
mpnet,0,0.3918777777777778
mpnet,1,0.3362083333333334
mpnet,2,0.35894999999999994
minilm,0,0.3989333333333333
minilm,1,0.34392500000000004
minilm,2,0.37372592592592596
e5,0,0.44471666666666665
e5,1,0.42916666666666664
e5,2,0.43981666666666663
instructor,0,0.4500722222222222
instructor,1,0.37712499999999993
instructor,2,0.38232916666666666
bge,0,0.4211583333333333
bge,1,0.43145925925925926
bge,2,0.443037037037037
gte,0,0.4141222222222222
gte,1,0.40498333333333336
gte,2,0.3998055555555556
w2v_self,0,0.2990541666666667
w2v_self,1,0.20684166666666667
w2v_self,2,0.2463375
w2v_pretrained,0,0.4190222222222222
w2v_pretrained,1,0.3337285714285715
w2v_pretrained,2,0.3409190476190477
fasttext_pretrained,0,0.32611111111111113
fasttext_pretrained,1,0.35813333333333336
fasttext_pretrained,2,0.342552380952381
glove_pretrained,0,0.21516666666666664
glove_pretrained,1,0.22824166666666668
glove_pretrained,2,0.23177499999999998
logistic_regression,0,0.726
logistic_regression,1,0.64585
logistic_regression,2,0.7585500000000001
