embedding,k,difference
bge,2,-0.026100000000000012
bge,2,-0.026100000000000012
bge,2,-0.03283333333333338
bge,2,-0.026100000000000012
bge,2,-0.026100000000000012
bge,2,-0.03283333333333338
bge,2,0.038833333333333386
bge,2,0.038833333333333386
bge,2,0.03210000000000002
bge,3,-0.0474
bge,3,-0.0474
bge,3,-0.0474
bge,3,-0.0474
bge,3,-0.0474
bge,3,-0.0474
bge,3,-0.0474
bge,3,-0.0474
bge,3,-0.0474
e5,2,-0.008666666666666711
e5,2,-0.008666666666666711
e5,2,-0.008666666666666711
e5,2,-0.008666666666666711
e5,2,-0.008666666666666711
e5,2,-0.008666666666666711
e5,2,-0.008666666666666711
e5,2,-0.008666666666666711
e5,2,-0.008666666666666711
e5,3,-0.031000000000000028
e5,3,-0.031000000000000028
e5,3,-0.031000000000000028
e5,3,-0.031000000000000028
e5,3,-0.031000000000000028
e5,3,-0.031000000000000028
e5,3,-0.031000000000000028
e5,3,-0.031000000000000028
e5,3,-0.031000000000000028
fasttext_pretrained,2,0.11703333333333335
fasttext_pretrained,2,-0.07859999999999995
fasttext_pretrained,2,-0.14603333333333335
fasttext_pretrained,2,0.20906666666666665
fasttext_pretrained,2,0.013433333333333353
fasttext_pretrained,2,-0.05400000000000005
fasttext_pretrained,2,0.20906666666666665
fasttext_pretrained,2,0.013433333333333353
fasttext_pretrained,2,-0.05400000000000005
fasttext_pretrained,3,0.0652
fasttext_pretrained,3,0.0652
fasttext_pretrained,3,-0.10290000000000002
fasttext_pretrained,3,0.1688
fasttext_pretrained,3,0.1688
fasttext_pretrained,3,0.0006999999999999784
fasttext_pretrained,3,0.1688
fasttext_pretrained,3,0.1688
fasttext_pretrained,3,0.0006999999999999784
glove_pretrained,2,0.053333333333333316
glove_pretrained,2,0.05739999999999998
glove_pretrained,2,-0.05910000000000004
glove_pretrained,2,0.053333333333333316
glove_pretrained,2,0.05739999999999998
glove_pretrained,2,-0.05910000000000004
glove_pretrained,2,0.1383
glove_pretrained,2,0.14236666666666667
glove_pretrained,2,0.02586666666666665
glove_pretrained,3,0.034
glove_pretrained,3,0.034
glove_pretrained,3,0.034
glove_pretrained,3,0.034
glove_pretrained,3,0.034
glove_pretrained,3,0.034
glove_pretrained,3,0.0547
glove_pretrained,3,0.0547
glove_pretrained,3,0.0547
gte,2,-0.049399999999999944
gte,2,-0.049399999999999944
gte,2,-0.049399999999999944
gte,2,-0.012500000000000011
gte,2,-0.012500000000000011
gte,2,-0.012500000000000011
gte,2,-0.012500000000000011
gte,2,-0.012500000000000011
gte,2,-0.012500000000000011
gte,3,-0.08400000000000002
gte,3,-0.08400000000000002
gte,3,-0.08400000000000002
gte,3,-0.08400000000000002
gte,3,-0.08400000000000002
gte,3,-0.08400000000000002
gte,3,-0.061
gte,3,-0.061
gte,3,-0.061
instructor,2,0.01750000000000007
instructor,2,0.01750000000000007
instructor,2,0.011866666666666692
instructor,2,0.01750000000000007
instructor,2,0.01750000000000007
instructor,2,0.011866666666666692
instructor,2,0.01750000000000007
instructor,2,0.01750000000000007
instructor,2,0.011866666666666692
instructor,3,0.010899999999999993
instructor,3,-0.02300000000000002
instructor,3,0.023800000000000016
instructor,3,0.010899999999999993
instructor,3,-0.02300000000000002
instructor,3,0.023800000000000016
instructor,3,0.0204
instructor,3,-0.013500000000000012
instructor,3,0.033300000000000024
minilm,2,-0.02513333333333334
minilm,2,-0.02513333333333334
minilm,2,-0.04716666666666669
minilm,2,-0.02513333333333334
minilm,2,-0.02513333333333334
minilm,2,-0.04716666666666669
minilm,2,-0.02513333333333334
minilm,2,-0.02513333333333334
minilm,2,-0.04716666666666669
minilm,3,0.00040000000000001146
minilm,3,0.00040000000000001146
minilm,3,0.019600000000000006
minilm,3,0.02460000000000001
minilm,3,0.02460000000000001
minilm,3,0.043800000000000006
minilm,3,0.02460000000000001
minilm,3,0.02460000000000001
minilm,3,0.043800000000000006
mpnet,2,-0.016199999999999992
mpnet,2,-0.016199999999999992
mpnet,2,-0.0651666666666667
mpnet,2,-0.016199999999999992
mpnet,2,-0.016199999999999992
mpnet,2,-0.0651666666666667
mpnet,2,-0.016199999999999992
mpnet,2,-0.016199999999999992
mpnet,2,-0.0651666666666667
mpnet,3,0.0597
mpnet,3,0.0597
mpnet,3,-0.06479999999999997
mpnet,3,0.0597
mpnet,3,0.0597
mpnet,3,-0.06479999999999997
mpnet,3,0.0597
mpnet,3,0.0597
mpnet,3,-0.06479999999999997
sbert,2,0.06286666666666668
sbert,2,0.06286666666666668
sbert,2,0.06286666666666668
sbert,2,0.06293333333333334
sbert,2,0.06293333333333334
sbert,2,0.06293333333333334
sbert,2,0.06293333333333334
sbert,2,0.06293333333333334
sbert,2,0.06293333333333334
sbert,3,-0.009200000000000014
sbert,3,-0.009200000000000014
sbert,3,-0.009200000000000014
sbert,3,-0.009200000000000014
sbert,3,-0.009200000000000014
sbert,3,-0.009200000000000014
sbert,3,-0.009200000000000014
sbert,3,-0.009200000000000014
sbert,3,-0.009200000000000014
sroberta,2,-0.03373333333333339
sroberta,2,-0.03373333333333339
sroberta,2,-0.03373333333333339
sroberta,2,-0.03373333333333339
sroberta,2,-0.03373333333333339
sroberta,2,-0.03373333333333339
sroberta,2,-0.0825333333333334
sroberta,2,-0.0825333333333334
sroberta,2,-0.0825333333333334
sroberta,3,-0.033
sroberta,3,-0.033
sroberta,3,-0.033
sroberta,3,-0.033
sroberta,3,-0.033
sroberta,3,-0.033
sroberta,3,-0.054900000000000004
sroberta,3,-0.054900000000000004
sroberta,3,-0.054900000000000004
w2v_pretrained,2,-0.021166666666666667
w2v_pretrained,2,-0.04016666666666663
w2v_pretrained,2,-0.04016666666666663
w2v_pretrained,2,-0.0015000000000000013
w2v_pretrained,2,-0.020499999999999963
w2v_pretrained,2,-0.020499999999999963
w2v_pretrained,2,-0.0015000000000000013
w2v_pretrained,2,-0.020499999999999963
w2v_pretrained,2,-0.020499999999999963
w2v_pretrained,3,0.09639999999999999
w2v_pretrained,3,-0.01930000000000004
w2v_pretrained,3,-0.01930000000000004
w2v_pretrained,3,0.09639999999999999
w2v_pretrained,3,-0.01930000000000004
w2v_pretrained,3,-0.01930000000000004
w2v_pretrained,3,0.09639999999999999
w2v_pretrained,3,-0.01930000000000004
w2v_pretrained,3,-0.01930000000000004
w2v_self,2,0.024500000000000022
w2v_self,2,0.024500000000000022
w2v_self,2,0.024500000000000022
w2v_self,2,0.024500000000000022
w2v_self,2,0.024500000000000022
w2v_self,2,0.024500000000000022
w2v_self,2,0.024500000000000022
w2v_self,2,0.024500000000000022
w2v_self,2,0.024500000000000022
w2v_self,3,0.06820000000000004
w2v_self,3,0.06820000000000004
w2v_self,3,0.06820000000000004
w2v_self,3,0.06820000000000004
w2v_self,3,0.06820000000000004
w2v_self,3,0.06820000000000004
w2v_self,3,0.06020000000000003
w2v_self,3,0.06020000000000003
w2v_self,3,0.06020000000000003
