method,slope,r2
bge,-0.1653444444444444,0.7649580319347906
e5,-0.14899999999999997,0.9045914777859905
fasttext_pretrained,-0.1380444444444445,0.3860377412237629
glove_pretrained,-0.08904000000000001,0.12971150135043696
gte,-0.15813703703703696,0.598064510043413
instructor,-0.0854622222222222,0.08898910856388631
minilm,-0.11062388888888887,0.4163084601237558
mpnet,-0.06918444444444441,0.06502482088371075
sbert,-0.18455277777777776,0.7610592275290459
sroberta,-0.07205333333333333,0.06703368823252354
w2v_pretrained,-0.0636722222222222,0.05552586981964591
w2v_self,0.042553333333333325,0.03191090186426304
