k,method,rank,mean_f1
2,bge,1,0.4811
2,bge,2,0.4811
2,bge,3,0.4811
2,e5,4,0.4811
2,e5,5,0.4811
2,e5,6,0.4811
2,instructor,7,0.4810666666666667
2,instructor,8,0.4810666666666667
2,instructor,9,0.4810666666666667
2,bge,10,0.4805
2,bge,11,0.4805
2,bge,12,0.4805
2,fasttext_pretrained,13,0.48033333333333333
2,bge,14,0.4749
2,bge,15,0.4749
2,bge,16,0.4749
2,minilm,17,0.4549
2,minilm,18,0.4549
2,minilm,19,0.4549
2,w2v_pretrained,20,0.4499333333333333
2,sroberta,21,0.44789999999999996
2,sroberta,22,0.44789999999999996
2,sroberta,23,0.44789999999999996
2,sroberta,24,0.4473
2,sroberta,25,0.4473
2,sroberta,26,0.4473
2,mpnet,27,0.4461333333333333
2,mpnet,28,0.4461333333333333
2,mpnet,29,0.4461333333333333
2,minilm,30,0.4458666666666667
2,minilm,31,0.4458666666666667
2,minilm,32,0.4458666666666667
2,gte,33,0.44586666666666663
2,instructor,34,0.4458
2,instructor,35,0.4458
2,instructor,36,0.4458
2,mpnet,37,0.4458
2,mpnet,38,0.4458
2,mpnet,39,0.4458
2,fasttext_pretrained,40,0.44320000000000004
2,gte,41,0.43206666666666665
2,gte,42,0.43206666666666665
2,gte,43,0.43206666666666665
2,sbert,44,0.42960000000000004
2,sbert,45,0.42960000000000004
2,sbert,46,0.4295333333333334
2,w2v_pretrained,47,0.4277333333333333
2,w2v_pretrained,48,0.4277333333333333
2,e5,49,0.42063333333333336
2,e5,50,0.42063333333333336
2,e5,51,0.42063333333333336
2,instructor,52,0.41983333333333334
2,instructor,53,0.41983333333333334
2,instructor,54,0.41983333333333334
2,gte,55,0.41956666666666664
2,gte,56,0.41956666666666664
2,bge,57,0.41663333333333336
2,e5,58,0.41196666666666665
2,e5,59,0.41196666666666665
2,e5,60,0.41196666666666665
2,w2v_pretrained,61,0.40873333333333334
2,instructor,62,0.40796666666666664
2,w2v_pretrained,63,0.40723333333333334
2,w2v_pretrained,64,0.40723333333333334
2,mpnet,65,0.4068
2,sroberta,66,0.4067333333333334
2,sroberta,67,0.4067333333333334
2,sroberta,68,0.4067333333333334
2,instructor,69,0.40233333333333327
2,instructor,70,0.40233333333333327
2,minilm,71,0.39640000000000003
2,sbert,72,0.3915666666666667
2,sbert,73,0.3915666666666667
2,sbert,74,0.3915666666666667
2,fasttext_pretrained,75,0.3892
2,fasttext_pretrained,76,0.3892
2,w2v_pretrained,77,0.38756666666666667
2,bge,78,0.38453333333333334
2,gte,79,0.3826666666666667
2,glove_pretrained,80,0.38083333333333336
2,fasttext_pretrained,81,0.37956666666666666
2,bge,82,0.37779999999999997
2,bge,83,0.37779999999999997
