method,class,avg_binary_f1
sbert,0,0.48555
sbert,1,0.48555
sroberta,0,0.39468000000000003
sroberta,1,0.39468000000000003
mpnet,0,0.4457199999999999
mpnet,1,0.4457199999999999
minilm,0,0.4651111111111111
minilm,1,0.4651111111111111
e5,0,0.4276
e5,1,0.4276
instructor,0,0.42166000000000003
instructor,1,0.42166000000000003
bge,0,0.4856066666666667
bge,1,0.4856066666666667
gte,0,0.49966666666666665
gte,1,0.49966666666666665
w2v_self,0,0.3537083333333333
w2v_self,1,0.3537083333333333
w2v_pretrained,0,0.45976666666666666
w2v_pretrained,1,0.45976666666666666
fasttext_pretrained,0,0.46301999999999993
fasttext_pretrained,1,0.46301999999999993
glove_pretrained,0,0.45059999999999995
glove_pretrained,1,0.45059999999999995
logistic_regression,0,0.758
logistic_regression,1,0.758
