k,method,rank,mean_f1
2,gte,1,0.5786
2,gte,2,0.5786
2,gte,3,0.5786
2,bge,4,0.5667
2,bge,5,0.5667
2,bge,6,0.5667
2,mpnet,7,0.5656
2,mpnet,8,0.5656
2,mpnet,9,0.5656
2,sbert,10,0.5515
2,sbert,11,0.5515
2,sbert,12,0.5515
2,w2v_pretrained,13,0.4985
2,e5,14,0.4942
2,e5,15,0.4942
2,e5,16,0.4942
2,fasttext_pretrained,17,0.494
2,fasttext_pretrained,18,0.494
2,fasttext_pretrained,19,0.494
2,fasttext_pretrained,20,0.4904
2,fasttext_pretrained,21,0.4904
2,fasttext_pretrained,22,0.4904
2,bge,23,0.4884
2,mpnet,24,0.4857
2,bge,25,0.4857
2,mpnet,26,0.4857
2,mpnet,27,0.4857
2,gte,28,0.4844
2,gte,29,0.4844
2,w2v_pretrained,30,0.4829
2,w2v_pretrained,31,0.4829
2,w2v_pretrained,32,0.4829
2,w2v_pretrained,33,0.4827
2,minilm,34,0.4827
2,sroberta,35,0.4818
2,sroberta,36,0.4818
2,mpnet,37,0.4812
2,mpnet,38,0.4812
2,mpnet,39,0.4812
2,gte,40,0.4805
2,sbert,41,0.4794
2,sbert,42,0.4794
2,sbert,43,0.4794
2,e5,44,0.479
2,e5,45,0.479
2,bge,46,0.4784
2,gte,47,0.4774
2,gte,48,0.4774
2,e5,49,0.4768
2,fasttext_pretrained,50,0.4764
2,fasttext_pretrained,51,0.4764
2,fasttext_pretrained,52,0.4764
2,sroberta,53,0.472
2,e5,54,0.4718
2,e5,55,0.4718
2,e5,56,0.4717
2,e5,57,0.4717
2,minilm,58,0.4711
2,instructor,59,0.4705
2,instructor,60,0.4705
2,instructor,61,0.4705
2,e5,62,0.47
2,w2v_pretrained,63,0.4697
2,w2v_pretrained,64,0.4697
2,instructor,65,0.4686
2,instructor,66,0.4686
2,instructor,67,0.4686
2,sroberta,68,0.4684
2,gte,69,0.4665
2,gte,70,0.4665
2,minilm,71,0.4664
2,sbert,72,0.4652
2,sbert,73,0.4652
2,sbert,74,0.4652
2,minilm,75,0.4648
2,minilm,76,0.4648
2,gte,77,0.4635
2,mpnet,78,0.4631
2,mpnet,79,0.4631
2,mpnet,80,0.4631
2,sroberta,81,0.4627
2,instructor,82,0.4627
2,instructor,83,0.4627
2,instructor,84,0.4627
2,glove_pretrained,85,0.4623
2,glove_pretrained,86,0.4623
2,glove_pretrained,87,0.4623
2,minilm,88,0.4622
2,minilm,89,0.4622
2,bge,90,0.4607
2,bge,91,0.4607
2,bge,92,0.4603
2,bge,93,0.4603
2,bge,94,0.4603
2,gte,95,0.4596
2,sroberta,96,0.4589
2,sroberta,97,0.4589
2,bge,98,0.4588
2,bge,99,0.4588
2,minilm,100,0.4559
2,minilm,101,0.4559
2,bge,102,0.4558
2,bge,103,0.4558
2,w2v_pretrained,104,0.4525
2,w2v_pretrained,105,0.4525
2,glove_pretrained,106,0.4511
2,glove_pretrained,107,0.4511
2,glove_pretrained,108,0.4511
2,glove_pretrained,109,0.4507
2,glove_pretrained,110,0.4507
2,glove_pretrained,111,0.4507
2,sroberta,112,0.4481
2,sroberta,113,0.4481
2,sbert,114,0.4461
2,sbert,115,0.4461
2,sbert,116,0.4461
2,fasttext_pretrained,117,0.4441
2,fasttext_pretrained,118,0.4441
2,fasttext_pretrained,119,0.4441
2,e5,120,0.4406
2,glove_pretrained,121,0.4383
2,glove_pretrained,122,0.4383
2,glove_pretrained,123,0.4383
2,w2v_self,124,0.4368
2,w2v_self,125,0.4368
2,instructor,126,0.4261
2,instructor,127,0.4261
2,instructor,128,0.4261
2,w2v_self,129,0.4187
2,w2v_self,130,0.4187
2,w2v_self,131,0.4154
2,w2v_self,132,0.4154
2,w2v_pretrained,133,0.4143
2,w2v_pretrained,134,0.4143
2,w2v_pretrained,135,0.4143
2,fasttext_pretrained,136,0.4102
2,fasttext_pretrained,137,0.4102
2,fasttext_pretrained,138,0.4102
2,w2v_self,139,0.3984
2,w2v_self,140,0.3842
2,sroberta,141,0.3463
2,sroberta,142,0.3463
2,sroberta,143,0.3463
2,instructor,144,0.2804
2,instructor,145,0.2804
2,instructor,146,0.2804
2,sroberta,147,0.2338
2,sroberta,148,0.2338
2,e5,149,0.233
2,e5,150,0.233
2,e5,151,0.233
2,mpnet,152,0.233
2,mpnet,153,0.233
2,sroberta,154,0.233
2,mpnet,155,0.233
2,w2v_self,156,0.2316
2,w2v_self,157,0.2316
2,w2v_self,158,0.2316
2,w2v_self,159,0.2253
