embedding,clustering,k,alpha,mean,std
bge,dbscan,2,0.25,0.5667,
bge,dbscan,2,0.5,0.5667,
bge,dbscan,2,0.75,0.5667,
bge,hac,2,0.25,0.4558,
bge,hac,2,0.5,0.4558,
bge,hac,2,0.75,0.4857,
bge,hdbscan,2,0.25,0.4603,
bge,hdbscan,2,0.5,0.4603,
bge,hdbscan,2,0.75,0.4603,
bge,kmeans,2,0.25,0.4588,
bge,kmeans,2,0.5,0.4588,
bge,kmeans,2,0.75,0.4884,
bge,spectral,2,0.25,0.4607,
bge,spectral,2,0.5,0.4607,
bge,spectral,2,0.75,0.4784,
e5,dbscan,2,0.25,0.233,
e5,dbscan,2,0.5,0.233,
e5,dbscan,2,0.75,0.233,
e5,hac,2,0.25,0.4717,
e5,hac,2,0.5,0.4717,
e5,hac,2,0.75,0.4768,
e5,hdbscan,2,0.25,0.4942,
e5,hdbscan,2,0.5,0.4942,
e5,hdbscan,2,0.75,0.4942,
e5,kmeans,2,0.25,0.47,
e5,kmeans,2,0.5,0.479,
e5,kmeans,2,0.75,0.479,
e5,spectral,2,0.25,0.4406,
e5,spectral,2,0.5,0.4718,
e5,spectral,2,0.75,0.4718,
fasttext_pretrained,dbscan,2,0.25,0.494,
fasttext_pretrained,dbscan,2,0.5,0.494,
fasttext_pretrained,dbscan,2,0.75,0.494,
fasttext_pretrained,hac,2,0.25,0.4904,
fasttext_pretrained,hac,2,0.5,0.4904,
fasttext_pretrained,hac,2,0.75,0.4904,
fasttext_pretrained,hdbscan,2,0.25,0.4764,
fasttext_pretrained,hdbscan,2,0.5,0.4764,
fasttext_pretrained,hdbscan,2,0.75,0.4764,
fasttext_pretrained,kmeans,2,0.25,0.4441,
fasttext_pretrained,kmeans,2,0.5,0.4441,
fasttext_pretrained,kmeans,2,0.75,0.4441,
fasttext_pretrained,spectral,2,0.25,0.4102,
fasttext_pretrained,spectral,2,0.5,0.4102,
fasttext_pretrained,spectral,2,0.75,0.4102,
glove_pretrained,hac,2,0.25,0.4511,
glove_pretrained,hac,2,0.5,0.4511,
glove_pretrained,hac,2,0.75,0.4511,
glove_pretrained,hdbscan,2,0.25,0.4623,
glove_pretrained,hdbscan,2,0.5,0.4623,
glove_pretrained,hdbscan,2,0.75,0.4623,
glove_pretrained,kmeans,2,0.25,0.4507,
glove_pretrained,kmeans,2,0.5,0.4507,
glove_pretrained,kmeans,2,0.75,0.4507,
glove_pretrained,spectral,2,0.25,0.4383,
glove_pretrained,spectral,2,0.5,0.4383,
glove_pretrained,spectral,2,0.75,0.4383,
gte,hac,2,0.25,0.4665,
gte,hac,2,0.5,0.4665,
gte,hac,2,0.75,0.4805,
gte,hdbscan,2,0.25,0.5786,
gte,hdbscan,2,0.5,0.5786,
gte,hdbscan,2,0.75,0.5786,
gte,kmeans,2,0.25,0.4596,
gte,kmeans,2,0.5,0.4844,
gte,kmeans,2,0.75,0.4844,
gte,spectral,2,0.25,0.4635,
gte,spectral,2,0.5,0.4774,
gte,spectral,2,0.75,0.4774,
instructor,dbscan,2,0.25,0.4261,
instructor,dbscan,2,0.5,0.4261,
instructor,dbscan,2,0.75,0.4261,
instructor,hac,2,0.25,0.4627,
instructor,hac,2,0.5,0.4627,
instructor,hac,2,0.75,0.4627,
instructor,hdbscan,2,0.25,0.2804,
instructor,hdbscan,2,0.5,0.2804,
instructor,hdbscan,2,0.75,0.2804,
instructor,kmeans,2,0.25,0.4686,
instructor,kmeans,2,0.5,0.4686,
instructor,kmeans,2,0.75,0.4686,
instructor,spectral,2,0.25,0.4705,
instructor,spectral,2,0.5,0.4705,
instructor,spectral,2,0.75,0.4705,
minilm,hac,2,0.25,0.4648,
minilm,hac,2,0.5,0.4648,
minilm,hac,2,0.75,0.4711,
minilm,kmeans,2,0.25,0.4622,
minilm,kmeans,2,0.5,0.4622,
minilm,kmeans,2,0.75,0.4827,
minilm,spectral,2,0.25,0.4559,
minilm,spectral,2,0.5,0.4559,
minilm,spectral,2,0.75,0.4664,
mpnet,dbscan,2,0.25,0.233,
mpnet,dbscan,2,0.5,0.233,
mpnet,dbscan,2,0.75,0.233,
mpnet,hac,2,0.25,0.4812,
mpnet,hac,2,0.5,0.4812,
mpnet,hac,2,0.75,0.4812,
mpnet,hdbscan,2,0.25,0.5656,
mpnet,hdbscan,2,0.5,0.5656,
mpnet,hdbscan,2,0.75,0.5656,
mpnet,kmeans,2,0.25,0.4857,
mpnet,kmeans,2,0.5,0.4857,
mpnet,kmeans,2,0.75,0.4857,
mpnet,spectral,2,0.25,0.4631,
mpnet,spectral,2,0.5,0.4631,
mpnet,spectral,2,0.75,0.4631,
sbert,hac,2,0.25,0.4461,
sbert,hac,2,0.5,0.4461,
sbert,hac,2,0.75,0.4461,
sbert,hdbscan,2,0.25,0.5515,
sbert,hdbscan,2,0.5,0.5515,
sbert,hdbscan,2,0.75,0.5515,
sbert,kmeans,2,0.25,0.4794,
sbert,kmeans,2,0.5,0.4794,
sbert,kmeans,2,0.75,0.4794,
sbert,spectral,2,0.25,0.4652,
