method,class,avg_binary_f1
sbert,0,0.5601999999999999
sbert,1,0.5601999999999999
sroberta,0,0.558
sroberta,1,0.558
mpnet,0,0.602925
mpnet,1,0.602925
minilm,0,0.6106
minilm,1,0.6106
e5,0,0.61316
e5,1,0.61316
instructor,0,0.6064250000000001
instructor,1,0.6064250000000001
bge,0,0.6058499999999999
bge,1,0.6058499999999999
gte,0,0.6069600000000002
gte,1,0.6069600000000002
w2v_self,0,0.6351666666666667
w2v_self,1,0.6351666666666667
w2v_pretrained,0,0.5052866666666668
w2v_pretrained,1,0.5052866666666668
fasttext_pretrained,0,0.5494916666666668
fasttext_pretrained,1,0.5494916666666668
glove_pretrained,0,0.5315777777777778
glove_pretrained,1,0.5315777777777778
logistic_regression,0,0.8735
logistic_regression,1,0.8735
