embedding,k,difference
bge,2,-0.026899999999999924
bge,2,-0.026899999999999924
bge,2,-0.026899999999999924
bge,2,-0.026899999999999924
bge,2,-0.026899999999999924
bge,2,-0.026899999999999924
bge,2,-0.026899999999999924
bge,2,-0.026899999999999924
bge,2,-0.026899999999999924
e5,2,-0.02510000000000001
e5,2,-0.02510000000000001
e5,2,-0.02510000000000001
e5,2,-0.02510000000000001
e5,2,-0.02510000000000001
e5,2,-0.02510000000000001
e5,2,-0.02510000000000001
e5,2,-0.02510000000000001
e5,2,-0.02510000000000001
fasttext_pretrained,2,0.4202
fasttext_pretrained,2,0.01419999999999999
fasttext_pretrained,2,0.01419999999999999
fasttext_pretrained,2,0.4202
fasttext_pretrained,2,0.01419999999999999
fasttext_pretrained,2,0.01419999999999999
fasttext_pretrained,2,0.4202
fasttext_pretrained,2,0.01419999999999999
fasttext_pretrained,2,0.01419999999999999
glove_pretrained,2,0.3129
glove_pretrained,2,0.3129
glove_pretrained,2,-0.07150000000000001
glove_pretrained,2,0.3129
glove_pretrained,2,0.3129
glove_pretrained,2,-0.07150000000000001
glove_pretrained,2,0.3129
glove_pretrained,2,0.3129
glove_pretrained,2,-0.07150000000000001
gte,2,-0.028799999999999937
gte,2,-0.028799999999999937
gte,2,-0.028799999999999937
gte,2,-0.028799999999999937
gte,2,-0.028799999999999937
gte,2,-0.028799999999999937
gte,2,-0.028799999999999937
gte,2,-0.028799999999999937
gte,2,-0.028799999999999937
instructor,2,-0.009599999999999942
instructor,2,-0.009599999999999942
instructor,2,-0.009599999999999942
instructor,2,-0.009599999999999942
instructor,2,-0.009599999999999942
instructor,2,-0.009599999999999942
instructor,2,-0.009599999999999942
instructor,2,-0.009599999999999942
instructor,2,-0.009599999999999942
minilm,2,-0.007800000000000029
minilm,2,-0.007800000000000029
minilm,2,-0.007800000000000029
minilm,2,-0.007800000000000029
minilm,2,-0.007800000000000029
minilm,2,-0.007800000000000029
minilm,2,-0.007800000000000029
minilm,2,-0.007800000000000029
minilm,2,-0.007800000000000029
mpnet,2,-0.015199999999999991
mpnet,2,-0.015199999999999991
mpnet,2,-0.015199999999999991
mpnet,2,-0.015199999999999991
mpnet,2,-0.015199999999999991
mpnet,2,-0.015199999999999991
mpnet,2,-0.015199999999999991
mpnet,2,-0.015199999999999991
mpnet,2,-0.015199999999999991
sbert,2,-0.0040000000000000036
sbert,2,-0.0040000000000000036
sbert,2,-0.0040000000000000036
sbert,2,-0.0040000000000000036
sbert,2,-0.0040000000000000036
sbert,2,-0.0040000000000000036
sbert,2,-0.0040000000000000036
sbert,2,-0.0040000000000000036
sbert,2,-0.0040000000000000036
sroberta,2,0.0038000000000000256
sroberta,2,0.0038000000000000256
sroberta,2,0.0038000000000000256
sroberta,2,0.0038000000000000256
sroberta,2,0.0038000000000000256
sroberta,2,0.0038000000000000256
sroberta,2,0.0038000000000000256
sroberta,2,0.0038000000000000256
sroberta,2,0.0038000000000000256
w2v_pretrained,2,0.38000000000000006
w2v_pretrained,2,0.04810000000000003
w2v_pretrained,2,0.04810000000000003
w2v_pretrained,2,0.38000000000000006
w2v_pretrained,2,0.04810000000000003
w2v_pretrained,2,0.04810000000000003
w2v_pretrained,2,0.38000000000000006
w2v_pretrained,2,0.04810000000000003
w2v_pretrained,2,0.04810000000000003
w2v_self,2,0.00019999999999997797
w2v_self,2,0.00019999999999997797
w2v_self,2,0.00019999999999997797
w2v_self,2,0.00019999999999997797
w2v_self,2,0.00019999999999997797
w2v_self,2,0.00019999999999997797
w2v_self,2,0.00019999999999997797
w2v_self,2,0.00019999999999997797
w2v_self,2,0.00019999999999997797
