embedding,clustering,k,alpha,mean,std
bge,hac,2,0.25,0.6033,
bge,hac,2,0.5,0.6033,
bge,hac,2,0.75,0.6033,
bge,hdbscan,2,0.25,0.6327,
bge,hdbscan,2,0.5,0.6327,
bge,hdbscan,2,0.75,0.6327,
bge,kmeans,2,0.25,0.5764,
bge,kmeans,2,0.5,0.5764,
bge,kmeans,2,0.75,0.5764,
bge,spectral,2,0.25,0.611,
bge,spectral,2,0.5,0.611,
bge,spectral,2,0.75,0.611,
e5,dbscan,2,0.25,0.6214,
e5,dbscan,2,0.5,0.6214,
e5,dbscan,2,0.75,0.6214,
e5,hac,2,0.25,0.6152,
e5,hac,2,0.5,0.6152,
e5,hac,2,0.75,0.6152,
e5,hdbscan,2,0.25,0.6241,
e5,hdbscan,2,0.5,0.6241,
e5,hdbscan,2,0.75,0.6241,
e5,kmeans,2,0.25,0.5901,
e5,kmeans,2,0.5,0.5901,
e5,kmeans,2,0.75,0.5901,
e5,spectral,2,0.25,0.615,
e5,spectral,2,0.5,0.615,
e5,spectral,2,0.75,0.615,
fasttext_pretrained,hac,2,0.25,0.2762,
fasttext_pretrained,hac,2,0.5,0.6822,
fasttext_pretrained,hac,2,0.75,0.6822,
fasttext_pretrained,hdbscan,2,0.25,0.4321,
fasttext_pretrained,hdbscan,2,0.5,0.4321,
fasttext_pretrained,hdbscan,2,0.75,0.4321,
fasttext_pretrained,kmeans,2,0.25,0.6964,
fasttext_pretrained,kmeans,2,0.5,0.6964,
fasttext_pretrained,kmeans,2,0.75,0.6964,
fasttext_pretrained,spectral,2,0.25,0.2862,
fasttext_pretrained,spectral,2,0.5,0.6408,
fasttext_pretrained,spectral,2,0.75,0.6408,
glove_pretrained,hac,2,0.25,0.2709,
glove_pretrained,hac,2,0.5,0.2709,
glove_pretrained,hac,2,0.75,0.6553,
glove_pretrained,kmeans,2,0.25,0.5838,
glove_pretrained,kmeans,2,0.5,0.5838,
glove_pretrained,kmeans,2,0.75,0.5838,
glove_pretrained,spectral,2,0.25,0.6119,
glove_pretrained,spectral,2,0.5,0.6119,
glove_pretrained,spectral,2,0.75,0.6119,
gte,dbscan,2,0.25,0.6165,
gte,dbscan,2,0.5,0.6165,
gte,dbscan,2,0.75,0.6165,
gte,hac,2,0.25,0.6131,
gte,hac,2,0.5,0.6131,
gte,hac,2,0.75,0.6131,
gte,hdbscan,2,0.25,0.6021,
gte,hdbscan,2,0.5,0.6021,
gte,hdbscan,2,0.75,0.6021,
gte,kmeans,2,0.25,0.5843,
gte,kmeans,2,0.5,0.5843,
gte,kmeans,2,0.75,0.5843,
gte,spectral,2,0.25,0.6188,
gte,spectral,2,0.5,0.6188,
gte,spectral,2,0.75,0.6188,
instructor,hac,2,0.25,0.6093,
instructor,hac,2,0.5,0.6093,
instructor,hac,2,0.75,0.6093,
instructor,hdbscan,2,0.25,0.5998,
instructor,hdbscan,2,0.5,0.5998,
instructor,hdbscan,2,0.75,0.5998,
instructor,kmeans,2,0.25,0.5997,
instructor,kmeans,2,0.5,0.5997,
instructor,kmeans,2,0.75,0.5997,
instructor,spectral,2,0.25,0.6169,
instructor,spectral,2,0.5,0.6169,
instructor,spectral,2,0.75,0.6169,
minilm,hac,2,0.25,0.6074,
minilm,hac,2,0.5,0.6074,
minilm,hac,2,0.75,0.6074,
minilm,hdbscan,2,0.25,0.6185,
minilm,hdbscan,2,0.5,0.6185,
minilm,hdbscan,2,0.75,0.6185,
minilm,kmeans,2,0.25,0.5996,
minilm,kmeans,2,0.5,0.5996,
minilm,kmeans,2,0.75,0.5996,
minilm,spectral,2,0.25,0.6169,
minilm,spectral,2,0.5,0.6169,
minilm,spectral,2,0.75,0.6169,
