method,class,avg_binary_f1
sbert,0,0.6693375
sbert,1,0.6661166666666667
sbert,2,0.5975631578947368
sbert,3,0.5570388888888888
sbert,4,0.6390368421052631
sroberta,0,0.63016
sroberta,1,0.6190399999999998
sroberta,2,0.554445
sroberta,3,0.54465
sroberta,4,0.634155
mpnet,0,0.6208699999999998
mpnet,1,0.6486444444444445
mpnet,2,0.6260411764705882
mpnet,3,0.5561388888888888
mpnet,4,0.6292631578947369
minilm,0,0.6338666666666666
minilm,1,0.723625
minilm,2,0.6136833333333335
minilm,3,0.55645
minilm,4,0.6718888888888889
e5,0,0.6341882352941176
e5,1,0.6450222222222223
e5,2,0.5596055555555555
e5,3,0.5249555555555555
e5,4,0.6305631578947368
instructor,0,0.6771499999999999
instructor,1,0.6979176470588235
instructor,2,0.607675
instructor,3,0.54199375
instructor,4,0.627735294117647
bge,0,0.68131875
bge,1,0.7014529411764706
bge,2,0.63763125
bge,3,0.571825
bge,4,0.6734176470588236
gte,0,0.6376117647058824
gte,1,0.5915789473684212
gte,2,0.5145263157894737
gte,3,0.53459375
gte,4,0.5824052631578948
w2v_self,0,0.650042105263158
w2v_self,1,0.6365649999999999
w2v_self,2,0.6032611111111111
w2v_self,3,0.5614842105263158
w2v_self,4,0.7015111111111111
w2v_pretrained,0,0.6633055555555555
w2v_pretrained,1,0.6279944444444445
w2v_pretrained,2,0.5543055555555556
w2v_pretrained,3,0.5497473684210528
w2v_pretrained,4,0.5197823529411765
fasttext_pretrained,0,0.5522631578947369
fasttext_pretrained,1,0.5065500000000001
fasttext_pretrained,2,0.506125
fasttext_pretrained,3,0.3986882352941177
fasttext_pretrained,4,0.4843722222222222
glove_pretrained,0,0.6590055555555555
glove_pretrained,1,0.6422789473684211
glove_pretrained,2,0.5898399999999999
glove_pretrained,3,0.5734823529411766
glove_pretrained,4,0.62281
logistic_regression,0,0.844025
logistic_regression,1,0.818675
logistic_regression,2,0.7803500000000001
logistic_regression,3,0.742325
logistic_regression,4,0.836975
