embedding,k,difference
bge,2,0.06623000000000001
bge,3,0.14620999999999995
bge,4,0.052539999999999976
bge,5,-0.08839999999999998
e5,2,0.10987000000000002
e5,3,0.08875999999999995
e5,4,0.012199999999999933
e5,5,-0.09589999999999999
fasttext_pretrained,2,0.07082999999999995
fasttext_pretrained,3,-0.022749999999999992
fasttext_pretrained,4,0.016359999999999986
fasttext_pretrained,5,-0.009399999999999964
glove_pretrained,2,0.04193999999999998
glove_pretrained,3,-0.02692
glove_pretrained,4,-0.09836
glove_pretrained,5,-0.13440000000000002
gte,2,0.24973999999999996
gte,3,0.24799000000000004
gte,4,0.16488000000000003
gte,5,0.0676
instructor,2,0.0724800000000001
instructor,3,0.11199999999999999
instructor,4,0.2425
instructor,5,0.24549999999999997
minilm,2,0.04072999999999993
minilm,3,0.07840000000000003
minilm,4,0.09106000000000003
minilm,5,0.14250000000000002
mpnet,2,0.09992000000000001
mpnet,3,0.06273000000000006
mpnet,4,0.05722000000000005
mpnet,5,0.0847
sbert,2,0.04881000000000002
sbert,3,0.052509999999999835
sbert,4,0.06997999999999993
sbert,5,0.04620000000000002
sroberta,2,0.06447000000000003
sroberta,3,0.06755
sroberta,4,0.10131999999999997
sroberta,5,0.060299999999999965
w2v_pretrained,2,-0.07288000000000006
w2v_pretrained,3,0.027200000000000002
w2v_pretrained,4,0.07025999999999999
w2v_pretrained,5,-0.18660000000000002
w2v_self,2,0.08926999999999996
w2v_self,3,0.1227700000000001
w2v_self,4,0.03366000000000008
w2v_self,5,0.01419999999999999
