method,slope,r2
bge,-0.041337638888888896,0.05650746050931643
e5,-0.07383099074074073,0.18290197125693586
fasttext_pretrained,-0.06578422535211267,0.5520623715674833
glove_pretrained,-0.08113588186077644,0.24837752647223987
gte,-0.04703970370370371,0.0979904692764959
instructor,-0.0983164106425703,0.3040737864852975
logistic_regression,-0.06406600000000003,0.9655550864545644
minilm,-0.08580090476190473,0.19892274064175408
mpnet,-0.054474450181679096,0.09390313600504496
sbert,-0.09077317829457363,0.21748444533690703
sroberta,-0.07734637984496125,0.1738347279921174
w2v_pretrained,-0.084115140562249,0.30713485403263185
w2v_self,-0.09223387459807075,0.3545306090621331
