k,unsupervised_method,gap
2,bge,0.55412
2,bge,0.09421999999999997
2,bge,0.34675888888888895
2,bge,0.02798999999999996
2,bge,0.07194999999999996
2,e5,0.44560333333333335
2,e5,0.12630000000000008
2,e5,0.39299222222222224
2,e5,0.016430000000000056
2,e5,0.16161000000000003
2,fasttext_pretrained,0.42407
2,fasttext_pretrained,0.30008999999999997
2,fasttext_pretrained,0.36437
2,fasttext_pretrained,0.22926000000000002
2,fasttext_pretrained,0.3227
2,glove_pretrained,0.45307000000000003
2,glove_pretrained,0.09572000000000003
2,glove_pretrained,0.3551255555555555
2,glove_pretrained,0.05378000000000005
2,glove_pretrained,0.04605999999999999
2,gte,0.3932366666666667
2,gte,0.27166
2,gte,0.3383144444444444
2,gte,0.02192000000000005
2,gte,0.21238
2,instructor,0.5230699999999999
2,instructor,0.10826000000000002
2,instructor,0.3683075
2,instructor,0.03577999999999992
2,instructor,0.11446
2,minilm,0.49179500000000004
2,minilm,0.07450000000000001
2,minilm,0.34432000000000007
2,minilm,0.03377000000000008
2,minilm,0.08316000000000001
2,mpnet,0.4743414285714286
2,mpnet,0.13046000000000002
2,mpnet,0.32984777777777785
2,mpnet,0.03054000000000001
2,mpnet,0.07555
2,sbert,0.47559
2,sbert,0.08757999999999999
2,sbert,0.35821000000000003
2,sbert,0.03876999999999997
2,sbert,0.08667999999999998
2,sroberta,0.46524
2,sroberta,0.09882999999999997
2,sroberta,0.33511
2,sroberta,0.034359999999999946
2,sroberta,0.10636000000000001
2,w2v_pretrained,0.47602
2,w2v_pretrained,0.121
2,w2v_pretrained,0.3754033333333333
2,w2v_pretrained,0.19388000000000005
2,w2v_pretrained,0.056640000000000024
2,w2v_self,0.41334142857142864
2,w2v_self,0.12134
2,w2v_self,0.33263000000000004
2,w2v_self,0.03207000000000004
2,w2v_self,0.04382000000000008
3,bge,0.5537650000000001
3,bge,0.21738000000000002
3,bge,0.4551566666666667
3,bge,0.07117000000000007
3,bge,0.1348800000000001
3,e5,0.5358233333333334
