k,method,rank,mean_f1
2,logistic_regression,1,0.80447
2,e5,2,0.78804
2,gte,3,0.78255
2,bge,4,0.7764800000000001
2,mpnet,5,0.77393
2,w2v_self,6,0.7724
2,minilm,7,0.7706999999999999
2,sroberta,8,0.7701100000000001
2,instructor,9,0.7686900000000001
2,sbert,10,0.7657
2,w2v_self,11,0.7606499999999999
2,glove_pretrained,12,0.75841
2,glove_pretrained,13,0.75069
2,w2v_pretrained,14,0.74783
2,bge,15,0.7325200000000001
2,minilm,16,0.72997
2,mpnet,17,0.72892
2,minilm,18,0.72131
2,sbert,19,0.71779
2,sbert,20,0.71689
2,bge,21,0.71025
2,glove_pretrained,22,0.70875
2,sroberta,23,0.70564
2,sroberta,24,0.69811
2,instructor,25,0.69621
2,instructor,26,0.69001
2,w2v_pretrained,27,0.68347
2,w2v_self,28,0.68313
2,e5,29,0.6781699999999999
2,mpnet,30,0.67401
2,e5,31,0.64286
2,w2v_pretrained,32,0.61059
2,gte,33,0.59209
2,fasttext_pretrained,34,0.57521
2,gte,35,0.53281
2,fasttext_pretrained,36,0.50438
2,fasttext_pretrained,37,0.48177000000000003
2,mpnet,38,0.47462222222222217
2,w2v_self,39,0.47184
2,sroberta,40,0.46936
2,gte,41,0.4661555555555556
2,minilm,42,0.46014999999999995
2,bge,43,0.45771111111111107
2,glove_pretrained,44,0.4493444444444445
2,sbert,45,0.44626
2,fasttext_pretrained,46,0.4401
2,instructor,47,0.4361625
2,w2v_pretrained,48,0.4290666666666667
2,e5,49,0.4114777777777778
2,gte,50,0.41123333333333334
2,w2v_self,51,0.3911285714285714
2,fasttext_pretrained,52,0.3804
2,e5,53,0.35886666666666667
2,glove_pretrained,54,0.3514
2,sroberta,55,0.33923000000000003
2,mpnet,56,0.33012857142857144
2,sbert,57,0.32888
2,w2v_pretrained,58,0.32845
2,minilm,59,0.312675
2,instructor,60,0.28140000000000004
2,bge,61,0.25035
3,logistic_regression,1,0.7114900000000001
3,gte,2,0.6672
3,mpnet,3,0.66591
3,sroberta,4,0.6614
3,minilm,5,0.65483
3,bge,6,0.64032
3,sbert,7,0.6384399999999999
3,instructor,8,0.63432
3,mpnet,9,0.62255
3,w2v_self,10,0.61724
3,w2v_self,11,0.6071500000000001
3,mpnet,12,0.6031799999999999
3,glove_pretrained,13,0.59592
3,sroberta,14,0.59385
3,sbert,15,0.5859300000000001
3,sroberta,16,0.57822
3,bge,17,0.57661
3,minilm,18,0.57643
3,e5,19,0.56761
3,w2v_pretrained,20,0.5398400000000001
3,minilm,21,0.52669
3,e5,22,0.52315
3,instructor,23,0.52232
3,gte,24,0.49849
3,w2v_pretrained,25,0.49641
3,bge,26,0.49411000000000005
3,glove_pretrained,27,0.4871
3,w2v_self,28,0.48438
3,e5,29,0.47885
3,w2v_pretrained,30,0.46921
3,glove_pretrained,31,0.46018
3,sbert,32,0.44934
3,instructor,33,0.42984999999999995
3,fasttext_pretrained,34,0.42279999999999995
3,gte,35,0.41920999999999997
3,fasttext_pretrained,36,0.40004999999999996
3,fasttext_pretrained,37,0.38128
3,sroberta,38,0.31205
3,w2v_self,39,0.297825
3,mpnet,40,0.28300000000000003
3,gte,41,0.2774666666666667
3,glove_pretrained,42,0.26975
3,w2v_pretrained,43,0.2612
3,bge,44,0.25633333333333336
3,w2v_pretrained,45,0.2495
3,instructor,46,0.24808333333333332
3,minilm,47,0.2377142857142857
3,sbert,48,0.2154
3,gte,49,0.215
3,glove_pretrained,50,0.213425
3,e5,51,0.200625
3,fasttext_pretrained,52,0.1902
3,e5,53,0.17566666666666667
3,instructor,54,0.17443333333333333
3,minilm,55,0.16318333333333332
3,sroberta,56,0.15866666666666665
3,bge,57,0.157725
3,sbert,58,0.15483333333333335
3,mpnet,59,0.1459
4,logistic_regression,1,0.65034
4,mpnet,2,0.5917600000000001
4,sroberta,3,0.58778
4,gte,4,0.58746
4,minilm,5,0.56274
4,sbert,6,0.55892
4,instructor,7,0.55538
4,bge,8,0.54324
4,mpnet,9,0.53454
4,bge,10,0.52816
4,glove_pretrained,11,0.51038
4,sroberta,12,0.50686
4,sbert,13,0.48894000000000004
4,sroberta,14,0.48646
4,bge,15,0.47562
4,mpnet,16,0.47336
4,w2v_self,17,0.47222
4,minilm,18,0.47168
4,w2v_self,19,0.44720000000000004
4,w2v_pretrained,20,0.44017999999999996
4,gte,21,0.42257999999999996
4,e5,22,0.41786
4,minilm,23,0.41581999999999997
4,w2v_self,24,0.41353999999999996
4,e5,25,0.41091999999999995
4,gte,26,0.40127999999999997
4,e5,27,0.39872
4,glove_pretrained,28,0.3779
4,w2v_pretrained,29,0.37522
4,fasttext_pretrained,30,0.34968
4,fasttext_pretrained,31,0.33332
4,fasttext_pretrained,32,0.33014
4,instructor,33,0.32258
4,sbert,34,0.31586
4,instructor,35,0.31288
4,w2v_pretrained,36,0.30496
4,glove_pretrained,37,0.27954
4,sroberta,38,0.2117
4,gte,39,0.19905
4,instructor,40,0.19063333333333332
4,gte,41,0.1753
4,glove_pretrained,42,0.1741
4,e5,43,0.1569
4,sbert,44,0.1226
4,bge,45,0.12209999999999999
4,minilm,46,0.117
4,w2v_pretrained,47,0.11099999999999999
4,sbert,48,0.1106
4,minilm,49,0.10776666666666668
4,w2v_self,50,0.1066
4,sroberta,51,0.1049
4,mpnet,52,0.097
4,e5,53,0.0857
5,logistic_regression,1,0.6113
5,mpnet,2,0.5464
5,sroberta,3,0.5397
5,gte,4,0.5376
5,bge,5,0.5328
5,sbert,6,0.5079
5,e5,7,0.4954
5,bge,8,0.4894
5,minilm,9,0.4824
5,sroberta,10,0.4794
5,gte,11,0.47
5,glove_pretrained,12,0.4632
5,mpnet,13,0.4617
5,sbert,14,0.4617
5,w2v_pretrained,15,0.4358
5,glove_pretrained,16,0.4132
5,w2v_self,17,0.4087
5,instructor,18,0.4044
5,bge,19,0.401
5,sroberta,20,0.4009
5,e5,21,0.3995
5,w2v_self,22,0.3945
5,gte,23,0.357
5,minilm,24,0.3399
5,mpnet,25,0.3282
5,e5,26,0.3238
5,w2v_self,27,0.3144
5,w2v_pretrained,28,0.3138
5,minilm,29,0.3057
5,sbert,30,0.2915
5,fasttext_pretrained,31,0.2864
5,glove_pretrained,32,0.2788
5,fasttext_pretrained,33,0.277
5,instructor,34,0.265
5,w2v_pretrained,35,0.2492
5,fasttext_pretrained,36,0.2445
5,instructor,37,0.1589
5,sbert,38,0.0753
5,sroberta,39,0.0742
