embedding,clustering,k,mean,std
bge,dbscan,2,0.25035,0.018031222920256967
bge,dbscan,3,0.157725,0.008524621203705583
bge,hac,2,0.71025,0.12346570598978314
bge,hac,3,0.49411000000000005,0.1844874970168861
bge,hac,4,0.47562,0.08731389923717757
bge,hac,5,0.4894,
bge,hdbscan,2,0.45771111111111107,0.09729500815104088
bge,hdbscan,3,0.25633333333333336,0.08330560205252305
bge,hdbscan,4,0.12209999999999999,0.020274121435958695
bge,kmeans,2,0.7764800000000001,0.11737309742866973
bge,kmeans,3,0.64032,0.16655085176072273
bge,kmeans,4,0.52816,0.16151644807882573
bge,kmeans,5,0.401,
bge,spectral,2,0.7325200000000001,0.16832759594182875
bge,spectral,3,0.57661,0.17370992711350083
bge,spectral,4,0.54324,0.09311137417093573
bge,spectral,5,0.5328,
e5,dbscan,2,0.35886666666666667,0.1282817004356688
e5,dbscan,3,0.17566666666666667,0.04805849213892032
e5,dbscan,4,0.0857,
e5,hac,2,0.6781699999999999,0.21181111632773195
e5,hac,3,0.47885,0.17906480670416505
e5,hac,4,0.39872,0.10420977401376515
e5,hac,5,0.4954,
e5,hdbscan,2,0.4114777777777778,0.11135336521382928
e5,hdbscan,3,0.200625,0.01605186905005146
e5,hdbscan,4,0.1569,
e5,kmeans,2,0.78804,0.10757413154554298
e5,kmeans,3,0.56761,0.2184872915195654
e5,kmeans,4,0.41091999999999995,0.10029659515656549
e5,kmeans,5,0.3995,
e5,spectral,2,0.64286,0.235015891661252
e5,spectral,3,0.52315,0.16373744735602377
e5,spectral,4,0.41786,0.09858467426532386
e5,spectral,5,0.3238,
fasttext_pretrained,dbscan,2,0.3804,0.08926204867318101
fasttext_pretrained,dbscan,3,0.1902,
fasttext_pretrained,hac,2,0.50438,0.2485410397589188
fasttext_pretrained,hac,3,0.42279999999999995,0.14806678673265433
fasttext_pretrained,hac,4,0.33332,0.06764733549815544
fasttext_pretrained,hac,5,0.2864,
fasttext_pretrained,hdbscan,2,0.4401,0.10103750541259418
fasttext_pretrained,kmeans,2,0.57521,0.26839892966337336
fasttext_pretrained,kmeans,3,0.40004999999999996,0.0940913415546593
fasttext_pretrained,kmeans,4,0.34968,0.0785962276448431
fasttext_pretrained,kmeans,5,0.277,
fasttext_pretrained,spectral,2,0.48177000000000003,0.255463770208006
fasttext_pretrained,spectral,3,0.38128,0.11167405746685802
fasttext_pretrained,spectral,4,0.33014,0.06560787300316935
fasttext_pretrained,spectral,5,0.2445,
glove_pretrained,dbscan,2,0.3514,0.0801241358322019
glove_pretrained,dbscan,3,0.213425,0.04727207597162056
glove_pretrained,dbscan,4,0.1741,
glove_pretrained,hac,2,0.70875,0.08968923198095369
glove_pretrained,hac,3,0.4871,0.14253985797351948
glove_pretrained,hac,4,0.3779,0.13399210797655212
glove_pretrained,hac,5,0.4132,
glove_pretrained,hdbscan,2,0.4493444444444445,0.07235964191300133
glove_pretrained,hdbscan,3,0.26975,0.09397449121969216
glove_pretrained,kmeans,2,0.75069,0.11383347925808121
glove_pretrained,kmeans,3,0.46018,0.20999204641022845
glove_pretrained,kmeans,4,0.27954,0.07043396197857962
glove_pretrained,kmeans,5,0.2788,
glove_pretrained,spectral,2,0.75841,0.121596038404035
glove_pretrained,spectral,3,0.59592,0.15479976887723204
glove_pretrained,spectral,4,0.51038,0.07104119931420078
glove_pretrained,spectral,5,0.4632,
