method,class,avg_binary_f1
sbert,0,0.5745806451612904
sbert,1,0.34444333333333343
sbert,2,0.39480888888888893
sbert,3,0.4476935483870967
sbert,4,0.4175
sbert,5,0.50639
sbert,6,0.49718571428571423
sbert,7,0.5127833333333334
sbert,8,0.4220033333333333
sbert,9,0.5180666666666667
sroberta,0,0.5601058823529411
sroberta,1,0.29867894736842104
sroberta,2,0.3954090909090909
sroberta,3,0.4906333333333333
sroberta,4,0.501253125
sroberta,5,0.5488999999999999
sroberta,6,0.5316
sroberta,7,0.5424454545454546
sroberta,8,0.49671515151515155
sroberta,9,0.5172682926829268
mpnet,0,0.6294428571428572
mpnet,1,0.43118837209302335
mpnet,2,0.4398285714285715
mpnet,3,0.5041846153846153
mpnet,4,0.5189971428571428
mpnet,5,0.5721424242424242
mpnet,6,0.5382583333333333
mpnet,7,0.5440606060606061
mpnet,8,0.4626575757575758
mpnet,9,0.5362461538461538
minilm,0,0.5783437499999999
minilm,1,0.407428947368421
minilm,2,0.38841333333333333
minilm,3,0.55670625
minilm,4,0.46262424242424244
minilm,5,0.5588612903225807
minilm,6,0.5851371428571428
minilm,7,0.4832709677419355
minilm,8,0.4182967741935484
minilm,9,0.543663157894737
e5,0,0.466040625
e5,1,0.39195625
e5,2,0.39828333333333327
e5,3,0.5463312499999999
e5,4,0.5016999999999999
e5,5,0.4884103448275862
e5,6,0.49244193548387094
e5,7,0.4947033333333334
e5,8,0.4280666666666667
e5,9,0.554725
instructor,0,0.5704687500000001
instructor,1,0.40463611111111114
instructor,2,0.3970232558139535
instructor,3,0.4938612903225807
instructor,4,0.4553451612903226
instructor,5,0.536725
instructor,6,0.5388882352941176
instructor,7,0.5112548387096775
instructor,8,0.45700322580645164
instructor,9,0.5840025641025641
bge,0,0.5033470588235295
bge,1,0.39504285714285714
bge,2,0.3935295454545455
bge,3,0.5046628571428572
bge,4,0.4766
bge,5,0.4823818181818182
bge,6,0.45733157894736837
bge,7,0.45374848484848496
bge,8,0.5022545454545455
bge,9,0.528154761904762
gte,0,0.5148121212121212
gte,1,0.39065952380952385
gte,2,0.39893023255813953
gte,3,0.5176885714285714
gte,4,0.47825
gte,5,0.5172625
gte,6,0.5965548387096774
gte,7,0.5150875
gte,8,0.499809375
gte,9,0.558713888888889
w2v_self,0,0.4698833333333334
w2v_self,1,0.4003333333333334
w2v_self,2,0.4356399999999999
w2v_self,3,0.45672333333333337
w2v_self,4,0.4823774193548386
w2v_self,5,0.46331612903225805
w2v_self,6,0.43725806451612903
w2v_self,7,0.37924193548387103
w2v_self,8,0.4274258064516129
w2v_self,9,0.4461428571428571
w2v_pretrained,0,0.45928125000000003
w2v_pretrained,1,0.38052631578947366
w2v_pretrained,2,0.42972444444444435
w2v_pretrained,3,0.4890878787878788
w2v_pretrained,4,0.42761562500000005
w2v_pretrained,5,0.46772812499999994
w2v_pretrained,6,0.43778181818181816
w2v_pretrained,7,0.5304187499999999
w2v_pretrained,8,0.402678125
w2v_pretrained,9,0.4087466666666667
fasttext_pretrained,0,0.4249666666666667
fasttext_pretrained,1,0.3875105263157894
fasttext_pretrained,2,0.4314204545454545
fasttext_pretrained,3,0.40846
fasttext_pretrained,4,0.4598088235294118
fasttext_pretrained,5,0.4467833333333333
fasttext_pretrained,6,0.3950235294117647
fasttext_pretrained,7,0.44529666666666673
fasttext_pretrained,8,0.39904999999999996
fasttext_pretrained,9,0.34673333333333334
glove_pretrained,0,0.35096551724137925
glove_pretrained,1,0.37202903225806444
glove_pretrained,2,0.41089230769230767
glove_pretrained,3,0.44188181818181815
glove_pretrained,4,0.31960000000000005
glove_pretrained,5,0.43520714285714296
glove_pretrained,6,0.3327151515151515
glove_pretrained,7,0.4642857142857143
glove_pretrained,8,0.3919379310344827
glove_pretrained,9,0.29504117647058825
logistic_regression,0,0.7138375
logistic_regression,1,0.7583428571428572
logistic_regression,2,0.8328571428571429
logistic_regression,3,0.6846571428571429
logistic_regression,4,0.8816714285714286
logistic_regression,5,0.5128714285714285
logistic_regression,6,0.7573428571428573
logistic_regression,7,0.4632
logistic_regression,9,0.8077857142857143
