embedding,k,difference
bge,2,0.03474222222222223
bge,3,0.03128333333333333
bge,4,0.011049047619047597
bge,5,0.029753174603174587
bge,6,0.029525714285714294
bge,7,0.034415
bge,8,0.027851111111111118
bge,9,0.03379999999999998
bge,10,0.055499999999999994
e5,2,0.03578444444444451
e5,3,0.033572500000000005
e5,4,-0.004457619047619044
e5,5,0.005586904761904765
e5,6,0.008521904761904758
e5,7,0.019015833333333315
e5,8,0.024888888888888905
e5,9,0.01174
e5,10,-0.0644
fasttext_pretrained,2,-0.004315555555555517
fasttext_pretrained,3,-0.019028333333333314
fasttext_pretrained,4,0.008217619047619057
fasttext_pretrained,5,0.008351190476190484
fasttext_pretrained,6,0.00994571428571428
fasttext_pretrained,7,-0.0001925000000000121
fasttext_pretrained,8,0.002575555555555553
fasttext_pretrained,9,0.020649999999999988
fasttext_pretrained,10,0.027800000000000005
glove_pretrained,2,-0.0045399999999999885
glove_pretrained,3,-0.008455833333333329
glove_pretrained,4,-0.00744952380952385
glove_pretrained,5,0.003863888888888889
glove_pretrained,6,-0.0036171428571428466
glove_pretrained,7,-0.007649166666666679
glove_pretrained,8,-0.011099999999999999
glove_pretrained,9,-0.010009999999999998
glove_pretrained,10,0.0102
gte,2,0.01922222222222225
gte,3,0.011041666666666672
gte,4,0.013162857142857143
gte,5,0.003883333333333322
gte,6,0.014541904761904756
gte,7,0.011463333333333325
gte,8,0.010786666666666667
gte,9,0.022410000000000013
gte,10,-0.014600000000000002
instructor,2,0.02413111111111116
instructor,3,-0.010342499999999977
instructor,4,0.02516761904761905
instructor,5,0.005836904761904765
instructor,6,0.015991428571428545
instructor,7,0.026589166666666664
instructor,8,0.015086666666666693
instructor,9,0.013149999999999995
instructor,10,-0.0011000000000000176
minilm,2,-0.005351111111111084
minilm,3,0.017154999999999976
minilm,4,0.00013857142857143234
minilm,5,0.007302777777777769
minilm,6,0.00030380952380951176
minilm,7,-0.005734166666666679
minilm,8,-0.018851111111111096
minilm,9,-0.03489999999999999
minilm,10,-0.10089999999999999
mpnet,2,0.01560444444444442
mpnet,3,-0.0009966666666667012
mpnet,4,-0.008808095238095281
mpnet,5,0.003213095238095265
mpnet,6,0.010768095238095243
mpnet,7,0.018455
mpnet,8,-0.0007622222222222752
mpnet,9,0.014919999999999989
mpnet,10,-0.012300000000000005
sbert,2,0.007784444444444372
sbert,3,-0.002890000000000059
sbert,4,0.015220476190476173
sbert,5,0.012105952380952412
sbert,6,0.008131904761904757
sbert,7,0.0061475
sbert,8,0.003862222222222239
sbert,9,-0.012759999999999994
sbert,10,-0.0242
sroberta,2,0.03930444444444453
sroberta,3,0.020743333333333336
sroberta,4,0.017234761904761864
sroberta,5,0.01731190476190475
sroberta,6,0.019738571428571466
sroberta,7,0.012755833333333355
sroberta,8,-0.005815555555555546
sroberta,9,-0.0005600000000000049
sroberta,10,0.011300000000000004
w2v_pretrained,2,-0.0312688888888889
w2v_pretrained,3,-0.0015641666666666998
w2v_pretrained,4,0.007632857142857136
w2v_pretrained,5,0.007417063492063503
w2v_pretrained,6,-0.00711619047619047
w2v_pretrained,7,0.0037700000000000095
w2v_pretrained,8,0.007871111111111134
w2v_pretrained,9,-0.023169999999999996
w2v_pretrained,10,-0.008900000000000005
w2v_self,2,0.00682888888888894
w2v_self,3,-0.017165833333333325
w2v_self,4,-0.0029428571428571637
w2v_self,5,-0.010816666666666669
w2v_self,6,-0.01638904761904761
w2v_self,7,0.0016449999999999937
w2v_self,8,-0.001757777777777761
w2v_self,9,-0.023609999999999992
w2v_self,10,-0.0208
