method,slope,r2
bge,-0.038114305534145465,0.764723790102187
e5,-0.04133926554177597,0.7633276321716514
fasttext_pretrained,-0.034576325304118964,0.7287479691514558
glove_pretrained,-0.03744204179948423,0.7352145180619154
gte,-0.038739520086568356,0.7328322916753146
instructor,-0.04263830266529838,0.6984656640127523
logistic_regression,-0.04669415552427866,0.9750146503270188
minilm,-0.03312284574446263,0.6907229889863188
mpnet,-0.039725023449798634,0.7035667170455318
sbert,-0.03539918356415109,0.7283362980770792
sroberta,-0.036806279408815507,0.6331519236360699
w2v_pretrained,-0.04015523638458551,0.7734770241524525
w2v_self,-0.04136520151897251,0.8166623775397288
