k,unsupervised_method,gap
2,bge,0.2889651340996168
2,bge,0.28174735632183906
2,bge,0.2987929118773946
2,bge,0.24700513409961683
2,bge,0.2574740229885057
2,e5,0.343587356321839
2,e5,0.273136245210728
2,e5,0.29808259441707713
2,e5,0.23735180076628348
2,e5,0.2536584674329502
2,fasttext_pretrained,0.31748911070780395
2,fasttext_pretrained,0.32504513409961683
2,fasttext_pretrained,0.3445992610837438
2,fasttext_pretrained,0.32936068965517235
2,fasttext_pretrained,0.3137762452107279
2,glove_pretrained,0.3151456896551724
2,glove_pretrained,0.3676362452107279
2,glove_pretrained,0.301436074270557
2,glove_pretrained,0.3721762452107279
2,glove_pretrained,0.3562629118773946
2,gte,0.3007278325123153
2,gte,0.2370829118773946
2,gte,0.2970006896551724
2,gte,0.21786068965517236
2,gte,0.23456291187739464
2,instructor,0.16823180076628352
2,instructor,0.257416245210728
2,instructor,0.29602838196286474
2,instructor,0.23328513409961682
2,instructor,0.23150513409961682
2,minilm,0.2923206896551724
2,minilm,0.23551180076628353
2,minilm,0.30443735632183905
2,minilm,0.24086291187739461
2,minilm,0.20917624521072797
2,mpnet,0.24900068965517236
2,mpnet,0.22382735632183903
2,mpnet,0.30432485632183903
2,mpnet,0.2082229118773946
2,mpnet,0.1832673563218391
2,sbert,0.3001456896551724
2,sbert,0.27600291187739456
2,sbert,0.3430651340996168
2,sbert,0.2682184674329502
2,sbert,0.2519406896551724
2,sroberta,0.4050058748403576
2,sroberta,0.248436245210728
2,sroberta,0.3157873563218391
2,sroberta,0.20913180076628346
2,sroberta,0.1889651340996168
2,w2v_pretrained,0.3059984674329501
2,w2v_pretrained,0.2562140229885057
2,w2v_pretrained,0.365237356321839
2,w2v_pretrained,0.2874829118773946
2,w2v_pretrained,0.31000513409961683
2,w2v_self,0.2858522686025408
2,w2v_self,0.31046291187739466
2,w2v_self,0.30469846743295015
2,w2v_self,0.3036340229885057
2,w2v_self,0.2883095785440613
3,bge,0.28972992277992277
3,bge,0.3508877380952381
3,bge,0.34879999999999994
3,bge,0.31960440476190477
3,bge,0.34554523809523807
3,e5,0.37827142857142854
3,e5,0.3598777380952381
3,e5,0.3888052380952381
3,e5,0.3263052380952381
3,e5,0.34208190476190475
3,fasttext_pretrained,0.40120357142857144
3,fasttext_pretrained,0.3748985714285714
3,fasttext_pretrained,0.4312919047619047
3,fasttext_pretrained,0.39392690476190473
3,fasttext_pretrained,0.3686310714285714
3,glove_pretrained,0.44669857142857144
3,glove_pretrained,0.4218210714285714
3,glove_pretrained,0.47893029556650246
3,glove_pretrained,0.4302769047619047
3,glove_pretrained,0.41831857142857143
3,gte,0.3325607936507936
3,gte,0.32822190476190477
3,gte,0.3548785714285714
3,gte,0.3171802380952381
3,gte,0.2846894047619048
3,instructor,0.47604523809523813
3,instructor,0.3153269047619048
3,instructor,0.36063482142857145
3,instructor,0.32566940476190476
3,instructor,0.3264669047619047
3,minilm,0.28378402597402597
3,minilm,0.29112773809523806
3,minilm,0.30527523809523804
3,minilm,0.2739727380952381
3,minilm,0.25281107142857145
3,mpnet,0.2479812030075188
3,mpnet,0.29010440476190474
3,mpnet,0.31226468253968254
3,mpnet,0.29110107142857145
3,mpnet,0.26267440476190473
3,sbert,0.3466042857142857
3,sbert,0.3013669047619047
3,sbert,0.2944660714285714
3,sbert,0.30425690476190476
3,sbert,0.2876602380952381
3,sroberta,0.2997672077922078
3,sroberta,0.30913690476190475
3,sroberta,0.3206992610837438
3,sroberta,0.2883935714285714
3,sroberta,0.2864527380952381
3,w2v_pretrained,0.35348909774436094
3,w2v_pretrained,0.34105690476190476
3,w2v_pretrained,0.3797865714285714
3,w2v_pretrained,0.34262107142857146
3,w2v_pretrained,0.3544844047619048
3,w2v_self,0.3457642857142857
3,w2v_self,0.34863940476190475
3,w2v_self,0.3819527649769585
3,w2v_self,0.36580523809523807
3,w2v_self,0.34076523809523807
4,bge,0.3291236212624584
4,bge,0.36659571428571425
4,bge,0.36102488095238094
4,bge,0.3555466666666666
4,bge,0.3490961904761904
4,e5,0.41237349206349205
4,e5,0.3622266666666666
4,e5,0.34455126984126977
4,e5,0.3666842857142857
4,e5,0.3516795238095238
4,fasttext_pretrained,0.40203523809523806
4,fasttext_pretrained,0.4602226373626373
4,fasttext_pretrained,0.393817619047619
4,fasttext_pretrained,0.39560238095238087
4,glove_pretrained,0.46699571428571424
4,glove_pretrained,0.4314295238095237
4,glove_pretrained,0.4540957142857142
4,glove_pretrained,0.4388790476190476
4,glove_pretrained,0.44120809523809523
4,gte,0.3397747840531561
4,gte,0.34918999999999994
4,gte,0.3633493728222996
4,gte,0.3360271428571428
4,gte,0.32181999999999994
4,instructor,0.35589904761904756
4,instructor,0.3433048051948051
4,instructor,0.3307314285714285
4,instructor,0.3356138095238095
4,minilm,0.30619691910499136
4,minilm,0.282205238095238
4,minilm,0.33771879120879117
4,minilm,0.2820666666666666
4,minilm,0.26442999999999994
4,mpnet,0.2737557142857142
4,mpnet,0.29280333333333325
4,mpnet,0.26165821428571423
4,mpnet,0.30161142857142853
4,mpnet,0.28577476190476186
4,sbert,0.3018048051948052
4,sbert,0.32911809523809515
4,sbert,0.37316238095238086
4,sbert,0.313897619047619
4,sbert,0.3194523809523809
4,sroberta,0.3915902597402597
4,sroberta,0.3335099999999999
4,sroberta,0.3880004761904762
4,sroberta,0.31627523809523805
4,sroberta,0.28540666666666664
4,w2v_pretrained,0.41724399014778324
4,w2v_pretrained,0.3820614285714285
4,w2v_pretrained,0.44953571428571426
4,w2v_pretrained,0.37442857142857133
4,w2v_pretrained,0.3855414285714285
4,w2v_self,0.38780428571428566
4,w2v_self,0.39074714285714285
4,w2v_self,0.3681080952380952
5,bge,0.3775166666666666
5,bge,0.37249206349206343
5,bge,0.355355
5,bge,0.3427388888888888
5,bge,0.3393948412698412
5,e5,0.3945249999999999
5,e5,0.37292777777777775
5,e5,0.3984749999999999
5,e5,0.3673408730158729
5,e5,0.3372091269841269
5,fasttext_pretrained,0.4041555555555555
5,fasttext_pretrained,0.38672499999999993
5,fasttext_pretrained,0.395804365079365
5,fasttext_pretrained,0.3936591269841269
5,glove_pretrained,0.431604365079365
5,glove_pretrained,0.46080999999999994
5,glove_pretrained,0.4277404761904761
5,glove_pretrained,0.4358349206349206
5,gte,0.3750874999999999
5,gte,0.3354682539682539
5,gte,0.3668499999999999
5,gte,0.3315849206349206
5,gte,0.3315833333333333
5,instructor,0.3600428571428571
5,instructor,0.3542059523809523
5,instructor,0.34113095238095237
5,minilm,0.3318056701030927
5,minilm,0.28765952380952375
5,minilm,0.30789999999999995
5,minilm,0.280356746031746
5,minilm,0.2712178571428571
5,mpnet,0.4431175324675324
5,mpnet,0.3051650793650793
5,mpnet,0.33029285714285705
5,mpnet,0.30195198412698404
5,mpnet,0.2929027777777777
5,sbert,0.3320130952380952
5,sbert,0.3868801587301587
5,sbert,0.3199071428571428
5,sbert,0.32319285714285706
5,sroberta,0.3397535714285714
5,sroberta,0.3405166666666666
5,sroberta,0.4366227272727272
5,sroberta,0.3232047619047619
5,sroberta,0.2970087301587301
5,w2v_pretrained,0.41636025641025637
5,w2v_pretrained,0.3923742063492063
5,w2v_pretrained,0.41655
5,w2v_pretrained,0.3849571428571428
5,w2v_pretrained,0.38088571428571427
5,w2v_self,0.3816642857142857
5,w2v_self,0.3924809523809523
5,w2v_self,0.3739309523809523
6,bge,0.36694523809523816
6,bge,0.3563433333333334
6,bge,0.3268176190476191
6,bge,0.31584619047619056
6,e5,0.3703202380952382
6,e5,0.3552233333333334
6,e5,0.41939107142857146
6,e5,0.3467014285714286
6,e5,0.31467380952380963
6,fasttext_pretrained,0.3788404761904762
6,fasttext_pretrained,0.3731985714285715
6,fasttext_pretrained,0.368894761904762
6,fasttext_pretrained,0.37620666666666674
6,glove_pretrained,0.40710571428571435
6,glove_pretrained,0.41072285714285717
6,glove_pretrained,0.4167738095238096
6,gte,0.36141477832512325
6,gte,0.31379619047619056
6,gte,0.38699395604395614
6,gte,0.2992542857142858
6,gte,0.30528047619047627
6,instructor,0.35142714285714294
6,instructor,0.3842910714285715
6,instructor,0.3354357142857144
6,instructor,0.3249885714285715
6,minilm,0.38459857142857146
6,minilm,0.26436666666666675
6,minilm,0.30387857142857155
6,minilm,0.2640628571428572
6,minilm,0.2544809523809524
6,mpnet,0.4333000000000001
6,mpnet,0.2931085714285715
6,mpnet,0.3222385714285715
6,mpnet,0.28234047619047625
6,mpnet,0.26631523809523816
6,sbert,0.3029695238095239
6,sbert,0.4025535714285715
6,sbert,0.2948376190476191
6,sbert,0.2911204761904762
6,sroberta,0.4082378934624698
6,sroberta,0.3278295238095239
6,sroberta,0.39114523809523816
6,sroberta,0.3080909523809524
6,sroberta,0.27738047619047623
6,w2v_pretrained,0.3816119047619048
6,w2v_pretrained,0.36406666666666676
6,w2v_pretrained,0.3711828571428572
6,w2v_pretrained,0.35673857142857146
6,w2v_self,0.36076571428571436
6,w2v_self,0.37715476190476194
6,w2v_self,0.34830380952380957
7,bge,0.3592708333333333
7,bge,0.32485583333333334
7,bge,0.3130291666666667
7,e5,0.3478083333333334
7,e5,0.3593383333333333
7,e5,0.41899000000000003
7,e5,0.34032250000000003
7,e5,0.33050083333333335
7,fasttext_pretrained,0.35758666666666666
7,fasttext_pretrained,0.35777916666666665
7,fasttext_pretrained,0.3738033333333334
7,glove_pretrained,0.41175
7,glove_pretrained,0.3913641666666667
7,glove_pretrained,0.39901333333333333
7,glove_pretrained,0.4103833333333333
7,gte,0.330791935483871
7,gte,0.30517916666666667
7,gte,0.3888766666666667
7,gte,0.29371583333333334
7,gte,0.2912266666666667
7,instructor,0.43002976190476194
7,instructor,0.34388833333333335
7,instructor,0.40155
7,instructor,0.3172991666666667
7,instructor,0.32350333333333336
7,minilm,0.3418706896551724
7,minilm,0.25251250000000003
7,minilm,0.2904333333333333
7,minilm,0.2582466666666667
7,minilm,0.24490416666666667
7,mpnet,0.2894625
7,mpnet,0.28975000000000006
7,mpnet,0.2710075
7,mpnet,0.26142
7,sbert,0.2947375
7,sbert,0.4170642857142857
7,sbert,0.28859
7,sbert,0.27597333333333335
7,sroberta,0.32373125
7,sroberta,0.3215083333333334
7,sroberta,0.3087525
7,sroberta,0.2662391666666667
7,w2v_pretrained,0.4224038461538462
7,w2v_pretrained,0.360435
7,w2v_pretrained,0.356665
7,w2v_pretrained,0.34887333333333337
7,w2v_self,0.4104969387755102
7,w2v_self,0.36165083333333337
7,w2v_self,0.36000583333333336
7,w2v_self,0.35464416666666665
8,bge,0.32915777777777777
8,bge,0.30130666666666667
8,bge,0.2826088888888889
8,e5,0.30718
8,e5,0.34394888888888886
8,e5,0.31906
8,e5,0.3112844444444445
8,fasttext_pretrained,0.3257933333333333
8,fasttext_pretrained,0.32321777777777777
8,fasttext_pretrained,0.34334
8,glove_pretrained,0.40475833333333333
8,glove_pretrained,0.3687
8,glove_pretrained,0.3798
8,glove_pretrained,0.37719555555555556
8,gte,0.31894
8,gte,0.2758511111111111
8,gte,0.26506444444444444
8,gte,0.26883333333333337
8,instructor,0.31396666666666667
8,instructor,0.3903
8,instructor,0.29888
8,instructor,0.3098888888888889
8,minilm,0.199825
8,minilm,0.22460888888888889
8,minilm,0.24345999999999998
8,minilm,0.2233022222222222
8,mpnet,0.25945555555555555
8,mpnet,0.26021777777777777
8,mpnet,0.24201333333333333
8,sbert,0.2674155555555555
8,sbert,0.2635533333333333
8,sbert,0.24510666666666664
8,sroberta,0.3795466666666667
8,sroberta,0.2879911111111111
8,sroberta,0.29380666666666666
8,sroberta,0.23493333333333333
8,w2v_pretrained,0.39139999999999997
8,w2v_pretrained,0.3361866666666667
8,w2v_pretrained,0.3283155555555555
8,w2v_pretrained,0.35811777777777776
8,w2v_self,0.3870142857142857
8,w2v_self,0.33316444444444443
8,w2v_self,0.33492222222222223
8,w2v_self,0.32724888888888887
