k,method,rank,mean_f1
2,logistic_regression,1,0.7383206896551724
2,instructor,2,0.5700888888888889
2,mpnet,3,0.5550533333333333
2,sroberta,4,0.5493555555555556
2,mpnet,5,0.5300977777777778
2,sroberta,6,0.5291888888888889
2,minilm,7,0.5291444444444444
2,gte,8,0.52046
2,mpnet,9,0.5144933333333334
2,instructor,10,0.5068155555555556
2,instructor,11,0.5050355555555556
2,gte,12,0.5037577777777777
2,minilm,13,0.5028088888888889
2,gte,14,0.5012377777777778
2,e5,15,0.5009688888888889
2,minilm,16,0.4974577777777778
2,bge,17,0.49131555555555556
2,sroberta,18,0.4898844444444444
2,mpnet,19,0.48932000000000003
2,sbert,20,0.48638
2,e5,21,0.4846622222222222
2,w2v_pretrained,22,0.4821066666666667
2,instructor,23,0.4809044444444444
2,bge,24,0.4808466666666667
2,sbert,25,0.4701022222222222
2,e5,26,0.4651844444444444
2,sbert,27,0.4623177777777778
2,bge,28,0.45657333333333333
2,w2v_self,29,0.4524684210526316
2,w2v_pretrained,30,0.4508377777777778
2,w2v_self,31,0.4500111111111111
2,bge,32,0.44935555555555556
2,minilm,33,0.446
2,instructor,34,0.44229230769230765
2,gte,35,0.44132
2,e5,36,0.44023809523809526
2,bge,37,0.4395277777777778
2,sbert,38,0.438175
2,gte,39,0.4375928571428571
2,glove_pretrained,40,0.43688461538461537
2,w2v_self,41,0.43468666666666667
2,mpnet,42,0.43399583333333336
2,minilm,43,0.43388333333333334
2,w2v_self,44,0.43362222222222224
2,w2v_pretrained,45,0.4323222222222223
2,w2v_pretrained,46,0.42831555555555556
2,w2v_self,47,0.4278577777777777
2,fasttext_pretrained,48,0.4245444444444445
2,glove_pretrained,49,0.42317499999999997
2,sroberta,50,0.4225333333333333
2,fasttext_pretrained,51,0.42083157894736845
2,fasttext_pretrained,52,0.41327555555555556
2,fasttext_pretrained,53,0.40896000000000005
2,sbert,54,0.3952555555555556
2,e5,55,0.3947333333333334
2,fasttext_pretrained,56,0.3937214285714286
2,glove_pretrained,57,0.3820577777777778
2,w2v_pretrained,58,0.3730833333333334
2,glove_pretrained,59,0.3706844444444445
2,glove_pretrained,60,0.3661444444444445
2,sroberta,61,0.3333148148148148
3,logistic_regression,1,0.6528785714285714
3,mpnet,2,0.4048973684210526
3,minilm,3,0.40006749999999996
3,mpnet,4,0.3902041666666667
3,minilm,5,0.37890583333333333
3,minilm,6,0.36909454545454545
3,gte,7,0.3681891666666666
3,sroberta,8,0.36642583333333334
3,sbert,9,0.3652183333333333
3,sroberta,10,0.364485
3,bge,11,0.36314864864864865
3,mpnet,12,0.3627741666666667
3,mpnet,13,0.3617775
3,minilm,14,0.36175083333333335
3,sbert,15,0.3584125
3,sroberta,16,0.35311136363636364
3,sbert,17,0.3515116666666667
3,sbert,18,0.34862166666666666
3,minilm,19,0.3476033333333334
3,sroberta,20,0.34374166666666667
3,mpnet,21,0.3406138888888889
3,instructor,22,0.33755166666666664
3,gte,23,0.3356983333333333
3,bge,24,0.33327416666666665
3,sroberta,25,0.3321793103448276
3,instructor,26,0.32720916666666666
3,e5,27,0.3265733333333333
