embedding,clustering,k,mean,std
bge,dbscan,2,0.44935555555555556,0.11997196253655182
bge,dbscan,3,0.36314864864864865,0.08963767071946933
bge,dbscan,4,0.2724720930232558,0.08587288037331803
bge,dbscan,5,0.18453333333333333,0.06575792151843185
bge,dbscan,6,0.14613333333333334,0.0022501851775650296
bge,hac,2,0.45657333333333333,0.23380323837091582
bge,hac,3,0.3019908333333333,0.13506880225958004
bge,hac,4,0.23500000000000001,0.09899038037455236
bge,hac,5,0.1895579365079365,0.07862487907823876
bge,hac,6,0.1567352380952381,0.06505381280868804
bge,hac,7,0.12547916666666667,0.05806253206287012
bge,hac,8,0.11494222222222221,0.047491604468047774
bge,hac,9,0.10903,0.04237195220111216
bge,hac,10,0.1305,
bge,hdbscan,2,0.4395277777777778,0.1335582745935957
bge,hdbscan,3,0.3040785714285715,0.06643742569115339
bge,hdbscan,4,0.24057083333333332,0.0674799711293891
bge,hdbscan,5,0.206695,0.03235130315442445
bge,hdbscan,10,0.0662,
bge,kmeans,2,0.49131555555555556,0.2176161225598411
bge,kmeans,3,0.33327416666666665,0.14327941174932463
bge,kmeans,4,0.2460490476190476,0.10284963998023867
bge,kmeans,5,0.2193111111111111,0.08688811436487745
bge,kmeans,6,0.1862609523809524,0.07434222108875416
bge,kmeans,7,0.15989416666666667,0.06474772802974636
bge,kmeans,8,0.14279333333333333,0.04522256275155337
bge,kmeans,9,0.14282999999999998,0.039911124876265885
bge,kmeans,10,0.186,
bge,spectral,2,0.4808466666666667,0.23053190136173032
bge,spectral,3,0.30733333333333335,0.1475190905368832
bge,spectral,4,0.25249952380952384,0.09583001372676848
bge,spectral,5,0.22265515873015873,0.08350202142968295
bge,spectral,6,0.19723238095238094,0.0705719457052144
bge,spectral,7,0.17172083333333335,0.051281346053718514
bge,spectral,8,0.1614911111111111,0.0485985541415222
bge,spectral,9,0.12517,0.02377646128235048
bge,spectral,10,0.1085,
e5,dbscan,2,0.3947333333333334,0.08283698851761007
e5,dbscan,3,0.2746071428571429,0.0651497075322245
e5,dbscan,4,0.1892222222222222,0.04750869016322845
e5,dbscan,5,0.167525,0.019813397343356208
e5,dbscan,6,0.14275833333333335,0.030241857155975473
e5,dbscan,7,0.13694166666666666,0.024622549101228818
e5,dbscan,8,0.13692,0.01779387535080539
e5,hac,2,0.4651844444444444,0.18565047309828264
e5,hac,3,0.2930008333333333,0.16410364295027643
e5,hac,4,0.23936904761904762,0.12936631474782426
e5,hac,5,0.18912222222222222,0.08560625688203413
e5,hac,6,0.1578552380952381,0.06554301846178427
e5,hac,7,0.12541166666666667,0.04754452169721941
e5,hac,8,0.10015111111111111,0.03509848236956214
e5,hac,9,0.08799,0.025499300644004595
e5,hac,10,0.1176,
e5,hdbscan,2,0.44023809523809526,0.18736168358602695
e5,hdbscan,3,0.2640733333333333,0.08353329874966033
e5,hdbscan,4,0.25704444444444446,0.06911530422256547
e5,hdbscan,5,0.163575,0.05062105808593031
e5,hdbscan,6,0.0936875,0.0275936677518593
e5,hdbscan,7,0.06576,0.0022029525641738172
e5,kmeans,2,0.5009688888888889,0.18886997790955437
e5,kmeans,3,0.3265733333333333,0.1628906220293177
e5,kmeans,4,0.23491142857142858,0.09919253166273322
e5,kmeans,5,0.19470912698412698,0.0885895375952847
e5,kmeans,6,0.16637714285714286,0.0787938498038857
e5,kmeans,7,0.1444275,0.05906244518026888
e5,kmeans,8,0.12504,0.061042263302493203
e5,kmeans,9,0.09973,0.04324588740883666
