method,class,avg_binary_f1
sbert,0,0.5939384615384615
sbert,1,0.4405613636363636
sbert,2,0.5332021739130435
sbert,3,0.6852098039215685
sbert,4,0.6193788461538462
sbert,5,0.5962500000000001
sbert,6,0.5504979166666666
sbert,7,0.5507865384615385
sbert,8,0.593014
sbert,9,0.5653145833333334
sbert,10,0.559686
sbert,11,0.5133938775510204
sroberta,0,0.62063
sroberta,1,0.41910217391304355
sroberta,2,0.6082541666666667
sroberta,3,0.6572596153846153
sroberta,4,0.6294720000000001
sroberta,5,0.579363043478261
sroberta,6,0.554032
sroberta,7,0.6183938775510205
sroberta,8,0.6135469387755103
sroberta,9,0.604492
sroberta,10,0.5390703703703703
sroberta,11,0.48244423076923076
mpnet,0,0.67484375
mpnet,1,0.45091698113207546
mpnet,2,0.6326538461538461
mpnet,3,0.6524037735849056
mpnet,4,0.6707191489361702
mpnet,5,0.5936468085106382
mpnet,6,0.5908416666666667
mpnet,7,0.6075872340425531
mpnet,8,0.6998979166666667
mpnet,9,0.634494
mpnet,10,0.6098153846153846
mpnet,11,0.5557088888888889
minilm,0,0.6069413043478261
minilm,1,0.4391710526315789
minilm,2,0.6102418604651163
minilm,3,0.639696
minilm,4,0.6709170212765958
minilm,5,0.6071599999999999
minilm,6,0.5742843137254902
minilm,7,0.6073673469387756
minilm,8,0.6711219999999999
minilm,9,0.6091866666666667
minilm,10,0.6019173076923077
minilm,11,0.5038625
e5,0,0.5689139534883721
e5,1,0.4000954545454546
e5,2,0.5633268292682927
e5,3,0.7082255319148936
e5,4,0.6175478260869566
e5,5,0.5146454545454545
e5,6,0.5153372093023255
e5,7,0.47498599999999996
e5,8,0.5460674418604651
e5,9,0.5211418604651161
e5,10,0.5243094339622641
e5,11,0.4971488888888889
instructor,0,0.6371714285714285
instructor,1,0.38468378378378376
instructor,2,0.6691952380952382
instructor,3,0.6837826086956522
instructor,4,0.7372093023255814
instructor,5,0.5906488372093024
instructor,6,0.5479893617021276
instructor,7,0.5198731707317074
instructor,8,0.6539888888888891
instructor,9,0.5647418604651163
instructor,10,0.535267441860465
instructor,11,0.5678458333333334
bge,0,0.6284739130434782
bge,1,0.2975381818181818
bge,2,0.5897444444444443
bge,3,0.6916
bge,4,0.6759354166666668
bge,5,0.5926808510638296
bge,6,0.5154576923076923
bge,7,0.6469565217391305
bge,8,0.7109899999999999
bge,9,0.5903866666666666
bge,10,0.554601923076923
bge,11,0.5628500000000001
gte,0,0.6812488372093023
gte,1,0.4044613636363636
gte,2,0.5941452380952381
gte,3,0.7153787234042552
gte,4,0.7311682926829268
gte,5,0.6091302325581395
gte,6,0.5601136363636364
gte,7,0.59306
gte,8,0.6413042553191489
gte,9,0.6151906976744186
gte,10,0.545677358490566
gte,11,0.5908790697674419
w2v_self,0,0.4141676470588236
w2v_self,1,0.46031136363636366
w2v_self,2,0.43600588235294113
w2v_self,3,0.4304742857142857
w2v_self,4,0.3800486486486487
w2v_self,5,0.4184088235294117
w2v_self,6,0.45883428571428575
w2v_self,7,0.41965428571428576
w2v_self,8,0.4066771428571429
w2v_self,9,0.41655428571428577
w2v_self,10,0.45994864864864854
w2v_self,11,0.46296216216216207
w2v_pretrained,0,0.5273765957446809
w2v_pretrained,1,0.32767555555555555
w2v_pretrained,2,0.47951951219512196
w2v_pretrained,3,0.7108469387755102
w2v_pretrained,4,0.5784041666666666
w2v_pretrained,5,0.47532380952380954
w2v_pretrained,6,0.48035625
w2v_pretrained,7,0.5574312499999999
w2v_pretrained,8,0.5844372093023256
w2v_pretrained,9,0.5139217391304348
w2v_pretrained,10,0.4434862745098039
w2v_pretrained,11,0.46146136363636364
fasttext_pretrained,0,0.42205116279069765
fasttext_pretrained,1,0.36036
fasttext_pretrained,2,0.4269
fasttext_pretrained,3,0.6134313725490196
fasttext_pretrained,4,0.5087895833333334
fasttext_pretrained,5,0.48708604651162785
fasttext_pretrained,6,0.4551851063829787
fasttext_pretrained,7,0.5976787234042553
fasttext_pretrained,8,0.5662311111111111
fasttext_pretrained,9,0.48531914893617034
fasttext_pretrained,10,0.3673211538461538
fasttext_pretrained,11,0.41581702127659587
glove_pretrained,0,0.5346022222222223
glove_pretrained,1,0.3393272727272728
glove_pretrained,2,0.4839232558139535
glove_pretrained,3,0.680875
glove_pretrained,4,0.4899244897959184
glove_pretrained,5,0.4884
glove_pretrained,6,0.41939999999999994
glove_pretrained,7,0.5456846153846154
glove_pretrained,8,0.5497571428571428
glove_pretrained,9,0.49746046511627906
glove_pretrained,10,0.4075333333333333
glove_pretrained,11,0.4742317073170732
logistic_regression,0,0.8910454545454546
logistic_regression,1,0.8472999999999999
logistic_regression,2,0.7388181818181817
logistic_regression,3,0.8460636363636364
logistic_regression,4,0.8202181818181817
logistic_regression,5,0.8222363636363638
logistic_regression,6,0.8030818181818181
logistic_regression,7,0.8589454545454547
logistic_regression,8,0.7693909090909089
logistic_regression,9,0.8482090909090908
logistic_regression,10,0.8589181818181818
logistic_regression,11,0.8183
