embedding,k,difference
bge,2,0.008977272727272667
bge,3,0.019461818181818136
bge,4,0.007547676767676814
bge,5,0.013137121212121183
bge,6,0.017432251082251077
bge,7,0.02000744949494951
bge,8,0.022512727272727268
bge,9,0.01712272727272729
bge,10,0.009546969696969693
bge,11,0.0004666666666666708
bge,12,0.004799999999999999
e5,2,0.014883333333333248
e5,3,0.024098181818181852
e5,4,0.0036230303030302946
e5,5,-0.00445378787878789
e5,6,-0.011285389610389607
e5,7,-0.005362752525252562
e5,8,1.1313131313112068e-05
e5,9,-0.006224090909090929
e5,10,0.00045303030303028846
e5,11,-0.003416666666666679
e5,12,0.007099999999999995
fasttext_pretrained,2,0.003404545454545438
fasttext_pretrained,3,0.02130590909090907
fasttext_pretrained,4,0.011083636363636323
fasttext_pretrained,5,0.006988888888888878
fasttext_pretrained,6,0.007111255411255402
fasttext_pretrained,7,0.008166792929292899
fasttext_pretrained,8,0.006729292929292918
fasttext_pretrained,9,0.0058222727272727315
fasttext_pretrained,10,0.0061106060606060525
fasttext_pretrained,11,0.0037583333333333357
fasttext_pretrained,12,0.0338
glove_pretrained,2,0.020606060606060628
glove_pretrained,3,0.01627181818181822
glove_pretrained,4,-0.011130101010101007
glove_pretrained,5,-0.003247474747474749
glove_pretrained,6,-0.008208008658008664
glove_pretrained,7,-0.005584974747474741
glove_pretrained,8,-0.0028581818181818153
glove_pretrained,9,-0.0029731818181818193
glove_pretrained,10,0.0004909090909090835
glove_pretrained,11,0.002066666666666661
glove_pretrained,12,-0.0216
gte,2,-0.053277272727272784
gte,3,0.014654090909090922
gte,4,0.004508484848484817
gte,5,0.0144084595959596
gte,6,0.008349567099567107
gte,7,0.014901515151515138
gte,8,0.011306464646464648
gte,9,0.008103181818181815
gte,10,0.009740909090909078
gte,11,0.012341666666666695
gte,12,-0.017599999999999977
instructor,2,0.02300000000000002
instructor,3,0.033751818181818216
instructor,4,0.015885656565656603
instructor,5,0.002757323232323222
instructor,6,-0.002802705627705626
instructor,7,-0.000522727272727258
instructor,8,0.0006151515151514853
instructor,9,-0.003508181818181799
instructor,10,0.0023530303030303013
instructor,11,0.004583333333333328
instructor,12,0.007900000000000004
minilm,2,0.008160606060606201
minilm,3,0.02456454545454545
minilm,4,0.029307272727272737
minilm,5,0.020316414141414163
minilm,6,0.016060497835497817
minilm,7,0.015806313131313143
minilm,8,0.006868686868686857
minilm,9,0.0029504545454545617
minilm,10,0.004501515151515173
minilm,11,0.027533333333333326
minilm,12,-0.009000000000000008
mpnet,2,0.010019696969697067
mpnet,3,0.011012272727272787
mpnet,4,0.01884282828282824
mpnet,5,0.006423989898989901
mpnet,6,0.007396320346320345
mpnet,7,0.000413636363636366
mpnet,8,-0.004847474747474739
mpnet,9,-0.015523181818181853
mpnet,10,-0.00935606060606059
mpnet,11,-0.0068250000000000255
mpnet,12,-0.022199999999999998
sbert,2,0.0147484848484849
sbert,3,-0.0115413636363636
sbert,4,0.005969090909090924
sbert,5,0.011533964646464667
sbert,6,0.007703679653679657
sbert,7,0.009643560606060614
sbert,8,0.004944444444444446
sbert,9,0.006547272727272735
sbert,10,0.008465151515151509
sbert,11,0.01505833333333334
sbert,12,-0.0006999999999999923
sroberta,2,0.014293939393939414
sroberta,3,0.010453181818181834
sroberta,4,0.015569898989899023
sroberta,5,0.012378030303030307
sroberta,6,0.005613419913419931
sroberta,7,0.002712121212121249
sroberta,8,-0.00830242424242425
sroberta,9,-0.010326363636363634
sroberta,10,-0.005807575757575734
sroberta,11,-0.004933333333333345
sroberta,12,0.0695
w2v_pretrained,2,0.026622727272727298
w2v_pretrained,3,0.040789545454545495
w2v_pretrained,4,0.004602222222222285
w2v_pretrained,5,0.004366666666666658
w2v_pretrained,6,-0.0011784632034632092
w2v_pretrained,7,0.0015189393939394058
w2v_pretrained,8,0.006783434343434341
w2v_pretrained,9,0.009855454545454556
w2v_pretrained,10,0.012906060606060601
w2v_pretrained,11,0.0021166666666666556
w2v_pretrained,12,0.021100000000000008
w2v_self,2,0.012753030303030266
w2v_self,3,0.011914090909090902
w2v_self,4,0.012352121212121203
w2v_self,5,0.008471338383838373
w2v_self,6,0.00016829004329002584
w2v_self,7,0.015804292929292932
w2v_self,8,0.01935575757575758
w2v_self,9,0.015508181818181824
w2v_self,10,0.02187878787878788
w2v_self,11,0.009916666666666664
w2v_self,12,0.011700000000000002
