method,slope,r2
bge,-0.03438617089692898,0.5726289889147684
e5,-0.03460599623297197,0.6516544871994425
fasttext_pretrained,-0.030096373934723104,0.5599665299586561
glove_pretrained,-0.0333230347072883,0.6558381038501863
gte,-0.03834975505311946,0.6169164405727869
instructor,-0.034744959652049115,0.5045835892957327
logistic_regression,-0.02273567348812805,0.8944424648006727
minilm,-0.03786486457287607,0.6040437635714457
mpnet,-0.04033159944612385,0.5872475769515129
sbert,-0.03658959850255197,0.5875849188672236
sroberta,-0.03480727136895568,0.5268036416680064
w2v_pretrained,-0.03273234009972687,0.6062612586997571
w2v_self,-0.03209770054855203,0.7231427226989049
